itemCollection_Mech_Clanbuster,"Clanbuster 'Mech","Rare 'Mech","This cache contains a single Clanbuster 'Mech, which ComStar refitted for the Battle of Tukayyid."
mechdef_archer_ARC-5CS,Mech,1,1
mechdef_blackknight_BL-9-KNT,Mech,1,1
mechdef_champion_CHP-3N,Mech,1,1
mechdef_hussar_HSR-400-D,Mech,1,1
mechdef_kingcrab_KGC-001,Mech,1,1
mechdef_marauder_MAD-5CS,Mech,1,1
mechdef_phoenixhawk_PXH-1bC,Mech,1,1
mechdef_rifleman_RFL-5CS,Mech,1,1
mechdef_shadowhawk_SHD-2Ht,Mech,1,1
mechdef_warhammer_WHM-7CS,Mech,1,1
mechdef_wyvern_WVE-9N,Mech,1,1
