"Archer ARC-5R
Archer AS7-D-HT",Added missing endo tag/slot
Archer AS7-S,Moved DHS to engine
Battlemaster BLR-1G (Morgan Kell),Changed HS to prototype DHS
"Behemoth (Stone Rhino)",Resized to match Matar
Black Knight BL-6b-KNT,Added missing endo tag
Blackjack BJ-3X,Changed HS to prototype DHS
Caesar CES-3R,Given new CAB model
Cataphract CTF-0X,Given remote sensors
Champion CHP-1N2,Added missing ferro tag/armor
Commando COM-2D-BI,Blacklisted (corrected model code)
Cossack C-SK1,Resized
"Crab CRB-27
Big Steel Crab BSC-27",Overridden (corrected model code / loadout)
"Cyclops CP-11-A
Cyclops CP-11-C
Cyclops CP-11-G",Added extra hardpoints (different from 10-series)
Daboku DCMS-MX90-D,Allowed cross assembly with Mauler
Duan Gung D9-G9,Streamlined hardpoints with Sling
Firebee FRB-2E,Added extra support hardpoint
Firefly FFL-4C,Added missing endo tag
Flea FLE-14,Added Hard To Pilot quirk
Griffin GRF-4N,Blacklisted (corrected model code)
Gunslinger GUN-1ERD,Streamlined hardpoints with 2ERD (leg weapons)
"Highlander HGN-733
Highlander HGN-733C
Highlander HGN-733P",Added special gear
Hornet,Resized
Hussar,Added Directional Torso Mount quirk
King Crab KGC-0000,Fixed description
Loader King LDK-5C,Optimized loadout
"Marauder MAD-BH (Bounty Hunter 3015)
Marauder MAD-BHII (Bounty Hunter 3044)
Marauder MAD-C","Added Directional Torso Mount quirk
Slightly changed loadout (BHII)"
Marauder MAD-CM (Colin Maclaren),Changed HS to prototype DHS
"Mauler MAL-1R
Mauler MAL-2R
Mauler MAL-C","Fixed UI name, allowed cross-assembly with Daboku"
"Men Shen","Improved proxy model, different hardpoints"
Spector SPF-4F,Optimized loadout
Striker,Resized
Supernova SNV-1,Changed loadout
Thorn THE-N1,Given Kinslaughter PPC
Thunderbolt TDR-5SE (fp_headhunting),Slightly changed loadout
"Turkina",Fixed Yang's comments
Victor VTR-9B (The Raid),Removed extra jump jets
"Warhammer WHM-7A",Reverted to original model
Zeus ZEU-5T,Whitelisted
