Outworld,,,,,
Salvage:DavionLocals,25,,25,,25
Salvage:KuritaLocals,25,,25,,25
,,,,,
,,,,,
,,,,,
Dates,3025-01-01T00:00:00Z,,3057-01-01T00:00:00Z,,3061-01-01T00:00:00Z
Lights,,,,,
mechdef_stinger_STG-3R,182,,182,,182
mechdef_wasp_WSP-1A,277,,277,,278
mechdef_locust_LCT-1V,182,,185,,191
mechdef_locust_LCT-3V,10,,10,,10
mechdef_stinger_STG-3G,39,,39,,39
mechdef_urbanmech_UM-R60,88,,88,,88
mechdef_commando_COM-2D,3,,3,,3
mechdef_javelin_JVN-10N,28,,28,,28
mechdef_ostscout_OTT-7J,10,,10,,10
mechdef_hermes_HER-1A,6,,6,,6
mechdef_falcon_FLC-4N,6,,6,,6
mechdef_spider_SDR-5V,10,,10,,10
mechdef_hermes_HER-1B,6,,6,,6
mechdef_firestarter_FS9-H,88,,88,,88
mechdef_mongoose_MON-67,6,,6,,6
mechdef_firestarter_FS9-K,6,,6,,6
mechdef_javelin_JVN-10F,6,,6,,6
mechdef_javelin_JVN-10A,3,,3,,3
mechdef_nighthawk_NTK-2Q,0,3055-01-01T00:00:00Z,3,,6
Mediums,,,,,
mechdef_vulcan_VL-2T,106,,112,,112
mechdef_cicada_CDA-2A,14,,14,,14
mechdef_assassin_ASN-21,7,,7,,7
mechdef_clint_CLNT-2-3T,7,,7,,7
mechdef_vulcan_VL-5T,14,,14,,14
mechdef_centurion_CN9-A,4,,4,,4
mechdef_blackjack_BJ-1,50,,50,,50
mechdef_whitworth_WTH-1,7,,7,,14
mechdef_trebuchet_TBT-5S,7,,7,,14
mechdef_wyvern_WVE-6N,7,,7,,7
mechdef_scorpion_SCP-1N,14,,14,,14
mechdef_phoenixhawk_PXH-1,214,,214,,214
mechdef_hunchback_HBK-4G,50,,50,,50
mechdef_shadowhawk_SHD-2H,106,,106,,112
mechdef_hunchback_HBK-4H,7,,7,,7
mechdef_hunchback_HBK-4N,7,,7,,7
mechdef_wolverine_WVR-6R,106,,107,,112
mechdef_hunchback_HBK-4P,7,,7,,7
mechdef_crab_CRB-20,7,,7,,7
mechdef_hunchback_HBK-4J,7,,7,,7
mechdef_dervish_DV-6M,50,,50,,50
mechdef_trebuchet_TBT-5N,50,,50,,50
mechdef_griffin_GRF-1N,106,,106,,106
mechdef_whitworth_WTH-2,0,3050-01-01T00:00:00Z,3,,14
mechdef_kyudo_KY2-D-01,7,,7,,7
mechdef_rifleman_RFL-2N,72,,72,,73
Heavies,,,,,
mechdef_rifleman_RFL-3N,110,,110,,113
mechdef_champion_CHP-2N,6,,7,,7
mechdef_quickdraw_QKD-4G,39,,39,,39
mechdef_quickdraw_QKD-5A,6,,7,,7
mechdef_merlin_MLN-1A,55,,55,,55
mechdef_merlin_MLN-1B,0,3053-01-01T00:00:00Z,7,,11
mechdef_ostroc_OSR-2C,39,,39,,39
mechdef_ostroc_OSR-2L,6,,7,,7
mechdef_quickdraw_QKD-4H,6,,7,,7
mechdef_ostsol_OTL-4D,83,,84,,84
mechdef_ostroc_OSR-3C,6,,7,,7
mechdef_orion_ON1-V,6,,7,,7
mechdef_warhammer_WHM-6R,110,,112,,113
mechdef_crusader_CRD-3R,110,,112,,113
mechdef_orion_ON1-VA,6,,7,,7
mechdef_thunderbolt_TDR-5S,110,,112,,113
mechdef_bombardier_BMB-10D,6,,7,,7
mechdef_marauder_MAD-3R,11,,11,,11
mechdef_guillotine_GLT-4P,6,,7,,7
mechdef_guillotine_GLT-4L,11,,11,,11
mechdef_grasshopper_GHR-5H,55,,49,,45
mechdef_grasshopper_GHR-5N,0,3040-01-01T00:00:00Z,7,,11
mechdef_grasshopper_GHR-5J,0,3049-01-01T00:00:00Z,7,,7
mechdef_orion_ON1-K,39,,39,,39
mechdef_stalker_STK-4P,17,,17,,17
mechdef_archer_ARC-2R,107,,107,,107
mechdef_grasshopper_GHR-4R,3,,3,,3
mechdef_ostwar_OWR-2M,3,,3,,3
Assaults,,,,,
mechdef_cyclops_CP-10-Z,11,,11,,11
mechdef_longbow_LGB-0W,91,,91,,91
mechdef_victor_VTR-9B,11,,11,,11
mechdef_banshee_BNC-3E,182,,182,,182
mechdef_goliath_GOL-1H,6,,6,,6
mechdef_awesome_AWS-8R,11,,11,,11
mechdef_striker_STC-2C,24,,24,,24
mechdef_awesome_AWS-8V,11,,11,,11
mechdef_battlemaster_BLR-1G,24,,24,,24
mechdef_stalker_STK-4N,42,,42,,42
mechdef_stalker_STK-3F,303,,303,,303
mechdef_cyclops_CP-10-Q,6,,6,,6
mechdef_awesome_AWS-8T,11,,11,,11
mechdef_awesome_AWS-8Q,121,,121,,115
mechdef_awesome_AWS-9Q,0,,0,3057-01-01T00:00:00Z,6
mechdef_longbow_LGB-7Q,42,,42,,42
mechdef_stalker_STK-3H,42,,42,,42
mechdef_atlas_AS7-A,6,,6,,6
mechdef_atlas_AS7-D,6,,6,,6
