AuriganDirectorate,
Salvage:DavionLocals,25
Salvage:LiaoLocals,25
Dates,3025-01-01T00:00:00Z
Lights,
mechdef_stinger_STG-3R,172
mechdef_wasp_WSP-1A,261
mechdef_locust_LCT-1V,172
mechdef_locust_LCT-3V,9
mechdef_stinger_STG-3G,37
mechdef_urbanmech_UM-R60,63
mechdef_commando_COM-2D,52
mechdef_commando_COM-1D,5
mechdef_javelin_JVN-10N,26
mechdef_ostscout_OTT-7J,9
mechdef_hermes_HER-1A,5
mechdef_falcon_FLC-4N,5
mechdef_spider_SDR-5V,9
mechdef_hermes_HER-1B,5
mechdef_firestarter_FS9-H,84
mechdef_mongoose_MON-67,5
mechdef_firestarter_FS9-K,5
mechdef_urbanmech_UM-R90,21
mechdef_javelin_JVN-10F,5
Mediums,
mechdef_vulcan_VL-2T,102
mechdef_cicada_CDA-2A,14
mechdef_kyudo_KY2-D-01,3
mechdef_assassin_ASN-21,7
mechdef_clint_CLNT-2-3T,7
mechdef_vulcan_VL-5T,14
mechdef_blackjack_BJ-1,48
mechdef_whitworth_WTH-1,7
mechdef_trebuchet_TBT-5S,7
mechdef_wyvern_WVE-6N,7
mechdef_scorpion_SCP-1N,14
mechdef_hunchback_HBK-4G,48
mechdef_phoenixhawk_PXH-1,204
mechdef_shadowhawk_SHD-2H,102
mechdef_hunchback_HBK-4H,7
mechdef_hunchback_HBK-4N,7
mechdef_rifleman_RFL-2N,67
mechdef_wolverine_WVR-6R,102
mechdef_hunchback_HBK-4P,7
mechdef_crab_CRB-20,7
mechdef_hunchback_HBK-4J,7
mechdef_dervish_DV-6M,48
mechdef_trebuchet_TBT-5N,48
mechdef_griffin_GRF-1N,136
Heavies,
mechdef_rifleman_RFL-3N,103
mechdef_champion_CHP-2N,5
mechdef_quickdraw_QKD-4G,36
mechdef_quickdraw_QKD-5A,5
mechdef_ostroc_OSR-2C,36
mechdef_ostroc_OSR-2L,5
mechdef_quickdraw_QKD-4H,5
mechdef_ostsol_OTL-4D,51
mechdef_ostroc_OSR-3C,6
mechdef_orion_ON1-V,5
mechdef_warhammer_WHM-6R,154
mechdef_crusader_CRD-3R,51
mechdef_orion_ON1-VA,5
mechdef_thunderbolt_TDR-5S,154
mechdef_bombardier_BMB-10D,5
mechdef_marauder_MAD-3R,103
mechdef_guillotine_GLT-4P,5
mechdef_guillotine_GLT-4L,11
mechdef_grasshopper_GHR-5H,48
mechdef_orion_ON1-K,36
mechdef_grasshopper_GHR-4R,3
mechdef_stalker_STK-4P,15
mechdef_archer_ARC-2R,103
Assaults,
mechdef_cyclops_CP-10-Z,11
mechdef_zeus_ZEU-6Y,3
mechdef_longbow_LGB-0W,91
mechdef_victor_VTR-9B,11
mechdef_banshee_BNC-3E,182
mechdef_rampage_RMP-2G,9
mechdef_goliath_GOL-1H,6
mechdef_awesome_AWS-8R,11
mechdef_striker_STC-2C,24
mechdef_awesome_AWS-8V,11
mechdef_battlemaster_BLR-1G,24
mechdef_stalker_STK-4N,42
mechdef_stalker_STK-3F,303
mechdef_cyclops_CP-10-Q,6
mechdef_awesome_AWS-8T,11
mechdef_awesome_AWS-8Q,121
mechdef_longbow_LGB-7Q,42
mechdef_stalker_STK-3H,42
mechdef_atlas_AS7-A,6
mechdef_pillager_PLG-1N,6
mechdef_atlas_AS7-D,6
