WolfsDragoons,,,
,,,
,,,
,,,
,,,
,,,
,,,
Dates,3025-01-01T00:00:00Z,,3059-01-01T00:00:00Z
Lights,,,
mechdef_flea_FLE-14,5,,0
mechdef_wasp_WSP-3W,0,3050-01-01T00:00:00Z,73
mechdef_stinger_STG-3R,166,,51
mechdef_wasp_WSP-1W,12,,73
mechdef_wasp_WSP-1A,252,,33
mechdef_flea_FLE-15,0,,5
mechdef_wasp_WSP-3M,0,3051-01-01T00:00:00Z,6
mechdef_locust_LCT-1V,166,,50
mechdef_dart_DRT-3S,0,3051-01-01T00:00:00Z,33
mechdef_locust_LCT-1S,0,,22
mechdef_locust_LCT-3V,9,,9
mechdef_hornet_HNT-152,5,,5
mechdef_hornet_HNT-151,9,,9
mechdef_stinger_STG-3G,35,,10
mechdef_flea_FLE-16,0,3030-03-03T00:00:00Z,3
mechdef_flea_FLE-17,0,3049-01-01T00:00:00Z,28
mechdef_commando_COM-2D,0,,20
mechdef_commando_COM-7Z2,0,3051-01-01T00:00:00Z,6
mechdef_locust_LCT-1E,0,,17
mechdef_hornet_HNT-161,0,3052-01-01T00:00:00Z,14
mechdef_javelin_JVN-10N,25,,25
mechdef_ostscout_OTT-7J,9,,39
mechdef_commando_COM-7J,0,3056-01-01T00:00:00Z,3
mechdef_hermes_HER-1A,5,,0
mechdef_commando_COM-7W,0,3056-01-01T00:00:00Z,3
mechdef_falcon_FLC-4N,5,,0
mechdef_spider_SDR-7M,0,3051-01-01T00:00:00Z,47
mechdef_spider_SDR-5V,9,,61
mechdef_falcon_FLC-4P,0,3050-01-01T00:00:00Z,50
mechdef_commando_COM-7X,0,,6
mechdef_valkyrie_VLK-QF,5,,3
mechdef_owens_OW-1D,0,3056-01-01T00:00:00Z,6
mechdef_owens_OW-1A,0,3056-01-01T00:00:00Z,6
mechdef_commando_COM-7Y,0,,6
mechdef_commando_COM-7A,0,3056-01-01T00:00:00Z,3
mechdef_commando_COM-7Z,0,3051-01-01T00:00:00Z,6
mechdef_hermes_HER-1B,5,,0
mechdef_urbanmech_UM-R90,6,,6
mechdef_firestarter_FS9-H,150,,33
mechdef_raven_RVN-3L,0,3048-01-01T00:00:00Z,30
mechdef_valkyrie_VLK-QA,28,,8
mechdef_commando_COM-2D-BI,0,,6
mechdef_mongoose_MON-67,10,,0
mechdef_owens_OW-1B,0,3056-01-01T00:00:00Z,6
mechdef_firestarter_FS9-S,0,3049-01-01T00:00:00Z,11
mechdef_firestarter_FS9-K,10,,0
mechdef_firefly_FFL-4A,73,,73
mechdef_hammer_HMR-3M,0,3053-01-01T00:00:00Z,11
mechdef_valkyrie_VLK-QD,0,3049-01-01T00:00:00Z,17
mechdef_panther_PNT-9R,0,,33
mechdef_venom_SDR-9K,0,3050-01-01T00:00:00Z,41
mechdef_javelin_JVN-10F,12,,6
mechdef_firefly_FFL-4B,0,3047-01-01T00:00:00Z,37
mechdef_scarabus_SCB-9A,0,3053-01-01T00:00:00Z,6
mechdef_jenner_JR7-D,0,,72
mechdef_panther_PNT-10K,0,3051-01-01T00:00:00Z,60
mechdef_owens_OW-1,0,3056-01-01T00:00:00Z,10
mechdef_jenner_JR7-K,0,3047-01-01T00:00:00Z,66
mechdef_hitman_HM-1,0,3055-01-01T00:00:00Z,12
mechdef_owens_OW-1C,0,3056-01-01T00:00:00Z,6
mechdef_wolfhound_WLF-2,0,3052-01-01T00:00:00Z,44
mechdef_spector_SPR-5F,0,3053-01-01T00:00:00Z,34
Mediums,,,
mechdef_vulcan_VL-2T,92,,92
mechdef_cicada_CDA-2A,12,,55
mechdef_strider_SR1-OA,0,3057-01-01T00:00:00Z,4
mechdef_assassin_ASN-21,6,,55
mechdef_clint_CLNT-2-3T,6,,24
mechdef_hermesII_HER-2S,12,,12
mechdef_vulcan_VL-5M,0,3050-01-01T00:00:00Z,37
mechdef_cicada_CDA-3M,0,3050-01-01T00:00:00Z,12
mechdef_hatchetman_HCT-3F,0,,18
mechdef_strider_SR1-O,0,3057-01-01T00:00:00Z,4
mechdef_strider_SR1-OD,0,3057-01-01T00:00:00Z,4
mechdef_strider_SR1-OB,0,3057-01-01T00:00:00Z,4
mechdef_vulcan_VL-5T,12,,12
mechdef_strider_SR1-OC,0,3057-01-01T00:00:00Z,4
mechdef_centurion_CN9-A,43,,37
mechdef_blackjack_BJ-1,43,,37
mechdef_strider_SR1-OE,0,3058-01-01T00:00:00Z,4
mechdef_snake_SNK-1V,0,3053-01-01T00:00:00Z,6
mechdef_whitworth_WTH-1,6,,79
mechdef_hoplite_HOP-4C,43,,15
mechdef_trebuchet_TBT-5S,6,,0
mechdef_wyvern_WVE-6N,6,,6
mechdef_scorpion_SCP-1N,12,,55
mechdef_hoplite_HOP-4D,0,3050-01-01T00:00:00Z,12
mechdef_vindicator_VND-1R,0,,24
mechdef_enforcer_ENF-4R,43,,43
mechdef_hatchetman_HCT-5S,0,3050-01-01T00:00:00Z,30
mechdef_phoenixhawk_PXH-1,184,,61
mechdef_chameleon_CLN-7V,0,3056-01-01T00:00:00Z,6
mechdef_hunchback_HBK-4G,43,,6
mechdef_hunchback_HBK-5M,0,3046-01-01T00:00:00Z,18
mechdef_shadowhawk_SHD-2H,123,,6
mechdef_hunchback_HBK-4H,6,,2
mechdef_hunchback_HBK-4N,6,,2
mechdef_wolverine_WVR-6R,92,,12
mechdef_centurion_CN9-D,0,3049-01-01T00:00:00Z,55
mechdef_hunchback_HBK-4P,6,,0
mechdef_crab_CRB-20,6,,0
mechdef_hunchback_HBK-4J,6,,2
mechdef_dervish_DV-6M,25,,18
mechdef_hoplite_HOP-4B,25,,8
mechdef_blackjack_BJ-2,0,3052-01-01T00:00:00Z,43
mechdef_nightsky_NGS-4S,0,3053-01-01T00:00:00Z,24
mechdef_trebuchet_TBT-5N,43,,24
mechdef_apollo_APL-1M,0,3054-01-01T00:00:00Z,18
mechdef_stealth_STH-1D,0,3054-01-01T00:00:00Z,43
mechdef_enfield_END-6Q,0,3055-01-01T00:00:00Z,24
mechdef_griffin_GRF-1N,180,,104
mechdef_gladiator_GLD-3R,12,,6
mechdef_wraith_TR1,0,3055-01-01T00:00:00Z,18
mechdef_gladiator_GLD-4R,12,,9
mechdef_phoenixhawk_PXH-3M,0,3050-01-01T00:00:00Z,74
mechdef_enforcer_ENF-5D,0,3050-01-01T00:00:00Z,48
mechdef_trebuchet_TBT-7M,0,3048-01-01T00:00:00Z,36
mechdef_griffin_GRF-3M,0,3049-01-01T00:00:00Z,12
Heavies,,,
mechdef_jagermech_JM6-S,0,,30
mechdef_jagermech_JM6-DD,0,3043-01-01T00:00:00Z,30
mechdef_rifleman_RFL-3N,98,,70
mechdef_champion_CHP-2N,5,,5
mechdef_dragon_DRG-1N,34,,34
mechdef_quickdraw_QKD-4G,34,,34
mechdef_quickdraw_QKD-5A,5,,5
mechdef_ostwar_OWR-2M,3,,0
mechdef_loaderking_LDK-5C,3,,0
mechdef_rifleman_RFL-5M,0,3050-01-01T00:00:00Z,20
mechdef_dragon_DRG-1C,10,,0
mechdef_merlin_MLN-1A,10,,10
mechdef_ostroc_OSR-2C,34,,19
mechdef_ostroc_OSR-2L,5,,3
mechdef_quickdraw_QKD-5M,0,3050-01-01T00:00:00Z,10
mechdef_quickdraw_QKD-4H,5,,5
mechdef_ostsol_OTL-4D,73,,25
mechdef_ostsol_OTL-5M,0,3050-01-01T00:00:00Z,30
mechdef_ostroc_OSR-3C,5,,3
mechdef_orion_ON1-V,5,,5
mechdef_warhammer_WHM-6R,98,,85
mechdef_crusader_CRD-3R,146,,10
mechdef_orion_ON1-VA,5,,5
mechdef_thunderbolt_TDR-5S,98,,40
mechdef_thunderbolt_TDR-5SS,0,,10
mechdef_archer_ARC-5W,0,3050-01-01T00:00:00Z,20
mechdef_archer_ARC-2W,40,,35
mechdef_bombardier_BMB-10D,5,,5
mechdef_grasshopper_GHR-5J,0,3050-01-01T00:00:00Z,20
mechdef_marauder_MAD-3R,10,,35
mechdef_axman_AXM-1N,0,3048-01-01T00:00:00Z,20
mechdef_guillotine_GLT-4P,5,,0
mechdef_catapult_CPLT-C1,0,,45
