DavionLocals,,,,,,,
Salvage:KuritaLocals,25,,25,,25,,25
Salvage:LiaoLocals,25,,45,,45,,45
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3050-01-01T00:00:00Z,,3057-01-01T00:00:00Z
Lights,,,,,,,
mechdef_stinger_STG-3R,77,,71,,64,,58
mechdef_wasp_WSP-1A,128,,115,,106,,58
mechdef_wasp_WSP-1D,77,,71,,64,,58
mechdef_locust_LCT-1M,62,,56,,52,,47
mechdef_locust_LCT-1V,77,,71,,64,,57
mechdef_hornet_HNT-152,4,,4,,3,,5
mechdef_hornet_HNT-151,4,,25,,32,,29
mechdef_locust_LCT-3V,7,,6,,6,,5
mechdef_stinger_STG-3G,39,,35,,32,,29
mechdef_urbanmech_UM-R60,51,,46,,43,,38
mechdef_spider_SDR-5D,5,,4,,3,,3
mechdef_commando_COM-3A,0,,0,3039-01-01T00:00:00Z,3,,3
mechdef_commando_COM-2D,0,,10,,23,,20
mechdef_javelin_JVN-10P,0,,0,3049-01-01T00:00:00Z,6,,5
mechdef_javelin_JVN-10N,77,,71,,64,,58
mechdef_ostscout_OTT-7J,19,,18,,16,,0
mechdef_hermes_HER-1A,7,,6,,6,,0
mechdef_falcon_FLC-4N,4,,4,,3,,0
mechdef_spider_SDR-5V,27,,25,,23,,20
mechdef_raven_RVN-1X,0,3028-09-01T00:00:00Z,10,,9,,8
mechdef_javelin_JVN-10A,11,,10,,9,,15
mechdef_valkyrie_VLK-QF,27,,25,,23,,20
mechdef_locust_LCT-1D,3,,3,,1,,1
mechdef_hermes_HER-1B,4,,4,,3,,0
mechdef_firestarter_FS9-H,62,,56,,52,,29
mechdef_valkyrie_VLK-QA,128,,116,,106,,96
mechdef_mongoose_MON-67,11,,10,,9,,8
mechdef_firestarter_FS9-K,4,,4,,3,,5
mechdef_urbanmech_UM-R90,11,,10,,9,,9
mechdef_javelin_JVN-10F,27,,25,,23,,20
mechdef_raven_RVN-2X,0,3030-01-01T00:00:00Z,4,,3,,8
mechdef_wolfhound_WLF-1,0,3028-01-15T00:00:00Z,10,,23,,20
mechdef_wolfhound_WLF-1A,0,3028-03-15T00:00:00Z,4,,4,,5
mechdef_wolfhound_WLF-1B,0,3028-03-15T00:00:00Z,4,,4,,5
Mediums,,,,,,,
mechdef_clint_CLNT-2-4T,3,,3,,3,,0
mechdef_vulcan_VL-2T,16,,16,,15,,17
mechdef_cicada_CDA-2A,16,,16,,15,,17
mechdef_clint_CLNT-1-2R,3,,3,,3,,0
mechdef_kyudo_KY2-D-01,6,,6,,6,,6
mechdef_assassin_ASN-21,16,,16,,15,,9
mechdef_assassin_ASN-101,3,,3,,3,,0
mechdef_clint_CLNT-2-3T,6,,6,,5,,0
mechdef_swordsman_SWD-2,6,,6,,6,,6
mechdef_hatchetman_HCT-3NH,0,,1,,1,,1
mechdef_hatchetman_HCT-3F,2,,10,,9,,16
mechdef_hatchetman_HCT-3G,0,,2,,2,,2
mechdef_assassin_ASN-SB,3,,3,,3,,3
mechdef_shadowhawk_SHD-2D,63,,62,,56,,34
mechdef_blackjack_BJ-1DC,3,,3,,3,,3
mechdef_vulcan_VL-5T,9,,9,,8,,24
mechdef_centurion_CN9-A,104,,102,,97,,63
mechdef_centurion_CN9-AH,9,,9,,8,,9
mechdef_blackjack_BJ-1,47,,45,,47,,24
mechdef_blackjack_BJ-1X,3,,2,,1,,1
mechdef_hatchetman_HCT-3X,1,,3,,3,,5
mechdef_whitworth_WTH-1,22,,22,,20,,6
mechdef_trebuchet_TBT-5S,3,,3,,3,,0
mechdef_wyvern_WVE-6N,6,,6,,5,,3
mechdef_wolverine_WVR-6T,1,,1,,1,,1
mechdef_blackjack_BJ-1DB,3,,3,,3,,3
mechdef_scorpion_SCP-1N,16,,6,3049-12-01T00:00:00Z,0,,0
mechdef_vindicator_VND-1SIC,0,3031-11-01T00:00:00Z,6,,5,,5
mechdef_enforcer_ENF-4R,141,,139,,141,,63
mechdef_enforcer_ENF-3R,16,,16,,5,,5
mechdef_hunchback_HBK-4G,22,,22,,15,,17
mechdef_phoenixhawk_PXH-1,50,,50,,47,,54
mechdef_hunchback_HBK-4SP,0,3025-09-01T00:00:00Z,3,,5,,6
mechdef_shadowhawk_SHD-3H,3,,3,,3,,3
mechdef_centurion_CN9-AL,9,,9,,8,,9
mechdef_shadowhawk_SHD-2H,31,,31,,29,,24
mechdef_hunchback_HBK-4H,3,,3,,3,,3
mechdef_watchman_WTC-4M,0,,0,,0,3055-01-01T00:00:00Z,34
mechdef_phoenixhawk_PXH-1D,31,,31,,29,,24
mechdef_hunchback_HBK-4N,3,,3,,3,,3
mechdef_rifleman_RFL-2N,3,,3,,3,,5
mechdef_wolverine_WVR-6R,28,,28,,26,,24
mechdef_wolverine_WVR-6D,24,,22,,20,,17
mechdef_hunchback_HBK-4P,3,,3,,3,,3
mechdef_crab_CRB-20,9,,9,,8,,6
mechdef_hunchback_HBK-4J,3,,3,,3,,3
mechdef_dervish_DV-6M,63,,62,,59,,67
mechdef_kintaro_KTO-18,31,,16,,15,,17
mechdef_trebuchet_TBT-5N,16,,16,,15,,9
mechdef_blackjack_BJ-3X,0,3029-01-01T00:00:00Z,3,,1,,1
mechdef_griffin_GRF-1N,104,,101,,97,,67
mechdef_gladiator_GLD-3R,3,,3,,3,,3
mechdef_gladiator_GLD-4R,3,,3,,3,,3
Heavies,,,,,,,
mechdef_jagermech_JM6-S,82,,77,,72,,70
mechdef_rifleman_RFL-3N,139,,133,,125,,70
