FroncReaches,,,,,
Collection:LiaoLocals,0,,0,Jump:3067-01-01T00:00:00Z,10
Collection:MagistracyOfCanopus,0,,0,Jump:3067-01-01T00:00:00Z,40
Dates,3060-01-01T00:00:00Z,,3064-01-01T00:00:00Z,,3068-01-01T00:00:00Z
Lights,,,,,
mechdef_stinger_STG-3R,4,,21,,5
mechdef_flea_FLE-19,0,,0,3068-01-01T00:00:00Z,1
mechdef_wasp_WSP-1A,7,,35,,7
mechdef_locust_LCT-1V,2,,11,,10
mechdef_commando_COM-1A,0,,0,3067-01-01T00:00:00Z,2
mechdef_hornet_HNT-151,1,,5,,1
mechdef_locust_LCT-3V,1,,5,,5
mechdef_stinger_STG-3G,2,,10,,5
mechdef_flea_FLE-17,2,,3,,2
mechdef_thorn_THE-S,0,,0,3067-01-01T00:00:00Z,9
mechdef_commando_COM-2D,5,,22,,4
mechdef_locust_LCT-1E,2,,8,,5
mechdef_javelin_JVN-10N,3,,14,,3
mechdef_spider_SDR-5V,2,,10,,2
mechdef_firestarter_FS9-H,3,,15,,3
mechdef_firestarter_FS9-S,1,,1,,4
mechdef_panther_PNT-9R,3,,14,,4
mechdef_firestarter_FS9-P,0,3064-01-01T00:00:00Z,1,,2
mechdef_firestarter_FS9-S1,1,,1,,4
mechdef_javelin_JVN-10F,1,,2,,3
mechdef_jenner_JR7-D,3,,14,,4
mechdef_firestarter_FS9-C,0,3064-01-01T00:00:00Z,1,,3
mechdef_anubis_ABS-3L,0,3063-01-01T00:00:00Z,2,,0
mechdef_anubis_ABS-3R,0,3064-01-01T00:00:00Z,1,,0
Mediums,,,,,
mechdef_vulcan_VL-2T,5,,10,,1
mechdef_assassin_ASN-21,3,,7,,0
mechdef_hatchetman_HCT-3F,1,,1,,2
mechdef_vulcan_VL-5T,1,,2,,2
mechdef_centurion_CN9-A,2,,4,,1
mechdef_centurion_CN9-AH,1,,1,,0
mechdef_blackjack_BJ-1,4,,9,,5
mechdef_whitworth_WTH-1,10,,22,,8
mechdef_trebuchet_TBT-5S,3,,5,,1
mechdef_enforcer_ENF-4R,4,,8,,1
mechdef_hunchback_HBK-4G,3,,6,,1
mechdef_phoenixhawk_PXH-1,7,,15,,3
mechdef_hunchback_HBK-4SP,1,,2,,1
mechdef_centurion_CN9-AL,1,,1,,0
mechdef_shadowhawk_SHD-2H,14,,31,,5
