GhostBear,,,,,,,
Collection:DiamondShark,0,,0,,0,,0
Collection:JadeFalcon,12,,9,,5,,1
Collection:NovaCat,12,,9,,7,,11
Collection:SmokeJaguar,3,,2,,6,,11
Collection:SteelViper,15,,12,,9,,0
Collection:Wolf,12,,12,,23,,41
,,,,,,,
Dates,3049-01-01T00:00:00Z,,3053-01-01T00:00:00Z,,3057-01-01T00:00:00Z,,3061-01-01T00:00:00Z
Lights,,,,,,,
mechdef_koshi_mist_lynx-A,30,,15,,15,,15
mechdef_dasher_fire_moth-A,15,,15,,15,,15
mechdef_dasher_fire_moth-C,30,,30,,30,,30
mechdef_dasher_fire_moth-H,0,,0,,0,3060-01-01T00:00:00Z,7
mechdef_dasher_fire_moth-E,0,,0,3055-01-01T00:00:00Z,3,,5
mechdef_koshi_mist_lynx-D,7,,7,,7,,7
mechdef_koshi_mist_lynx-PRIME,74,,37,,37,,37
mechdef_locust_IIC-5,0,,0,,0,3060-01-01T00:00:00Z,9
mechdef_locust_IIC-3,0,3050-01-01T00:00:00Z,6,,9,,9
mechdef_koshi_mist_lynx-H,0,,0,,0,3059-01-01T00:00:00Z,2
mechdef_koshi_mist_lynx-E,0,,0,3054-01-01T00:00:00Z,3,,5
mechdef_piranha-1,0,3051-01-01T00:00:00Z,17,,27,,15
mechdef_jenner_IIC,0,3050-01-01T00:00:00Z,17,,27,,24
mechdef_dasher_fire_moth-B,59,,126,,126,,126
mechdef_koshi_mist_lynx-P,0,,0,,0,3061-01-01T00:00:00Z,3
mechdef_hankyu_arctic_cheetah-B,7,,7,,7,,12
mechdef_hankyu_arctic_cheetah-D,7,,6,,4,,9
mechdef_uller_kit_fox-PRIME,44,,59,,59,,59
mechdef_uller_kit_fox-B,34,,19,,19,,19
mechdef_locust_IIC,34,,67,,59,,34
mechdef_hankyu_arctic_cheetah-A,10,,10,,9,,15
mechdef_uller_kit_fox-D,7,,7,,7,,7
mechdef_uller_kit_fox-C,7,,7,,7,,7
mechdef_vixen_incubus-7,0,3050-01-01T00:00:00Z,3,,4,,3
mechdef_uller_kit_fox-J,0,,0,,0,3060-01-01T00:00:00Z,2
mechdef_peregrine_horned_owl-2,0,3050-01-01T00:00:00Z,10,,11,,6
mechdef_koshi_mist_lynx-B,22,,22,,22,,22
mechdef_uller_kit_fox-H,0,,0,,0,3059-01-01T00:00:00Z,2
mechdef_dasher_fire_moth-PRIME,208,,148,,148,,148
mechdef_puma_adder-D,15,,15,,15,,15
mechdef_hankyu_arctic_cheetah-H,0,,0,,0,3062-01-01T00:00:00Z,9
mechdef_puma_adder-E,0,,0,,0,3060-01-01T00:00:00Z,3
mechdef_firefly_C,0,3050-01-01T00:00:00Z,12,,18,,15
mechdef_uller_kit_fox-A,15,,15,,15,,15
mechdef_koshi_mist_lynx-C,15,,67,,67,,67
mechdef_vixen_incubus-3,0,3050-01-01T00:00:00Z,3,,2,,3
mechdef_hankyu_arctic_cheetah-PRIME,17,,14,,13,,24
mechdef_uller_kit_fox-S,3,,3,,3,,3
mechdef_uller_kit_fox-G,0,,0,3054-01-01T00:00:00Z,3,,5
mechdef_puma_adder-C,15,,15,,15,,15
mechdef_uller_kit_fox-E,0,,0,3054-01-01T00:00:00Z,3,,5
mechdef_puma_adder-B,59,,81,,81,,81
mechdef_puma_adder-S,0,3050-01-01T00:00:00Z,17,,38,,51
mechdef_peregrine_horned_owl-1,15,,30,,22,,15
mechdef_puma_adder-A,37,,15,,15,,15
mechdef_puma_adder-H,0,,0,,0,3059-01-01T00:00:00Z,3
mechdef_hellion-A,0,,0,,0,3060-01-01T00:00:00Z,24
mechdef_peregrine_horned_owl-3,0,,0,,0,3061-01-01T00:00:00Z,6
mechdef_vixen_incubus-8,7,,15,,7,,7
mechdef_hellion-B,0,,0,,0,3060-01-01T00:00:00Z,36
mechdef_vixen_incubus-1,15,,30,,22,,15
mechdef_hankyu_arctic_cheetah-C,3,,3,,2,,6
mechdef_hellion-Prime,0,,0,,0,3060-01-01T00:00:00Z,48
mechdef_vixen_incubus-2,34,,67,,59,,34
mechdef_puma_adder-PRIME,96,,96,,96,,96
mechdef_hellion-C,0,,0,,0,3061-01-01T00:00:00Z,27
mechdef_dasher_fire_moth-D,133,,126,,126,,126
Mediums,,,,,,,
mechdef_fenris_ice_ferret-C,3,,3,,3,,3
mechdef_fenris_ice_ferret-A,28,,28,,28,,28
mechdef_great_wyrm-1,0,3050-01-01T00:00:00Z,8,,8,,0
mechdef_dragonfly_viper-C,55,,73,,73,,73
mechdef_stag_ST-14G,0,3052-01-01T00:00:00Z,1,,1,,1
mechdef_shadow_cat-TC,0,,0,,0,3060-01-01T00:00:00Z,2
mechdef_clint_IIC,0,,0,3052-06-01T00:00:00Z,1,,1
mechdef_black_hawk_nova-D,9,,9,,9,,9
mechdef_dragonfly_viper-PRIME,165,,46,,46,,46
mechdef_fenris_ice_ferret-B,28,,28,,28,,28
mechdef_fenris_ice_ferret-E,0,,0,3056-01-01T00:00:00Z,3,,5
mechdef_black_hawk_nova-C,13,,11,,11,,0
