HyadesRim,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3050-01-01T00:00:00Z,,3061-01-01T00:00:00Z,,3067-01-01T00:00:00Z
Lights,,,,,,,,,
mechdef_stinger_STG-3R,4,,4,,3,,5,,3
mechdef_wasp_WSP-1A,4,,4,,5,,9,,5
mechdef_locust_LCT-1V,3,,3,,3,,3,,3
mechdef_urbanmech_UM-R60L,0,,0,,0,3058-01-01T00:00:00Z,1,,1
mechdef_commando_COM-1A,0,,0,,0,,0,3067-01-01T00:00:00Z,1
mechdef_hornet_HNT-151,1,,1,,1,,3,,2
mechdef_locust_LCT-3V,1,,1,,1,,1,,2
mechdef_stinger_STG-3G,1,,1,,2,,3,,2
mechdef_urbanmech_UM-R60,1,,1,,1,,1,,1
mechdef_flea_FLE-17,0,,0,,0,3055-01-01T00:00:00Z,7,,2
mechdef_thorn_THE-S,0,,0,,0,,0,3067-01-01T00:00:00Z,3
mechdef_commando_COM-2D,3,,3,,3,,6,,3
mechdef_locust_LCT-1E,1,,1,,1,,2,,2
mechdef_urbanmech_UM-R69,0,,0,,0,,0,3063-01-01T00:00:00Z,1
mechdef_javelin_JVN-10P,0,,0,,0,,0,3067-01-01T00:00:00Z,4
mechdef_javelin_JVN-10N,4,,4,,4,,7,,3
mechdef_ostscout_OTT-7J,1,,1,,1,,0,,0
mechdef_spider_SDR-5V,1,,1,,1,,3,,2
mechdef_toro_TR-A-1,0,,0,,0,,0,3067-01-01T00:00:00Z,2
mechdef_firestarter_FS9-H,6,,6,,6,,4,,2
mechdef_mongoose_MON-67,0,,1,,1,,0,,0
mechdef_firestarter_FS9-S,0,,0,3049-01-01T00:00:00Z,1,,3,,3
mechdef_panther_PNT-9R,2,,2,,2,,4,,2
mechdef_firestarter_FS9-P,0,,0,,0,,0,3064-01-01T00:00:00Z,2
mechdef_firestarter_FS9-S1,0,,0,,0,3055-01-01T00:00:00Z,3,,3
mechdef_javelin_JVN-10F,1,,1,,1,,1,,1
mechdef_jenner_JR7-D,2,,2,,2,,4,,2
mechdef_firestarter_FS9-C,0,,0,,0,,0,3064-01-01T00:00:00Z,3
Mediums,,,,,,,,,
mechdef_vulcan_VL-2T,4,,4,,4,,3,,2
mechdef_cicada_CDA-2A,2,,2,,2,,0,,0
mechdef_assassin_ASN-21,4,,4,,4,,2,,0
mechdef_hatchetman_HCT-3F,0,,0,,0,3058-01-01T00:00:00Z,1,,3
mechdef_vulcan_VL-5T,1,,1,,1,,1,,2
mechdef_centurion_CN9-A,4,,4,,4,,3,,2
mechdef_centurion_CN9-AH,1,,1,,1,,1,,0
mechdef_blackjack_BJ-1,5,,5,,5,,3,,4
mechdef_whitworth_WTH-1,2,,2,,2,,6,,6
mechdef_trebuchet_TBT-5S,2,,2,,2,,2,,1
mechdef_wyvern_WVE-6N,1,,1,,1,,0,,0
mechdef_scorpion_SCP-1N,3,,3,,2,,1,,1
mechdef_enforcer_ENF-4R,0,,0,,0,3058-01-01T00:00:00Z,3,,2
mechdef_hunchback_HBK-4G,4,,4,,4,,2,,1
mechdef_phoenixhawk_PXH-1,4,,4,,4,,4,,5
mechdef_hunchback_HBK-4SP,1,,1,,1,,1,,1
mechdef_centurion_CN9-AL,1,,1,,1,,1,,0
mechdef_shadowhawk_SHD-2H,7,,7,,7,,9,,7
mechdef_hunchback_HBK-4H,1,,1,,1,,1,,1
mechdef_hunchback_HBK-4N,1,,1,,1,,1,,1
mechdef_hunchback_HBK-5H,0,,0,,0,,0,3064-01-01T00:00:00Z,1
mechdef_wolverine_WVR-6R,6,,6,,6,,5,,4
mechdef_centurion_CN9-D,0,,0,,0,3055-01-01T00:00:00Z,1,,3
mechdef_hunchback_HBK-4P,1,,1,,1,,1,,1
mechdef_crab_CRB-20,2,,2,,2,,0,,0
mechdef_hunchback_HBK-4J,1,,1,,1,,1,,1
mechdef_dervish_DV-6M,10,,10,,7,,4,,5
mechdef_marshal_MHL-X1,0,,0,,0,3060-01-01T00:00:00Z,3,,6
mechdef_trebuchet_TBT-5N,5,,5,,5,,5,,3
mechdef_blackjack_BJ-3,0,,0,,0,3058-01-01T00:00:00Z,1,,3
mechdef_griffin_GRF-1N,10,,10,,10,,6,,5
