IvesA,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Dates,3029-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3050-01-01T00:00:00Z,,3057-01-01T00:00:00Z,,3063-01-01T00:00:00Z
Lights,,,,,,,,,
mechdef_wasp_WSP-1L,7,,7,,10,,7,,94
mechdef_stinger_STG-3R,20,,20,,17,,15,,132
mechdef_wasp_WSP-1A,29,,29,,27,,19,,266
mechdef_locust_LCT-1V,19,,15,,11,,10,,101
mechdef_stinger_STG-5M,0,,0,,0,3055-01-01T00:00:00Z,8,,89
mechdef_cossack_C-SK1,0,,0,,0,,0,3060-01-01T00:00:00Z,25
mechdef_urbanmech_UM-R60L,0,3039-01-01T00:00:00Z,1,,1,,1,,12
mechdef_locust_LCT-1L,0,,0,3040-01-01T00:00:00Z,10,,5,,24
mechdef_locust_LCT-3V,3,,4,,4,,4,,51
mechdef_stinger_STG-3G,5,,5,,8,,8,,66
mechdef_urbanmech_UM-R60,2,,1,,1,,1,,17
mechdef_locust_LCT-3M,0,,0,3050-01-01T00:00:00Z,5,,5,,68
mechdef_locust_LCT-1E,5,,5,,6,,5,,72
mechdef_urbanmech_UM-R69,0,,0,,0,,0,3063-01-01T00:00:00Z,6
mechdef_javelin_JVN-10N,4,,4,,4,,4,,73
mechdef_ostscout_OTT-7J,5,,3,,2,,2,,41
mechdef_spider_SDR-7M,0,,0,,0,3051-01-01T00:00:00Z,5,,56
mechdef_spider_SDR-5V,8,,8,,5,,3,,21
mechdef_raven_RVN-1X,0,,0,3040-01-01T00:00:00Z,16,,4,,0
mechdef_owens_OW-1D,0,,0,,0,,0,3060-01-01T00:00:00Z,4
mechdef_tarantula_ZPH-1,0,,0,,0,3055-01-01T00:00:00Z,2,,16
mechdef_owens_OW-1A,0,,0,,0,,0,3060-01-01T00:00:00Z,4
mechdef_firestarter_FS9-H,13,,13,,11,,8,,72
mechdef_tarantula_ZPH-3A,0,,0,,0,,0,3063-01-01T00:00:00Z,8
mechdef_tarantula_ZPH-2A,0,,0,,0,,0,3060-01-01T00:00:00Z,11
mechdef_owens_OW-1B,0,,0,,0,,0,3060-01-01T00:00:00Z,4
mechdef_firestarter_FS9-S,0,,0,3049-01-01T00:00:00Z,4,,3,,34
mechdef_panther_PNT-9R,4,,4,,3,,3,,52
mechdef_wasp_WSP-105,6,,6,,6,,0,,0
mechdef_firestarter_FS9-S1,0,,0,,0,3055-01-01T00:00:00Z,2,,34
mechdef_owens_OW-1E,0,,0,,0,,0,3060-01-01T00:00:00Z,1
mechdef_javelin_JVN-10F,1,,1,,1,,1,,13
mechdef_owens_OW-1,0,,0,,0,,0,3060-01-01T00:00:00Z,8
mechdef_jenner_JR7-D,4,,4,,4,,4,,73
mechdef_jackal_JA-KL-1532,0,,0,,0,3055-01-01T00:00:00Z,8,,70
mechdef_owens_OW-1C,0,,0,,0,,0,3060-01-01T00:00:00Z,4
mechdef_falconhawk_FNHK-9K,0,,0,,0,3057-01-01T00:00:00Z,1,,14
mechdef_falconhawk_FNHK-9K1A,0,,0,,0,3057-01-01T00:00:00Z,4,,56
mechdef_stinger_STG-A5,4,,4,,4,,0,,0
mechdef_owens_OW-1R,0,,0,,0,,0,3060-01-01T00:00:00Z,1
Mediums,,,,,,,,,
mechdef_clint_CLNT-2-4T,0,3039-01-01T00:00:00Z,2,,2,,3,,8
mechdef_cicada_CDA-2B,1,,1,,1,,1,,0
mechdef_vulcan_VL-2T,9,,9,,13,,10,,60
mechdef_cicada_CDA-2A,5,,5,,7,,4,,3
mechdef_clint_CLNT-1-2R,0,3039-01-01T00:00:00Z,1,,1,,0,,0
mechdef_assassin_ASN-21,11,,11,,12,,10,,30
mechdef_clint_CLNT-2-3T,11,,9,,14,,8,,17
mechdef_cicada_CDA-3M,0,,0,3049-01-01T00:00:00Z,3,,2,,17
mechdef_vulcan_VL-5T,1,,1,,2,,2,,15
mechdef_centurion_CN9-A,4,,6,,10,,1,,0
mechdef_centurion_CN9-AH,1,,1,,2,,2,,0
mechdef_blackjack_BJ-1,16,,14,,22,,11,,52
mechdef_firestarter_FS9-OA,0,,0,,0,3057-01-01T00:00:00Z,5,,7
mechdef_whitworth_WTH-1,6,,4,,6,,1,,0
mechdef_trebuchet_TBT-5S,5,,5,,8,,6,,24
mechdef_firestarter_FS9-OE,0,,0,,0,,0,3058-01-01T00:00:00Z,5
mechdef_wyvern_WVE-6N,7,,7,,10,,10,,53
