JadeFalcon,,,,,,,
Collection:DiamondShark,8,,6,,6,,0
Collection:GhostBear,6,,4,,3,,0
Collection:NovaCat,2,,2,,3,,0
Collection:SmokeJaguar,5,,4,,3,,0
Collection:SteelViper,16,,9,,16,,33
Collection:Wolf,16,,10,,44,,96
,,,,,,,
Dates,3049-01-01T00:00:00Z,,3053-01-01T00:00:00Z,,3057-01-01T00:00:00Z,,3061-01-01T00:00:00Z
Lights,,,,,,,
mechdef_baboon_howler-4,6,,6,,6,Jump:3058-01-01T00:00:00Z,17
mechdef_koshi_mist_lynx-A,22,,22,,22,,22
mechdef_dasher_fire_moth-A,11,,11,,11,,11
mechdef_baboon_howler-1,11,,17,,11,Jump:3058-01-01T00:00:00Z,22
mechdef_dasher_fire_moth-C,17,,17,,17,,17
mechdef_dasher_fire_moth-H,0,,0,,0,3060-01-01T00:00:00Z,2
mechdef_dasher_fire_moth-E,0,,0,3055-01-01T00:00:00Z,4,,4
mechdef_fire_falcon-A,0,3052-01-01T00:00:00Z,3,,11,,17
mechdef_fire_falcon-D,0,3052-01-01T00:00:00Z,1,,6,,11
mechdef_koshi_mist_lynx-D,6,,6,,6,,6
mechdef_koshi_mist_lynx-PRIME,56,,56,,56,,56
mechdef_locust_IIC-2,3,,4,,3,Jump:3058-01-01T00:00:00Z,6
mechdef_locust_IIC-3,0,3050-01-01T00:00:00Z,1,,2,,2
mechdef_koshi_mist_lynx-H,0,,0,,0,3059-01-01T00:00:00Z,3
mechdef_koshi_mist_lynx-E,0,,0,3054-01-01T00:00:00Z,3,,5
mechdef_piranha-1,0,3051-01-01T00:00:00Z,5,,6,,4
mechdef_fire_falcon-C,0,3052-01-01T00:00:00Z,1,,6,,11
mechdef_jenner_IIC,0,3050-01-01T00:00:00Z,5,,6,,4
mechdef_dasher_fire_moth-B,26,,25,,17,,9
mechdef_koshi_mist_lynx-P,0,,0,,0,3061-01-01T00:00:00Z,2
mechdef_hankyu_arctic_cheetah-B,26,,23,,17,,9
mechdef_hankyu_arctic_cheetah-D,18,,17,,10,,7
mechdef_uller_kit_fox-PRIME,258,,258,,258,,258
mechdef_uller_kit_fox-B,118,,118,,118,,118
mechdef_fire_falcon-E,0,,0,,0,3061-01-01T00:00:00Z,7
mechdef_locust_IIC,8,,13,,8,Jump:3058-01-01T00:00:00Z,16
mechdef_hankyu_arctic_cheetah-A,37,,33,,23,,13
mechdef_uller_kit_fox-D,39,,39,,39,,39
mechdef_uller_kit_fox-C,51,,51,,51,,51
mechdef_vixen_incubus-7,6,,6,,6,Jump:3058-01-01T00:00:00Z,17
mechdef_uller_kit_fox-J,0,,0,,0,3060-01-01T00:00:00Z,5
mechdef_peregrine_horned_owl-2,0,3050-01-01T00:00:00Z,1,,2,,2
mechdef_koshi_mist_lynx-B,17,,17,,17,,17
mechdef_uller_kit_fox-H,0,,0,,0,3059-01-01T00:00:00Z,5
mechdef_dasher_fire_moth-PRIME,56,,56,,56,,56
mechdef_puma_adder-D,11,,11,,11,,11
mechdef_puma_adder-E,0,,0,,0,3060-01-01T00:00:00Z,3
mechdef_firefly_C,0,3050-01-01T00:00:00Z,4,,4,,4
mechdef_cougar-D,0,,0,,0,3058-01-01T00:00:00Z,6
mechdef_uller_kit_fox-A,84,,84,,84,,84
mechdef_koshi_mist_lynx-C,11,,11,,11,,11
mechdef_cougar-H,0,,0,,0,3061-01-01T00:00:00Z,4
mechdef_vixen_incubus-3,6,,6,,6,Jump:3058-01-01T00:00:00Z,17
mechdef_hankyu_arctic_cheetah-PRIME,52,,46,,34,,20
mechdef_uller_kit_fox-S,11,,11,,11,,11
mechdef_baboon_howler-5,0,3053-01-01T00:00:00Z,1,,2,,2
mechdef_uller_kit_fox-G,0,,0,3054-01-01T00:00:00Z,3,,11
mechdef_puma_adder-C,22,,22,,22,,22
mechdef_uller_kit_fox-E,0,,0,3054-01-01T00:00:00Z,3,,11
mechdef_puma_adder-B,17,,17,,17,,17
mechdef_puma_adder-S,0,3050-01-01T00:00:00Z,17,,19,,18
mechdef_peregrine_horned_owl-1,0,3050-01-01T00:00:00Z,3,,4,,2
mechdef_puma_adder-A,39,,39,,39,,39
mechdef_fire_falcon-PRIME,0,3052-01-01T00:00:00Z,5,,17,,22
mechdef_puma_adder-H,0,,0,,0,3059-01-01T00:00:00Z,3
mechdef_cougar-PRIME,0,,0,,0,3058-01-01T00:00:00Z,11
mechdef_hellion-A,0,,0,,0,3060-01-01T00:00:00Z,11
mechdef_vixen_incubus-8,6,,6,,6,Jump:3058-01-01T00:00:00Z,17
mechdef_hellion-B,0,,0,,0,3060-01-01T00:00:00Z,11
mechdef_fire_falcon-B,0,3052-01-01T00:00:00Z,1,,6,,11
mechdef_vixen_incubus-1,11,,22,,11,Jump:3058-01-01T00:00:00Z,39
mechdef_devil,0,3050-01-01T00:00:00Z,4,,6,,7
mechdef_cougar-A,0,,0,,0,3058-01-01T00:00:00Z,6
mechdef_cougar-B,0,,0,,0,3058-01-01T00:00:00Z,6
mechdef_cougar-C,0,,0,,0,3058-01-01T00:00:00Z,6
mechdef_hankyu_arctic_cheetah-C,11,,10,,6,,4
mechdef_hellion-Prime,0,,0,,0,3060-01-01T00:00:00Z,64
mechdef_vixen_incubus-2,11,,17,,11,Jump:3058-01-01T00:00:00Z,22
mechdef_puma_adder-PRIME,79,,79,,79,,79
mechdef_hellion-C,0,,0,,0,3061-01-01T00:00:00Z,9
mechdef_dasher_fire_moth-D,37,,35,,23,,13
Mediums,,,,,,,
mechdef_phantom-E,0,,0,,0,3061-01-01T00:00:00Z,6
mechdef_phantom-B,0,,0,3055-01-01T00:00:00Z,21,,13
mechdef_phantom-PRIME,0,,0,3055-01-01T00:00:00Z,42,,25
mechdef_fenris_ice_ferret-C,12,,12,,12,,12
mechdef_fenris_ice_ferret-A,37,,37,,37,,37
mechdef_great_wyrm-1,0,3050-01-01T00:00:00Z,2,,3,,2
mechdef_dragonfly_viper-C,24,,24,,24,,24
mechdef_stag_ST-14G,0,3052-01-01T00:00:00Z,1,,1,,1
mechdef_shadow_cat-TC,0,,0,,0,3060-01-01T00:00:00Z,2
mechdef_clint_IIC,0,,0,3055-01-01T00:00:00Z,9,,8
mechdef_phantom-A,0,,0,3055-01-01T00:00:00Z,29,,18
mechdef_black_hawk_nova-D,12,,12,,12,,12
mechdef_dragonfly_viper-PRIME,61,,61,,61,,61
