KuritaLocals,,,,,,,
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3050-01-01T00:00:00Z,,3057-01-01T00:00:00Z
Salvage:DavionLocals,25,,30,,30,,30
Salvage:SteinerLocals,25,,30,,30,,30
,,,,,,,
Lights,,,,,,,
mechdef_stinger_STG-3R,43,,41,,40,,38
mechdef_wasp_WSP-1K,43,,41,,40,,87
mechdef_wasp_WSP-1A,141,,135,,131,,108
mechdef_locust_LCT-1V,141,,135,,131,,108
mechdef_ostscout_OTT-7K,0,,0,,0,3050-01-01T00:00:00Z,10
mechdef_locust_LCT-3V,8,,7,,7,,10
mechdef_stinger_STG-3G,12,,11,,11,,15
mechdef_thorn_THE-T,0,3038-01-01T00:00:00Z,4,,4,,0
mechdef_spider_SDR-5K,4,,4,,4,,5
mechdef_urbanmech_UM-R60,59,,56,,31,,45
mechdef_hussar_HSR-300-D,0,Jump:3039-01-01T00:00:00Z,11,,20,,0
mechdef_mercury_MCY-98,0,Jump:3039-01-01T00:00:00Z,4,,4,,0
mechdef_javelin_JVN-10N,21,,20,,20,,15
mechdef_ostscout_OTT-7J,21,,20,,20,,10
mechdef_hermes_HER-1A,8,,7,,7,,0
mechdef_falcon_FLC-4N,4,,7,,7,,0
mechdef_spider_SDR-5V,43,,41,,40,,15
mechdef_mongoose_MON-68,0,3039-01-01T00:00:00Z,4,,4,,0
mechdef_hermes_HER-1B,4,,4,,4,,0
mechdef_firestarter_FS9-H,68,,65,,64,,27
mechdef_jenner_JR7-A,4,,4,,4,,4
mechdef_hussar_HSR-350-D,0,3038-01-01T00:00:00Z,4,,4,,0
mechdef_mongoose_MON-67,8,,11,,20,,0
mechdef_panther_PNT-8Z,8,,8,,7,,7
mechdef_firestarter_FS9-K,4,,4,,4,,0
mechdef_panther_PNT-9R,202,,192,,187,,168
mechdef_urbanmech_UM-R90,9,,9,,9,,9
mechdef_panther_PNT-9ALAG,4,,4,,4,,4
mechdef_javelin_JVN-10F,4,,4,,4,,0
mechdef_jenner_JR7-D,82,,78,,60,,104
mechdef_jenner_JR7-K,0,,0,3047-01-01T00:00:00Z,11,,54
mechdef_jenner_JR7-F,4,,5,,4,,0
Mediums,,,,,,,
mechdef_vulcan_VL-2T,42,,37,,35,,41
mechdef_sentinel_STN-3K,0,3025-01-01T00:00:00Z,37,,25,,0
mechdef_cicada_CDA-2A,30,,27,,25,,29
mechdef_assassin_ASN-23,0,,0,,0,3050-01-01T00:00:00Z,16
mechdef_kyudo_KY2-D-01,6,,5,,5,,0
mechdef_assassin_ASN-21,30,,27,,25,,10
mechdef_clint_CLNT-2-3T,6,,5,,5,,0
mechdef_whitworth_WTH-1S,6,,5,,5,,0
mechdef_whitworth_WTH-2,0,,0,,0,3050-01-01T00:00:00Z,29
mechdef_vulcan_VL-5T,6,,5,,5,,0
mechdef_centurion_CN9-A,11,,10,,9,,10
mechdef_blackjack_BJ-1,42,,37,,35,,0
mechdef_hermesII_HER-4K,11,,10,,9,,10
mechdef_whitworth_WTH-1,59,,53,,50,,29
mechdef_trebuchet_TBT-5S,6,,5,,5,,0
mechdef_trebuchet_TBT-7K,6,,5,,5,,0
mechdef_wyvern_WVE-6N,11,,37,,35,,0
mechdef_scorpion_SCP-1N,30,,27,,25,,29
mechdef_hunchback_HBK-4G,59,,53,,35,,41
mechdef_phoenixhawk_PXH-1,119,,106,,100,,117
mechdef_hunchback_HBK-4SP,0,3025-09-01T00:00:00Z,5,,9,,10
mechdef_shadowhawk_SHD-2H,42,,37,,35,,41
mechdef_hunchback_HBK-4H,6,,5,,5,,0
mechdef_phoenixhawk_PXH-1K,60,,53,,50,,58
mechdef_hunchback_HBK-4N,6,,5,,5,,0
mechdef_rifleman_RFL-2N,39,,37,,38,,38
mechdef_scorpion_SCP-1O,0,,0,,0,3050-01-01T00:00:00Z,10
mechdef_wolverine_WVR-6R,59,,53,,50,,58
mechdef_hunchback_HBK-4P,6,,5,,5,,0
mechdef_crab_CRB-20,11,,37,,50,,0
mechdef_hunchback_HBK-4J,6,,5,,5,,0
mechdef_dervish_DV-6M,30,,27,,25,,29
mechdef_shadowhawk_SHD-2K,59,,53,,50,,58
mechdef_trebuchet_TBT-5N,42,,37,,35,,29
mechdef_wolverine_WVR-6K,30,,27,,25,,29
mechdef_griffin_GRF-1N,119,,105,,100,,117
mechdef_wolverine_WVR-7K,0,,0,,0,3050-01-01T00:00:00Z,41
Heavies,,,,,,,
mechdef_rifleman_RFL-3N,52,,49,,50,,50
mechdef_champion_CHP-2N,5,,4,,5,,0
