LiaoLocals,,,,,,,
,,,,,,,
Salvage:DavionLocals,25,,25,,25,,30
Salvage:MarikLocals,25,,35,,35,,30
,,,,,,,
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3050-01-01T00:00:00Z,,3057-01-01T00:00:00Z
Lights,,,,,,,
mechdef_wasp_WSP-1L,95,,91,,90,,93
mechdef_stinger_STG-3R,157,,150,,90,,93
mechdef_wasp_WSP-1A,157,,150,,149,,92
mechdef_locust_LCT-1V,95,,91,,72,,74
mechdef_urbanmech_UM-R60L,9,,8,,8,,8
mechdef_urbanmech_UM-R60C,5,,5,,5,,3
mechdef_locust_LCT-3V,9,,8,,8,,8
mechdef_urbanmech_UM-R60X,0,3025-06-01T00:00:00Z,3,,3,,2
mechdef_stinger_STG-3G,48,,45,,45,,46
mechdef_urbanmech_UM-R60,78,,71,,70,,23
mechdef_flea_FLE-17,0,,0,3049-01-01T00:00:00Z,23,,74
mechdef_urbanmech_UM-R63,0,,0,,0,3050-01-01T00:00:00Z,46
mechdef_locust_LCT-1E,77,,73,,45,,46
mechdef_javelin_JVN-10N,24,,23,,23,,13
mechdef_ostscout_OTT-7J,24,,23,,23,,0
mechdef_hermes_HER-1A,9,,8,,8,,8
mechdef_falcon_FLC-4N,5,,5,,5,,8
mechdef_spider_SDR-5V,33,,32,,32,,32
mechdef_raven_RVN-1X,13,,33,,72,,32
mechdef_hermes_HER-1B,5,,5,,5,,5
mechdef_firestarter_FS9-H,76,,73,,70,,46
mechdef_mongoose_MON-67,9,,8,,8,,8
mechdef_firestarter_FS9-K,5,,5,,0,,0
mechdef_urbanmech_UM-R90,9,,9,,9,,9
mechdef_firebee_FRB-2E,3,,3,,3,,3
mechdef_javelin_JVN-10F,5,,5,,5,,5
Mediums,,,,,,,
mechdef_clint_CLNT-2-4T,5,,4,,5,,6
mechdef_cicada_CDA-2B,5,,4,,5,,6
mechdef_vulcan_VL-2T,23,,22,,5,,6
mechdef_cicada_CDA-2A,23,,22,,23,,15
mechdef_clint_CLNT-1-2R,5,,4,,5,,6
