NovaCat,,,,,,,
Collection:DiamondShark,3,,3,,1,,0
Collection:GhostBear,9,,9,,10,,10
Collection:JadeFalcon,3,,3,,2,,2
Collection:SmokeJaguar,3,,3,,8,,22
Collection:SteelViper,3,,3,,2,,0
Collection:Wolf,7,,7,,5,,0
,,,,,,,
Dates,3049-01-01T00:00:00Z,,3053-01-01T00:00:00Z,,3057-01-01T00:00:00Z,,3061-01-01T00:00:00Z
Lights,,,,,,,
mechdef_koshi_mist_lynx-A,42,,42,,42,,42
mechdef_dasher_fire_moth-A,11,,11,,11,,11
mechdef_dasher_fire_moth-C,21,,21,,21,,21
mechdef_dasher_fire_moth-H,0,,0,,0,3060-01-01T00:00:00Z,2
mechdef_jenner_IIC-3,4,,21,,32,,32
mechdef_snow_fox-1,0,,0,,0,3060-01-01T00:00:00Z,32
mechdef_dasher_fire_moth-E,0,,0,3055-01-01T00:00:00Z,6,,4
mechdef_fire_falcon-A,0,,0,,0,3060-01-01T00:00:00Z,11
mechdef_fire_falcon-D,0,,0,,0,3060-01-01T00:00:00Z,7
mechdef_koshi_mist_lynx-D,11,,11,,11,,11
mechdef_koshi_mist_lynx-PRIME,104,,104,,104,,104
mechdef_locust_IIC-3,2,,2,,2,,4
mechdef_koshi_mist_lynx-H,0,,0,,0,3059-01-01T00:00:00Z,3
mechdef_koshi_mist_lynx-E,0,,0,3054-01-01T00:00:00Z,3,,5
mechdef_piranha-1,0,3051-01-01T00:00:00Z,8,,16,,14
mechdef_fire_falcon-C,0,,0,,0,3060-01-01T00:00:00Z,4
mechdef_jenner_IIC,21,,42,,32,,32
mechdef_jenner_IIC-4,0,,0,,0,3061-01-01T00:00:00Z,21
mechdef_dasher_fire_moth-B,21,,21,,21,,21
mechdef_koshi_mist_lynx-P,0,,0,,0,3061-01-01T00:00:00Z,4
mechdef_hankyu_arctic_cheetah-B,21,,21,,21,,21
mechdef_hankyu_arctic_cheetah-D,11,,11,,11,,11
mechdef_uller_kit_fox-PRIME,63,,63,,63,,63
mechdef_uller_kit_fox-B,47,,47,,47,,47
mechdef_fire_falcon-E,0,,0,,0,3061-01-01T00:00:00Z,4
mechdef_locust_IIC,32,,73,,52,,52
mechdef_hankyu_arctic_cheetah-A,11,,11,,11,,11
mechdef_uller_kit_fox-D,11,,11,,11,,11
mechdef_uller_kit_fox-C,11,,11,,11,,11
mechdef_vixen_incubus-7,2,,2,,2,,4
mechdef_uller_kit_fox-J,0,,0,,0,3060-01-01T00:00:00Z,2
mechdef_peregrine_horned_owl-2,25,,52,,42,,42
mechdef_koshi_mist_lynx-B,32,,32,,32,,32
mechdef_uller_kit_fox-H,0,,0,,0,3059-01-01T00:00:00Z,2
mechdef_dasher_fire_moth-PRIME,73,,73,,73,,73
mechdef_puma_adder-D,52,,52,,52,,52
mechdef_hankyu_arctic_cheetah-H,0,,0,,0,3062-01-01T00:00:00Z,8
mechdef_puma_adder-E,0,,0,,0,3060-01-01T00:00:00Z,3
mechdef_firefly_C,6,,6,,11,,14
mechdef_uller_kit_fox-A,21,,21,,21,,21
mechdef_koshi_mist_lynx-C,21,,21,,21,,21
mechdef_vixen_incubus-3,2,,2,,2,,4
mechdef_hankyu_arctic_cheetah-PRIME,32,,32,,32,,32
mechdef_uller_kit_fox-S,4,,4,,4,,4
mechdef_uller_kit_fox-G,0,,0,3054-01-01T00:00:00Z,3,,5
mechdef_pack_hunter,0,,0,,0,3060-01-01T00:00:00Z,21
