OutworldSpecial,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Dates,3049-01-01T00:00:00Z,,3053-01-01T00:00:00Z,,3057-01-01T00:00:00Z,,3061-01-01T00:00:00Z,,3065-01-01T00:00:00Z
Lights,,,,,,,,,
mechdef_locust_LCT-1V,3,,3,,2,,3,,6
mechdef_urbanmech_UM-R60,5,,5,,5,,5,,12
mechdef_thorn_THE-N,12,,13,,13,,11,,24
mechdef_ostscout_OTT-7J,7,,7,,7,,4,,9
mechdef_ostscout_OTT-7Jb,2,,2,,2,,3,,6
mechdef_hussar_HSR-200-D,31,,33,,24,,28,,61
mechdef_locust_LCT-1Vb,3,,3,,4,,8,,17
mechdef_stinger_STG-3Gb,7,,7,,7,,9,,19
mechdef_mongoose_MON-66,12,,13,,14,,12,,25
mechdef_hussar_HSR-200-Db,10,,10,,7,,9,,19
mechdef_mongoose_MON-66b,8,,9,,7,,6,,13
mechdef_nighthawk_NTK-2Q,25,,26,,26,,22,,48
mechdef_talon_TLN-5W,49,,52,,53,,44,,96
Mediums,,,,,,,,,
mechdef_sentinel_STN-3L,16,,86,,70,,91,,96
mechdef_whitworth_WTH-1,3,,17,,14,,25,,25
mechdef_wyvern_WVE-5Nb,10,,54,,44,,57,,61
mechdef_phoenixhawk_PXH-1,2,,9,,8,,7,,7
mechdef_shadowhawk_SHD-2H,3,,14,,10,,16,,16
mechdef_kintaro_KTO-19,5,,27,,22,,43,,45
mechdef_crab_CRB-27_actual,7,,38,,33,,60,,64
mechdef_kintaro_KTO-19b,4,,19,,15,,21,,23
mechdef_griffin_GRF-1N,3,,15,,10,,11,,11
mechdef_crab_CRB-27b,5,,27,,17,,30,,32
mechdef_shadowhawk_SHD-2Hb,1,,6,,8,,20,,21
mechdef_hoplite_HOP-4Cb,5,,29,,25,,32,,34
mechdef_hoplite_HOP-4Bb,4,,20,,25,,32,,34
mechdef_phoenixhawk_PXH-1c,1,,5,,7,,9,,10
mechdef_phoenixhawk_PXH-1b,3,,15,,13,,19,,20
mechdef_griffin_GRF-2N,3,,18,,18,,28,,30
mechdef_lynx_LNX-9Q,8,,43,,35,,45,,48
Heavies,,,,,,,,,
mechdef_warhammer_WHM-6R,4,,6,,4,,2,,4
mechdef_crusader_CRD-3R,9,,14,,11,,14,,22
mechdef_thunderbolt_TDR-5S,4,,6,,5,,6,,9
mechdef_exterminator_EXT-4D,5,,9,,8,,7,,10
mechdef_guillotine_GLT-3N,10,,17,,15,,18,,29
mechdef_marauder_MAD-1R,2,,4,,4,,5,,7
mechdef_lancelot_LNC25-01,10,,17,,15,,18,,29
mechdef_orion_ON1-K,7,,11,,9,,8,,12
mechdef_warhammer_WHM-6Rb,1,,2,,2,,2,,3
mechdef_ostroc_OSR-2Cb,4,,6,,5,,6,,9
mechdef_bombardier_BMB-12D,14,,25,,15,,18,,29
mechdef_shootist_ST-8A,5,,9,,8,,7,,10
mechdef_crusader_CRD-2R,4,,8,,9,,13,,20
mechdef_excalibur_EXC-B2,1,,2,,2,,2,,3
mechdef_blackknight_BL-6-KNT,18,,30,,27,,23,,35
mechdef_thunderbolt_TDR-5Sb,1,,1,,1,,1,,2
mechdef_blackknight_BL-6b-KNT,13,,21,,19,,16,,25
mechdef_marauder_MAD-2R,3,,6,,5,,5,,7
mechdef_cestus_CTS-6Y,7,,12,,11,,9,,14
mechdef_archer_ARC-2Rb,0,,0,,0,3058-01-01T00:00:00Z,7,,10
mechdef_excalibur_EXC-B2b,4,,7,,6,,5,,8
mechdef_flashman_FLS-8K,14,,25,,22,,18,,29
Assaults,,,,,,,,,
mechdef_annihilator_ANH-1A,1,,1,,1,,1,,1
mechdef_riflemanII_RFL-3N-2,7,,7,,7,,9,,9
mechdef_battlemaster_BLR-1Gc,1,,1,,1,,1,,1
mechdef_annihilator_ANH-2A,0,,0,3055-01-01T00:00:00Z,2,,5,,5
mechdef_awesome_AWS-8Q,7,,7,,7,,16,,16
mechdef_thug_THG-11E,17,,17,,17,,23,,25
mechdef_thug_THG-11Eb,12,,12,,12,,12,,12
mechdef_battlemaster_BLR-1GB,6,,6,,6,,8,,8
mechdef_battlemaster_BLR-1GBc,1,,1,,1,,1,,1
mechdef_atlas_AS7-D,7,,7,,5,,7,,7
mechdef_kingcrab_KGC-000,8,,8,,8,,12,,12
mechdef_crockett_CRK-5003-1,17,,17,,17,,23,,25
mechdef_emperor_EMP-6A,5,,5,,5,,12,,13
mechdef_stalker_STK-3Fb,13,,13,,13,,17,,19
mechdef_kingcrab_KGC-000b,6,,6,,6,,6,,6
mechdef_atlas_AS7-D-H,6,,6,,6,,8,,8
mechdef_highlander_HGN-732,23,,23,,23,,33,,35
mechdef_crockett_CRK-5003-1b,12,,12,,12,,12,,12
mechdef_highlander_HGN-732b,17,,17,,17,,16,,18
mechdef_atlas_AS7-D-H2,1,,1,,1,,1,,1
mechdef_nightstar_NSR-9J,7,,7,,7,,9,,9
mechdef_thunderhawk_TDK-7X,7,,7,,7,,9,,9
mechdef_pillager_PLG-3Z,7,,7,,7,,9,,9
