RasalhagueA,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Dates,3034-01-01T00:00:00Z,,3049-01-01T00:00:00Z,,3061-01-01T00:00:00Z,,3067-01-01T00:00:00Z
Lights,,,,,,,
mechdef_stinger_STG-3R,7,,6,,9,,2
mechdef_wasp_WSP-1K,7,,10,,19,,22
mechdef_wasp_WSP-1A,29,,27,,53,,11
mechdef_locust_LCT-1V,19,,11,,13,,16
mechdef_stinger_STG-5M,0,,0,3055-01-01T00:00:00Z,8,,7
mechdef_locust_LCT-3S,0,3049-01-01T00:00:00Z,5,,24,,26
mechdef_ostscout_OTT-7K,0,,0,,0,3067-01-01T00:00:00Z,9
mechdef_locust_LCT-3V,3,,4,,7,,8
mechdef_stinger_STG-3G,2,,3,,5,,2
mechdef_spider_SDR-5K,6,,6,,9,,3
mechdef_urbanmech_UM-R60,1,,1,,4,,1
mechdef_locust_LCT-3M,0,,0,3050-01-01T00:00:00Z,12,,13
mechdef_commando_COM-2D,3,,4,,8,,2
mechdef_locust_LCT-1E,5,,6,,9,,8
mechdef_commando_COM-5S,0,,0,3050-01-01T00:00:00Z,8,,11
mechdef_urbanmech_UM-R69,0,,0,,0,3063-01-01T00:00:00Z,2
mechdef_javelin_JVN-10N,4,,4,,15,,5
mechdef_wasp_WSP-3S,0,,0,,0,3067-01-01T00:00:00Z,9
mechdef_ostscout_OTT-7J,4,,5,,12,,4
mechdef_koshi_mist_lynx-A,0,,0,3060-01-01T00:00:00Z,3,,2
mechdef_spider_SDR-5V,1,,2,,15,,5
mechdef_hussar_HSR-200-D,0,,0,3055-01-01T00:00:00Z,11,,12
mechdef_dasher_fire_moth-A,0,,0,3060-01-01T00:00:00Z,2,,1
mechdef_tarantula_ZPH-1,0,,0,3055-01-01T00:00:00Z,4,,2
mechdef_firestarter_FS9-H,13,,11,,13,,3
mechdef_tarantula_ZPH-3A,0,,0,,0,3063-01-01T00:00:00Z,2
mechdef_locust_LCT-5M,0,,0,,0,3067-01-01T00:00:00Z,9
mechdef_dasher_fire_moth-C,0,,0,3060-01-01T00:00:00Z,4,,3
mechdef_tarantula_ZPH-2A,0,,0,3060-01-01T00:00:00Z,2,,5
mechdef_firestarter_FS9-S,0,3049-01-01T00:00:00Z,3,,12,,10
