SmokeJaguar,,,,,,,
Collection:DiamondShark,7,,6,,5,,19
Collection:GhostBear,2,,2,,5,,4
Collection:JadeFalcon,9,,10,,10,,30
Collection:NovaCat,7,,6,,10,,0
Collection:SteelViper,7,,6,,5,,4
Collection:Wolf,11,,10,,8,,37
,,,,,,,
Dates,3049-01-01T00:00:00Z,,3052-01-01T00:00:00Z,,3057-01-01T00:00:00Z,,3060-01-01T00:00:00Z
Lights,,,,,,,
mechdef_koshi_mist_lynx-A,66,,66,,66,,66
mechdef_dasher_fire_moth-A,7,,7,,7,,7
mechdef_dasher_fire_moth-C,13,,13,,13,,13
mechdef_dasher_fire_moth-H,0,,0,,0,3060-01-01T00:00:00Z,2
mechdef_dasher_fire_moth-E,0,,0,3055-01-01T00:00:00Z,5,,6
mechdef_koshi_mist_lynx-D,40,,40,,40,,40
mechdef_koshi_mist_lynx-PRIME,198,,198,,198,,198
mechdef_locust_IIC-3,1,,20,,7,Jump:3059-07-01T00:00:00Z,33
mechdef_koshi_mist_lynx-H,0,,0,,0,3059-01-01T00:00:00Z,5
mechdef_koshi_mist_lynx-E,0,,0,3054-01-01T00:00:00Z,3,,3
mechdef_piranha-1,0,3051-01-01T00:00:00Z,8,,8,,6
mechdef_jenner_IIC,9,,10,,15,,29
mechdef_dasher_fire_moth-B,13,,13,,13,,13
mechdef_hankyu_arctic_cheetah-B,26,,26,,26,,26
mechdef_hankyu_arctic_cheetah-D,7,,7,,7,,7
mechdef_uller_kit_fox-PRIME,40,,40,,40,,40
mechdef_uller_kit_fox-B,30,,30,,30,,30
mechdef_locust_IIC,1,,20,,7,Jump:3059-07-01T00:00:00Z,33
mechdef_hankyu_arctic_cheetah-A,20,,20,,20,,20
mechdef_uller_kit_fox-D,7,,7,,7,,7
mechdef_uller_kit_fox-C,7,,7,,7,,7
mechdef_vixen_incubus-7,1,,20,,7,Jump:3059-07-01T00:00:00Z,33
mechdef_uller_kit_fox-J,0,,0,,0,3060-01-01T00:00:00Z,2
mechdef_peregrine_horned_owl-2,5,,30,,20,Jump:3059-07-01T00:00:00Z,46
mechdef_koshi_mist_lynx-B,46,,46,,46,,46
mechdef_uller_kit_fox-H,0,,0,,0,3059-01-01T00:00:00Z,2
mechdef_dasher_fire_moth-PRIME,46,,46,,46,,46
mechdef_puma_adder-D,20,,20,,20,,20
mechdef_puma_adder-E,0,,0,,0,3060-01-01T00:00:00Z,3
mechdef_firefly_C,5,,6,,5,,6
mechdef_cougar-D,0,,0,,0,3058-01-01T00:00:00Z,2
mechdef_uller_kit_fox-A,13,,13,,13,,13
mechdef_koshi_mist_lynx-C,46,,46,,46,,46
mechdef_vixen_incubus-3,2,,2,,1,,3
mechdef_hankyu_arctic_cheetah-PRIME,66,,66,,66,,66
mechdef_uller_kit_fox-S,3,,3,,3,,3
mechdef_uller_kit_fox-G,0,,0,3054-01-01T00:00:00Z,3,,3
mechdef_puma_adder-C,26,,26,,26,,26
mechdef_uller_kit_fox-E,0,,0,3054-01-01T00:00:00Z,3,,3
mechdef_puma_adder-B,33,,33,,33,,33
mechdef_puma_adder-S,0,3050-01-01T00:00:00Z,20,,30,,43
mechdef_peregrine_horned_owl-1,7,,46,,33,Jump:3059-07-01T00:00:00Z,73
mechdef_puma_adder-A,73,,73,,73,,73
mechdef_puma_adder-H,0,,0,,0,3059-01-01T00:00:00Z,3
mechdef_cougar-PRIME,0,,0,,0,3058-01-01T00:00:00Z,2
mechdef_hellion-A,0,,0,,0,3060-01-01T00:00:00Z,26
mechdef_vixen_incubus-8,1,,20,,7,Jump:3059-07-01T00:00:00Z,33
mechdef_hellion-B,0,,0,,0,3060-01-01T00:00:00Z,35
mechdef_vixen_incubus-1,5,,30,,20,Jump:3059-07-01T00:00:00Z,46
mechdef_cougar-A,0,,0,,0,3058-01-01T00:00:00Z,2
mechdef_cougar-B,0,,0,,0,3058-01-01T00:00:00Z,2
mechdef_cougar-C,0,,0,,0,3058-01-01T00:00:00Z,2
mechdef_hankyu_arctic_cheetah-C,13,,13,,13,,13
mechdef_hellion-Prime,0,,0,,0,3060-01-01T00:00:00Z,49
mechdef_vixen_incubus-2,3,,26,,13,Jump:3059-07-01T00:00:00Z,40
mechdef_puma_adder-PRIME,46,,46,,46,,46
mechdef_dasher_fire_moth-D,20,,20,,20,,20
Mediums,,,,,,,
mechdef_fenris_ice_ferret-C,7,,7,,7,,7
mechdef_fenris_ice_ferret-A,15,,15,,15,,15
mechdef_great_wyrm-1,3,,29,,15,Jump:3059-07-01T00:00:00Z,51
mechdef_dragonfly_viper-C,15,,15,,15,,15
mechdef_stag_ST-14G,0,3052-01-01T00:00:00Z,1,,1,,1
mechdef_shadow_cat-TC,0,,0,,0,3060-01-01T00:00:00Z,4
mechdef_clint_IIC,0,,0,3055-01-01T00:00:00Z,10,,17
mechdef_black_hawk_nova-D,7,,7,,7,,7
mechdef_dragonfly_viper-PRIME,44,,44,,44,,44
mechdef_fenris_ice_ferret-B,15,,15,,15,,15
mechdef_grendel_mongrel-C,0,,0,3053-01-01T00:00:00Z,2,,2
mechdef_battle_cobra-A,0,,0,,0,3060-01-01T00:00:00Z,16
mechdef_griffin_IIC-4,0,,0,,0,3060-01-01T00:00:00Z,2
mechdef_fenris_ice_ferret-E,0,,0,3056-01-01T00:00:00Z,3,,3
mechdef_battle_cobra-PRIME,0,,0,,0,3060-01-01T00:00:00Z,32
mechdef_battle_cobra-F,0,,0,,0,3060-01-01T00:00:00Z,12
mechdef_black_hawk_nova-C,7,,7,,7,,7
mechdef_griffin_IIC-2,5,,6,,6,,5
mechdef_griffin_IIC-3,0,,0,,0,3060-01-01T00:00:00Z,2
mechdef_black_hawk_nova-B,15,,15,,15,,15
mechdef_dragonfly_viper-E,0,,0,3054-01-01T00:00:00Z,3,,3
mechdef_griffin_IIC,2,,22,,12,Jump:3059-07-01T00:00:00Z,37
mechdef_wyvern_IIC,2,,22,,12,Jump:3059-07-01T00:00:00Z,37
mechdef_fenris_ice_ferret-D,22,,22,,22,,22
mechdef_fenris_ice_ferret-PRIME,51,,51,,51,,51
mechdef_hunchback_IIC,44,,44,,44,,44
mechdef_shadow_hawk_IIC,2,,22,,12,Jump:3059-07-01T00:00:00Z,37
mechdef_dragonfly_viper-D,22,,22,,22,,22
mechdef_hellhound_conjurer-1,3,,29,,15,Jump:3059-07-01T00:00:00Z,51
mechdef_dragonfly_viper-B,7,,7,,7,,7
