SteelViper,,,,,,,
Collection:DiamondShark,8,,9,,8,,3
Collection:GhostBear,5,,5,,4,,1
Collection:JadeFalcon,17,,17,,26,,44
Collection:NovaCat,1,,1,,1,,0
Collection:SmokeJaguar,5,,5,,4,,0
Collection:Wolf,8,,9,,12,,18
,,,,,,,
Dates,3049-01-01T00:00:00Z,,3053-01-01T00:00:00Z,,3057-01-01T00:00:00Z,,3061-01-01T00:00:00Z
Lights,,,,,,,
mechdef_baboon_howler-4,0,,0,3057-01-01T00:00:00Z,1,,1
mechdef_koshi_mist_lynx-A,66,,66,,66,,66
mechdef_dasher_fire_moth-A,9,,9,,9,,9
mechdef_baboon_howler-1,0,,0,3056-01-01T00:00:00Z,1,,2
mechdef_dasher_fire_moth-C,38,,38,,38,,38
mechdef_dasher_fire_moth-H,0,,0,,0,3060-01-01T00:00:00Z,3
mechdef_jenner_IIC-3,0,,0,3056-01-01T00:00:00Z,1,,2
mechdef_dasher_fire_moth-E,0,,0,3055-01-01T00:00:00Z,10,,7
mechdef_fire_falcon-A,0,,0,,0,3060-01-01T00:00:00Z,14
mechdef_fire_falcon-D,0,,0,,0,3060-01-01T00:00:00Z,10
mechdef_koshi_mist_lynx-D,19,,19,,19,,19
mechdef_koshi_mist_lynx-PRIME,143,,143,,143,,143
mechdef_locust_IIC-3,0,,0,3057-01-01T00:00:00Z,1,,1
mechdef_koshi_mist_lynx-H,0,,0,,0,3059-01-01T00:00:00Z,6
mechdef_koshi_mist_lynx-E,0,,0,3054-01-01T00:00:00Z,3,,9
mechdef_piranha-1,0,,0,3056-01-01T00:00:00Z,1,,1
mechdef_fire_falcon-C,0,,0,,0,3060-01-01T00:00:00Z,8
mechdef_jenner_IIC,0,,0,3056-01-01T00:00:00Z,1,,1
mechdef_dasher_fire_moth-B,27,,26,,25,,13
mechdef_koshi_mist_lynx-P,0,,0,,0,3061-01-01T00:00:00Z,10
mechdef_hankyu_arctic_cheetah-B,9,,9,,9,,9
mechdef_hankyu_arctic_cheetah-D,9,,9,,9,,9
mechdef_uller_kit_fox-PRIME,57,,57,,57,,57
mechdef_uller_kit_fox-B,44,,44,,44,,44
