Arc-RoyalDCAVehicles,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Dates,3058-01-01T00:00:00Z,,3061-01-01T00:00:00Z,,3064-01-01T00:00:00Z,,3067-01-01T00:00:00Z
Lights,,,,,,,
vehicledef_TRUCK_Flatbed,18,,28,,28,,57
vehicledef_FERRET,3,,3,,3,,2
vehicledef_SPRINT_TRANSPORT,20,,26,,40,,163
vehicledef_SPRINT_C3,22,,29,,45,,183
vehicledef_SPRINT,113,,145,,228,,924
vehicledef_FERRET_ARMOR,1,,1,,1,,0
vehicledef_DARTER,4,,5,,5,,6
vehicledef_RIPPER_MG,11,,14,,22,,75
vehicledef_SAVANNAHMASTER_SL,1,,2,,2,,4
vehicledef_DARTER_BAP,20,,29,,46,,153
vehicledef_KESTREL,1,,1,,1,,2
vehicledef_RIPPER_SPL,0,3059-01-01T00:00:00Z,7,,11,,53
vehicledef_KESTREL_SL,1,,1,,1,,2
vehicledef_HOVERSCOUT,3,,4,,4,,8
vehicledef_KESTREL_SRM,1,,2,,2,,3
vehicledef_DARTER_ECM,20,,29,,46,,153
vehicledef_WINTERHAWK,0,3060-01-01T00:00:00Z,5,,5,,10
vehicledef_APC_HeavyTracked,12,,19,,19,,38
vehicledef_SAVANNAHMASTER,7,,7,,7,,9
vehicledef_SPRINT_LASER,32,,41,,64,,259
vehicledef_KARNOV_GUNSHIP,3,,5,,5,,10
vehicledef_KARNOV_ARTILLERY,1,,1,,1,,1
vehicledef_KESTREL_ML,2,,3,,3,,4
vehicledef_BLIZZARD_SRM,0,,0,3062-01-01T00:00:00Z,3,,6
vehicledef_CENTIPEDE,238,,191,,301,,1000
vehicledef_BLIZZARD,2,,5,,5,,8
vehicledef_WARRIOR_H-7A,5,,7,,7,,3
vehicledef_PACKRAT_ICE,2,,2,,2,,0
vehicledef_WARRIOR_H-7,7,,10,,10,,4
vehicledef_SCORPION,9,,8,,8,,3
vehicledef_GALLEON,7,,10,,10,,5
vehicledef_SKULKER,4,,6,,6,,8
vehicledef_PEGASUS_UA,1,,1,,1,,1
vehicledef_MOBILEHQ,1,,1,,1,,2
vehicledef_SCORPION_ML,2,,3,,3,,5
vehicledef_HARASSER_LASER,5,,5,,5,,0
vehicledef_CENTIPEDE_TAG,0,,0,,0,3067-01-01T00:00:00Z,88
vehicledef_PACKRAT_PKR-T5,13,,14,,14,,5
vehicledef_GALLEON_GAL-200,2,,3,,3,,5
vehicledef_RIPPER,31,,40,,63,,213
vehicledef_HARASSER_Mini-Peggy,1,,1,,1,,0
vehicledef_HARASSER_FLAMER,1,,1,,1,,1
vehicledef_SCORPION_SRM,5,,5,,5,,10
vehicledef_SCORPION_MRM,0,3060-01-01T00:00:00Z,15,,31,,301
vehicledef_BADGER-F,3,,7,,11,,56
vehicledef_HARASSER,7,,11,,11,,1
vehicledef_WARRIOR_H-8,86,,133,,210,,933
vehicledef_SCORPION_LRM,2,,3,,3,,5
vehicledef_BADGER-B,1,,1,,1,,1
vehicledef_CENTIPEDE_SRM,0,,0,3062-01-01T00:00:00Z,2,,3
vehicledef_RIPPER_ERML,6,,14,,22,,75
vehicledef_JEdgar_ICE,1,,1,,1,,0
vehicledef_BADGER-E,1,,1,,1,,1
vehicledef_MANTIS,0,3061-01-01T00:00:00Z,34,,76,,612
vehicledef_BADGER-A,1,,1,,1,,1
vehicledef_WARRIOR_H-7C,3,,3,,3,,3
vehicledef_BADGER-C,1,,1,,1,,1
vehicledef_MINION,0,,0,3064-01-01T00:00:00Z,135,,772
vehicledef_JEdgar_Flamer,1,,1,,1,,0
vehicledef_BLIZZARD_BLACK,0,,0,,0,3067-01-01T00:00:00Z,67
vehicledef_JEdgar_MG,1,,1,,1,,0
vehicledef_CAVALRY_LRM,1,,2,,2,,3
vehicledef_HAWKMOTH,0,3061-01-01T00:00:00Z,14,,39,,289
vehicledef_CAVALRY_TAG,0,3059-01-01T00:00:00Z,15,,23,,68
vehicledef_KARNOV_BA,0,,0,3063-01-01T00:00:00Z,32,,156
vehicledef_HAWKMOTH_ARMOR,0,3061-01-01T00:00:00Z,7,,20,,144
vehicledef_CAVALRY,3,,4,,4,,6
vehicledef_CAVALRY_SRM,1,,2,,2,,2
vehicledef_SCIMITAR,16,,18,,18,,2
vehicledef_BADGER-D,1,,1,,1,,1
vehicledef_JEdgar,3,,3,,3,,0
vehicledef_BADGER-PRIME,1,,1,,1,,1
vehicledef_KARNOV_AC,0,3060-01-01T00:00:00Z,1,,1,,1
vehicledef_JEdgar_TAG,43,,44,,70,,0
vehicledef_STRIKER,3,,3,,3,,1
vehicledef_PEGASUS_SENSORS,1,,1,,1,,1
vehicledef_PLAINSMAN_SCOUT,0,,0,,0,3067-01-01T00:00:00Z,69
vehicledef_STRIKER_SRM,1,,1,,1,,1
vehicledef_SALADIN_ARMOR,2,,3,,3,,2
vehicledef_SALADIN,16,,20,,20,,7
vehicledef_HUNTER_LRM15,1,,2,,2,,1
vehicledef_PLAINSMAN,2,,4,,4,,4
vehicledef_STRIKER_LRM,1,,1,,1,,1
vehicledef_HUNTER_LPL,0,3061-01-01T00:00:00Z,13,,25,,129
vehicledef_YELLOWJACKET_ARROWIV,0,,0,,0,3067-01-01T00:00:00Z,56
vehicledef_CAVALRY_INFANTRY,0,,0,3063-01-01T00:00:00Z,15,,43
vehicledef_STRIKER_Narc,6,,5,,8,,36
vehicledef_PEGASUS,7,,6,,6,,6
vehicledef_HUNTER_3054,97,,106,,167,,729
vehicledef_HUNTER_LRM10,1,,2,,2,,1
vehicledef_HUNTER,8,,8,,8,,3
vehicledef_GALLEON_GAL-102,90,,111,,174,,707
vehicledef_HUNTER_ERLL,0,3059-01-01T00:00:00Z,26,,42,,182
vehicledef_HUNTER_ASSAULT,0,,0,3064-01-01T00:00:00Z,21,,91
vehicledef_SARACEN,5,,5,,5,,2
vehicledef_HUNTER_AMMO,1,,1,,1,,1
vehicledef_PEGASUS_MISSILE,1,,1,,1,,1
vehicledef_STRIKER_3053,17,,20,,31,,144
vehicledef_STRIKER_AMMO,9,,7,,11,,51
vehicledef_SCIMITAR_MISSILE,2,,2,,2,,1
vehicledef_PEGASUS_3058,11,,30,,48,,185
vehicledef_SALADIN_LBX,0,3061-01-01T00:00:00Z,35,,65,,632
vehicledef_STRIKER_3061,0,3061-01-01T00:00:00Z,10,,18,,102
vehicledef_YELLOWJACKET,33,,153,,242,,891
vehicledef_YELLOWJACKET_RAC,0,,0,,0,3066-01-01T00:00:00Z,157
vehicledef_YELLOWJACKET_AMMO,4,,19,,30,,111
vehicledef_SALADIN_ULTRA,0,,0,3064-01-01T00:00:00Z,78,,447
vehicledef_STRIKER_LASER,0,,0,3062-01-01T00:00:00Z,11,,51
Mediums,,,,,,,
vehicledef_VEDETTE_AC2,65,,46,,46,,15
vehicledef_VEDETTE,130,,92,,92,,21
vehicledef_VEDETTE_NETC,268,,295,,525,,845
vehicledef_GOBLIN,10,,6,,6,,0
