DarkCasteVehicles,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Dates,3049-01-01T00:00:00Z,,3055-01-01T00:00:00Z,,3058-01-01T00:00:00Z,,3060-01-01T00:00:00Z,,3067-01-01T00:00:00Z
Lights,,,,,,,,,
vehicledef_KESTREL_CLAN,48,,48,,49,,38,,39
vehicledef_MAULTIER,25,,25,,16,,17,,18
vehicledef_RIPPER_ROYAL,13,,13,,13,,14,,14
vehicledef_GALLEON_GAL-100,48,,48,,49,,52,,53
vehicledef_RIPPER,3,,3,,3,,3,,4
vehicledef_NIGHTSHADE,10,,10,,10,,10,,10
vehicledef_BADGER_C-E,0,,0,,0,3061-01-01T00:00:00Z,0,,2
vehicledef_BADGER_C-A,3,,3,,3,,3,,2
vehicledef_SHAMASH,25,,25,,26,,28,,27
vehicledef_BADGER_C-D,3,,3,,3,,3,,2
vehicledef_LIGHTNING,54,,54,,39,,42,,43
vehicledef_BADGER_C-H,0,,0,,0,3061-01-01T00:00:00Z,0,,2
vehicledef_BADGER_C-C,3,,3,,3,,3,,2
vehicledef_BADGER_C-B,3,,3,,3,,3,,2
vehicledef_ZORYA,156,,156,,160,,170,,173
vehicledef_ZORYA_AMMO,38,,38,,39,,42,,43
vehicledef_BADGER_C-PRIME,3,,3,,3,,3,,2
vehicledef_NIGHTSHADE_ROYAL,3,,3,,3,,3,,2
vehicledef_LIGHTNING_ROYAL,13,,13,,10,,10,,10
vehicledef_MITHRAS,70,,70,,72,,52,,39
vehicledef_ODIN,48,,48,,49,,52,,53
vehicledef_SVANTOVIT,29,,29,,29,,21,,22
vehicledef_ANHUR,70,,70,,72,,76,,76
vehicledef_CYRANO_ROYAL,13,,13,,13,,0,,0
vehicledef_SVANTOVIT_ORIGINAL,6,,6,,7,,7,,6
vehicledef_INDRA,48,,48,,49,,52,,53
vehicledef_DONAR,95,,95,,98,,104,,108
vehicledef_ASSHUR,35,,35,,36,,38,,39
vehicledef_ASSHUR_RECON,137,,137,,141,,149,,153
Mediums,,,,,,,,,
vehicledef_PROWLER,74,,74,,65,,59,,58
vehicledef_PROWLER_ECM,0,,0,3056-01-01T00:00:00Z,5,,15,,16
vehicledef_CHAPARRAL_MG,0,,0,,0,3061-01-01T00:00:00Z,0,,21
vehicledef_ZEPHYR_ROYAL,205,,205,,140,,146,,147
vehicledef_CHAPARRAL,105,,105,,98,,102,,84
vehicledef_THOR_CLAN,144,,144,,140,,146,,147
vehicledef_BANDIT_C-E,0,,0,,0,3061-01-01T00:00:00Z,0,,5
vehicledef_BANDIT_C-PRIME,13,,13,,14,,10,,11
vehicledef_KU,74,,74,,70,,49,,53
vehicledef_BANDIT_C-D,9,,9,,9,,5,,5
vehicledef_BANDIT_C-A,9,,9,,9,,5,,5
vehicledef_MAXIM_CLAN,0,,0,3058-01-01T00:00:00Z,98,,102,,74
vehicledef_ARES,205,,205,,195,,205,,211
vehicledef_BANDIT_C-B,9,,9,,9,,5,,5
vehicledef_BANDIT_C-H,0,,0,,0,3061-01-01T00:00:00Z,0,,5
vehicledef_BANDIT_C-C,9,,9,,9,,5,,5
vehicledef_HACHIMAN,144,,144,,140,,146,,147
Heavies,,,,,,,,,
vehicledef_CARRIER_SRM,78,,69,,75,,73,,73
vehicledef_CARRIER_LRM,39,,35,,37,,39,,37
vehicledef_PIKE_CLAN,0,3055-01-01T00:00:00Z,134,,145,,146,,147
vehicledef_DEMON,183,,156,,121,,137,,136
vehicledef_ORO,313,,268,,294,,293,,293
vehicledef_KOKOU,109,,95,,103,,102,,105
vehicledef_DEMON_ROYAL,130,,113,,84,,68,,68
vehicledef_ISHTAR,109,,95,,103,,102,,105
Assaults,,,,,,,,,
vehicledef_LONGTOM-LT-MOB-25,39,,35,,37,,39,,37
vehicledef_HUITZILOPOCHTLI,148,,148,,154,,156,,147
vehicledef_FURY_ROYAL,52,,52,,56,,39,,37
vehicledef_MORRIGU_LASER,0,,0,,0,3067-01-01T00:00:00Z,0,,11
vehicledef_RHINO_MG,91,,91,,65,,68,,63
vehicledef_RHINO,183,,183,,136,,137,,132
vehicledef_PUMA_PAT-005b,209,,209,,154,,156,,147
vehicledef_DEMOLISHER_CLAN,0,,0,3058-01-01T00:00:00Z,107,,112,,105
vehicledef_RHINO_ROYAL,22,,22,,19,,20,,16
vehicledef_MORRIGU,0,,0,,0,3067-01-01T00:00:00Z,0,,42
vehicledef_MARS_ATM,0,,0,,0,3064-01-01T00:00:00Z,0,,79
vehicledef_MARS,296,,296,,308,,312,,221
