DavionAVehicles,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3050-01-01T00:00:00Z,,3061-01-01T00:00:00Z,,3067-01-01T00:00:00Z
Lights,,,,,,,,,
vehicledef_TRUCK_Flatbed,18,,13,,14,,25,,36
vehicledef_FERRET,13,,9,,10,,8,,6
vehicledef_SPRINT_TRANSPORT,0,,0,,0,3056-01-01T00:00:00Z,6,,113
vehicledef_SPRINT_C3,0,,0,,0,3057-01-01T00:00:00Z,7,,126
vehicledef_SPRINT,0,,0,,0,3052-01-01T00:00:00Z,36,,636
vehicledef_FERRET_ARMOR,5,,4,,4,,4,,6
vehicledef_DARTER_C3,0,,0,,0,3057-01-01T00:00:00Z,7,,146
vehicledef_DARTER,13,,9,,8,,10,,11
vehicledef_RIPPER_MG,0,,0,,0,3055-01-01T00:00:00Z,5,,84
vehicledef_SAVANNAHMASTER_SL,0,,0,3049-01-01T00:00:00Z,1,,2,,4
vehicledef_DARTER_BAP,0,,0,,0,3053-01-01T00:00:00Z,10,,206
vehicledef_KESTREL,0,,0,3049-01-01T00:00:00Z,1,,1,,1
vehicledef_RIPPER_SPL,0,,0,,0,3059-01-01T00:00:00Z,2,,42
vehicledef_DARTER_SRM2,2,,1,,1,,2,,3
vehicledef_KESTREL_SL,0,,0,3049-01-01T00:00:00Z,1,,2,,2
vehicledef_HOVERSCOUT,3,,2,,2,,3,,5
vehicledef_DARTER_SRM,3,,2,,2,,2,,2
vehicledef_KESTREL_SRM,0,,0,3049-01-01T00:00:00Z,1,,2,,3
vehicledef_DARTER_ECM,0,,0,,0,3054-01-01T00:00:00Z,10,,206
vehicledef_APC_Maultier_Basic,2,,4,,4,,4,,4
vehicledef_APC_HeavyTracked,12,,9,,10,,16,,24
vehicledef_SAVANNAHMASTER,0,3039-01-01T00:00:00Z,10,,11,,9,,8
vehicledef_SPRINT_LASER,0,,0,,0,3056-01-01T00:00:00Z,10,,179
vehicledef_KARNOV_GUNSHIP,0,,0,3040-01-01T00:00:00Z,4,,6,,9
vehicledef_KARNOV_ARTILLERY,0,3039-01-01T00:00:00Z,1,,1,,1,,1
vehicledef_KESTREL_ML,0,,0,3049-01-01T00:00:00Z,1,,4,,4
vehicledef_CENTIPEDE,0,,0,,0,3054-01-01T00:00:00Z,38,,474
vehicledef_WARRIOR_H-7A,3,,3,,4,,3,,1
