GhostBearVehicles,,,,,,,,,
Collection:DiamondSharkVehicles,2,,0,,0,,0,,0
Collection:HellsHorsesVehicles,21,,11,,7,,4,,8
Collection:JadeFalconVehicles,17,,9,,4,,2,,4
Collection:NovaCatVehicles,17,,9,,7,,8,,19
Collection:SmokeJaguarVehicles,4,,2,,11,,12,Jump:3060-04-21T00:00:00Z,0
Collection:SnowRavenVehicles,0,,0,,0,,0,,0
Collection:SteelViperVehicles,21,,14,,7,,0,,0
Collection:WolfVehicles,17,,14,,36,,41,,27
Collection:KuritaVehicles,0,3049-08-01T00:00:00Z,18,,25,,29,,38
Collection:RasalhagueVehicles,0,3049-08-01T00:00:00Z,23,,4,,4,,4
Dates,3049-01-01T00:00:00Z,,3055-01-01T00:00:00Z,,3058-01-01T00:00:00Z,,3060-01-01T00:00:00Z,,3067-01-01T00:00:00Z
Lights,,,,,,,,,
vehicledef_KESTREL_CLAN,25,,26,,28,,22,,22
vehicledef_MAULTIER,101,,100,,83,,85,,87
vehicledef_RIPPER_ROYAL,71,,71,,83,,85,,87
vehicledef_NIGHTSHADE,52,,51,,59,,44,,43
vehicledef_BADGER_C-E,0,,0,,0,,0,3061-01-01T00:00:00Z,1
vehicledef_BADGER_C-A,3,,3,,3,,3,,1
vehicledef_SHAMASH,25,,26,,28,,30,,30
vehicledef_BADGER_C-D,3,,3,,3,,3,,1
vehicledef_LIGHTNING,95,,96,,80,,80,,81
vehicledef_BADGER_C-H,0,,0,,0,,0,3061-01-01T00:00:00Z,1
vehicledef_BADGER_C-C,3,,3,,3,,3,,1
vehicledef_BADGER_C-B,3,,3,,3,,3,,1
vehicledef_ZORYA,80,,80,,87,,96,,99
vehicledef_ZORYA_AMMO,18,,19,,21,,25,,24
vehicledef_BADGER_C-PRIME,3,,3,,3,,3,,1
vehicledef_NIGHTSHADE_ROYAL,52,,51,,59,,44,,43
vehicledef_LIGHTNING_ROYAL,193,,190,,160,,162,,164
vehicledef_MITHRAS,34,,35,,38,,30,,22
vehicledef_ODIN,25,,26,,28,,30,,30
vehicledef_SVANTOVIT,15,,13,,14,,11,,13
vehicledef_ANHUR,34,,35,,38,,41,,43
vehicledef_SVANTOVIT_ORIGINAL,3,,3,,3,,3,,3
vehicledef_INDRA,25,,26,,28,,30,,30
vehicledef_DONAR,49,,48,,52,,60,,61
vehicledef_ASSHUR,18,,16,,17,,22,,22
vehicledef_ASSHUR_RECON,71,,71,,76,,85,,87
Mediums,,,,,,,,,
vehicledef_PROWLER,80,,78,,93,,83,,84
vehicledef_PROWLER_ECM,6,,11,,13,,21,,21
vehicledef_ZEPHYR_ROYAL,497,,493,,433,,417,,422
vehicledef_THOR_CLAN,80,,82,,80,,76,,69
vehicledef_BANDIT_C-E,0,,0,,0,,0,3061-01-01T00:00:00Z,3
vehicledef_BANDIT_C-PRIME,6,,7,,7,,7,,3
vehicledef_KU,113,,116,,107,,104,,95
vehicledef_BANDIT_C-D,6,,4,,7,,7,,3
vehicledef_BANDIT_C-A,6,,4,,7,,7,,3
vehicledef_MAXIM_CLAN,0,,0,3058-01-01T00:00:00Z,53,,56,,34
vehicledef_ARES,113,,116,,107,,104,,95
vehicledef_BANDIT_C-B,6,,4,,7,,7,,3
vehicledef_BANDIT_C-H,0,,0,,0,,0,3061-01-01T00:00:00Z,3
vehicledef_BANDIT_C-C,6,,4,,7,,7,,3
vehicledef_EPONA-B,0,,0,,0,3060-01-01T00:00:00Z,7,,5
vehicledef_TYR,0,,0,,0,,0,3063-01-01T00:00:00Z,69
vehicledef_EPONA-PRIME,0,,0,,0,3060-01-01T00:00:00Z,7,,8
vehicledef_HACHIMAN,80,,82,,80,,76,,69
vehicledef_EPONA-C,0,,0,,0,3060-01-01T00:00:00Z,7,,5
vehicledef_EPONA-A,0,,0,,0,3060-01-01T00:00:00Z,7,,5
Heavies,,,,,,,,,
vehicledef_PIKE_CLAN,0,3055-01-01T00:00:00Z,70,,81,,79,,84
vehicledef_DEMON,338,,341,,322,,351,,351
vehicledef_ORO,175,,144,,154,,167,,160
vehicledef_KOKOU,31,,22,,20,,18,,15
vehicledef_DEMON_ROYAL,240,,241,,228,,175,,176
vehicledef_ISHTAR,62,,52,,54,,61,,53
vehicledef_KOKOU_XL,31,,30,,34,,35,,46
vehicledef_ATHENA,123,,100,,107,,114,,115
Assaults,,,,,,,,,
vehicledef_HUITZILOPOCHTLI,151,,152,,128,,133,,123
vehicledef_FURY_ROYAL,197,,196,,235,,186,,185
vehicledef_MORRIGU_LASER,0,,0,,0,,0,,8
vehicledef_PUMA_PAT-005b,277,,278,,235,,265,,269
vehicledef_DEMOLISHER_CLAN,0,,0,3058-01-01T00:00:00Z,87,,97,,85
vehicledef_RHINO_ROYAL,74,,74,,60,,53,,54
vehicledef_MORRIGU,0,,0,,0,,0,3067-01-01T00:00:00Z,31
vehicledef_MARS_ATM,0,,0,,0,,0,3064-01-01T00:00:00Z,54
vehicledef_MARS,302,,300,,255,,248,,162
vehicledef_MARS_XL,0,,0,,0,3060-01-01T00:00:00Z,18,,31
