HyadesRimVehicles,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3050-01-01T00:00:00Z,,3061-01-01T00:00:00Z,,3067-01-01T00:00:00Z
Lights,,,,,,,,,
vehicledef_TRUCK_Flatbed,21,,21,,21,,21,,23
vehicledef_FERRET,5,,7,,7,,5,,4
vehicledef_APC_Hover_SRM,1,,1,,1,,1,,1
vehicledef_APC_Tracked_SRM,1,,1,,1,,1,,1
vehicledef_APC_Wheeled_SRM,1,,1,,1,,1,,1
vehicledef_HOVERSCOUT,3,,3,,3,,3,,3
vehicledef_APC_Hover_LRM,1,,1,,1,,1,,1
vehicledef_APC_Wheeled_LRM,1,,1,,1,,1,,1
vehicledef_APC_HeavyTracked,6,,6,,6,,6,,7
vehicledef_APC_Tracked_LRM,1,,1,,1,,1,,1
vehicledef_KARNOV_ARTILLERY,0,3039-01-01T00:00:00Z,1,,1,,1,,1
vehicledef_APC_HeavyWheeled_SRM,1,,1,,1,,1,,1
vehicledef_APC_HeavyWheeled_LRM,1,,1,,1,,1,,1
vehicledef_APC_HeavyTracked_SRM,1,,1,,1,,1,,1
vehicledef_APC_HeavyHover_SRM,1,,1,,1,,1,,1
vehicledef_APC_HeavyTracked_LRM,1,,1,,1,,1,,1
vehicledef_APC_HeavyHover_LRM,1,,1,,1,,1,,1
vehicledef_WARRIOR_H-7A,5,,5,,5,,4,,2
vehicledef_PACKRAT_ICE,4,,3,,5,,3,,1
vehicledef_WARRIOR_H-7,7,,7,,7,,5,,2
vehicledef_SCORPION,29,,29,,21,,8,,5
vehicledef_GALLEON,7,,9,,13,,9,,5
vehicledef_SKULKER,3,,3,,3,,2,,0
vehicledef_SCORPION_ML,7,,7,,5,,3,,3
vehicledef_PACKRAT_PKR-T5,3,,3,,7,,7,,3
vehicledef_GALLEON_GAL-200,1,,2,,2,,3,,2
vehicledef_SCORPION_SRM,15,,15,,10,,6,,7
vehicledef_SCORPION_MRM,0,,0,,0,3060-01-01T00:00:00Z,1,,3
vehicledef_HARASSER,7,,7,,10,,10,,3
vehicledef_WARRIOR_H-8,0,,0,,0,3055-01-01T00:00:00Z,5,,7
vehicledef_SCORPION_LRM,7,,7,,5,,3,,3
vehicledef_JEdgar_ICE,6,,6,,6,,4,,2
vehicledef_WARRIOR_H-7C,3,,3,,3,,2,,1
vehicledef_SCIMITAR,15,,21,,21,,15,,3
vehicledef_JEdgar,3,,3,,3,,2,,2
vehicledef_PLAINSMAN_SCOUT,0,,0,,0,,0,3067-01-01T00:00:00Z,1
vehicledef_KARNOV_PERIPHERY,0,,0,,0,,0,3064-01-01T00:00:00Z,2
vehicledef_SALADIN_ARMOR,6,,5,,5,,2,,1
vehicledef_SALADIN,23,,26,,26,,13,,7
vehicledef_HUNTER_LRM15,1,,2,,2,,2,,2
vehicledef_PLAINSMAN,0,3039-01-01T00:00:00Z,4,,4,,4,,2
vehicledef_PEGASUS,16,,12,,8,,4,,3
vehicledef_HUNTER_LRM10,1,,2,,2,,2,,2
vehicledef_HUNTER,8,,11,,11,,10,,5
vehicledef_GALLEON_GAL-102,0,,0,,0,3055-01-01T00:00:00Z,4,,5
vehicledef_SARACEN,15,,21,,21,,15,,6
vehicledef_HUNTER_AMMO,1,,1,,1,,2,,1
vehicledef_YELLOWJACKET,0,,0,,0,3060-01-01T00:00:00Z,5,,7
vehicledef_YELLOWJACKET_AMMO,0,,0,,0,3060-01-01T00:00:00Z,1,,1
Mediums,,,,,,,,,
vehicledef_VEDETTE_AC2,21,,21,,26,,41,,29
vehicledef_VEDETTE,58,,58,,73,,83,,57
vehicledef_HETZER_LASER,2,,2,,1,,1,,1
vehicledef_HETZER_AC10,2,,1,,1,,1,,1
vehicledef_HETZER_SCOUT,1,,1,,1,,1,,1
vehicledef_GOBLIN,4,,4,,5,,3,,0
vehicledef_HETZER,12,,9,,8,,7,,3
