IvesAVehicles,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Dates,3029-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3050-01-01T00:00:00Z,,3057-01-01T00:00:00Z,,3063-01-01T00:00:00Z
Lights,,,,,,,,,
vehicledef_TRUCK_Flatbed,18,,18,,20,,28,,35
vehicledef_FERRET,5,,6,,7,,7,,9
vehicledef_SPRINT_TRANSPORT,0,,0,,0,3056-01-01T00:00:00Z,10,,6
vehicledef_SPRINT_C3,0,,0,,0,3057-01-01T00:00:00Z,13,,6
vehicledef_SPRINT,0,,0,,0,3052-01-01T00:00:00Z,65,,31
vehicledef_PEREGRINE_CARGO,0,3036-01-01T00:00:00Z,1,,0,,0,,0
vehicledef_HOVERSCOUT,3,,3,,3,,4,,5
vehicledef_APC_HeavyTracked,12,,12,,13,,18,,23
vehicledef_SPRINT_LASER,0,,0,,0,3056-01-01T00:00:00Z,15,,9
vehicledef_KARNOV_ARTILLERY,0,3039-01-01T00:00:00Z,1,,1,,1,,2
vehicledef_PACKRAT_SRM2,0,3039-01-01T00:00:00Z,1,,1,,1,,1
vehicledef_WARRIOR_H-7A,9,,6,,5,,7,,9
vehicledef_PACKRAT_ICE,1,,1,,1,,1,,1
vehicledef_WARRIOR_H-7,13,,9,,7,,10,,13
vehicledef_SCORPION,18,,18,,14,,14,,10
vehicledef_GALLEON_GAL-100,6,,9,,13,,14,,17
vehicledef_SKULKER,4,,4,,4,,4,,5
vehicledef_PEGASUS_UA,2,,1,,1,,1,,1
vehicledef_MOBILEHQ,1,,1,,2,,4,,6
vehicledef_SCORPION_ML,5,,5,,4,,3,,3
vehicledef_PACKRAT_PKR-T5,3,,4,,4,,5,,5
vehicledef_PEREGRINE,5,,3,,0,,0,,0
vehicledef_GALLEON_GAL-200,0,,0,3049-01-01T00:00:00Z,1,,3,,4
vehicledef_HARASSER_Mini-Peggy,0,,0,3049-01-01T00:00:00Z,1,,1,,1
vehicledef_HARASSER_FLAMER,0,,0,3049-01-01T00:00:00Z,1,,1,,2
vehicledef_SCORPION_SRM,9,,9,,7,,7,,7
vehicledef_SCORPION_MRM,0,,0,,0,,0,3060-01-01T00:00:00Z,4
vehicledef_HARASSER,0,,0,3049-01-01T00:00:00Z,8,,11,,14
vehicledef_SCORPION_LRM,5,,5,,4,,3,,3
vehicledef_JEdgar_ICE,1,,1,,1,,1,,1
vehicledef_MANTIS,0,,0,,0,,0,3061-01-01T00:00:00Z,9
vehicledef_WARRIOR_H-7C,4,,3,,2,,3,,5
vehicledef_JEdgar_Flamer,1,,1,,1,,1,,1
vehicledef_JEdgar_MG,1,,1,,1,,1,,1
vehicledef_CAVALRY_LRM,0,,0,,0,3055-01-01T00:00:00Z,1,,2
vehicledef_HAWKMOTH,0,,0,,0,,0,3061-01-01T00:00:00Z,4
vehicledef_CAVALRY_TAG,0,,0,,0,,0,3059-01-01T00:00:00Z,2
vehicledef_KARNOV_BA,0,,0,,0,,0,3063-01-01T00:00:00Z,7
vehicledef_HAWKMOTH_ARMOR,0,,0,,0,,0,3061-01-01T00:00:00Z,2
vehicledef_CAVALRY,0,,0,,0,3055-01-01T00:00:00Z,3,,4
vehicledef_CAVALRY_SRM,0,,0,,0,3055-01-01T00:00:00Z,1,,1
vehicledef_SCIMITAR,23,,23,,25,,35,,31
vehicledef_JEdgar,3,,3,,3,,2,,2
vehicledef_JEdgar_TAG,0,,0,,0,3053-01-01T00:00:00Z,9,,5
vehicledef_STRIKER,5,,5,,7,,11,,12
vehicledef_PEGASUS_SENSORS,3,,2,,2,,2,,2
vehicledef_STRIKER_SRM,2,,2,,4,,4,,6
vehicledef_SALADIN_ARMOR,4,,4,,4,,4,,3
vehicledef_SALADIN,15,,23,,25,,35,,25
vehicledef_HUNTER_LRM15,2,,2,,3,,4,,6
vehicledef_STRIKER_LRM,2,,2,,4,,4,,6
vehicledef_CAVALRY_INFANTRY,0,,0,,0,,0,3063-01-01T00:00:00Z,1
vehicledef_PEGASUS,23,,16,,13,,12,,10
vehicledef_HUNTER_LRM10,2,,2,,3,,4,,6
vehicledef_HUNTER,9,,13,,15,,20,,23
vehicledef_GALLEON_GAL-102,0,,0,,0,3055-01-01T00:00:00Z,35,,16
vehicledef_SARACEN,5,,5,,5,,7,,6
vehicledef_HUNTER_AMMO,1,,2,,2,,3,,4
vehicledef_PEGASUS_MISSILE,2,,1,,1,,1,,1
vehicledef_STRIKER_AMMO,0,,0,,0,3055-01-01T00:00:00Z,12,,5
vehicledef_SCIMITAR_MISSILE,3,,3,,3,,4,,4
vehicledef_SALADIN_LBX,0,,0,,0,,0,3061-01-01T00:00:00Z,8
vehicledef_YELLOWJACKET,0,,0,,0,,0,3058-01-01T00:00:00Z,33
vehicledef_YELLOWJACKET_AMMO,0,,0,,0,,0,3058-01-01T00:00:00Z,4
Mediums,,,,,,,,,
vehicledef_VEDETTE_AC2,7,,32,,32,,25,,21
vehicledef_VEDETTE,7,,45,,45,,35,,29
vehicledef_PREDATOR_ORIGINAL,3,,17,,17,,17,,17
vehicledef_VEDETTE_LIAO,20,,126,,126,,99,,83
vehicledef_HETZER_LASER,0,3039-01-01T00:00:00Z,11,,11,,11,,11
vehicledef_GOBLIN_MG,0,3039-01-01T00:00:00Z,1,,1,,1,,1
vehicledef_HETZER_AC10,0,3039-01-01T00:00:00Z,8,,8,,8,,8
vehicledef_HETZER_SCOUT,0,3039-01-01T00:00:00Z,6,,6,,6,,6
vehicledef_VEDETTE_NETC,0,,0,,0,3056-01-01T00:00:00Z,41,,30
vehicledef_GOBLIN,1,,4,,4,,4,,4
vehicledef_HETZER,0,3039-01-01T00:00:00Z,63,,63,,63,,63
vehicledef_CONDOR_DAVION,0,3039-01-01T00:00:00Z,4,,4,,4,,4
vehicledef_VEDETTE_ULTRA,0,,0,,0,3055-01-01T00:00:00Z,99,,84
vehicledef_HETZER_SRM,0,3039-01-01T00:00:00Z,11,,11,,11,,11
vehicledef_CONDOR,3,,10,,10,,10,,8
vehicledef_GOBLIN_LRM,0,3039-01-01T00:00:00Z,1,,1,,1,,1
vehicledef_HETZER_LRM,0,3039-01-01T00:00:00Z,11,,11,,11,,11
vehicledef_FALCON,2,,10,,10,,10,,10
vehicledef_APC_Maxim_SRM4,1,,3,,3,,2,,2
vehicledef_APC_Maxim_3052AP,0,,0,,0,3055-01-01T00:00:00Z,10,,3
vehicledef_CONDOR_FLAMER,0,3039-01-01T00:00:00Z,1,,1,,1,,1
vehicledef_APC_Maxim_SRM2,1,,3,,3,,2,,2
vehicledef_APC_Maxim,4,,25,,23,,14,,7
vehicledef_CONDOR_LIAO,0,3039-01-01T00:00:00Z,4,,4,,4,,4
vehicledef_APC_Maxim_I,0,,0,,0,,0,3060-01-01T00:00:00Z,11
vehicledef_APC_Maxim_3052U,0,,0,,0,3055-01-01T00:00:00Z,10,,3
vehicledef_APC_Maxim_BA,0,,0,,0,3055-01-01T00:00:00Z,11,,7
vehicledef_CHAPARRAL_MG,0,,0,,0,,0,3062-01-01T00:00:00Z,4
vehicledef_CHAPARRAL,0,,0,3049-01-01T00:00:00Z,112,,50,,14
vehicledef_APC_Maxim_BAv2,0,,0,,0,,0,3058-01-01T00:00:00Z,3
vehicledef_CHAPARRAL_SRM,0,,0,,0,,0,3060-01-01T00:00:00Z,4
vehicledef_APC_Maxim_3052FS,0,,0,,0,3053-01-01T00:00:00Z,10,,3
vehicledef_DRILLSON_SRM,0,3039-01-01T00:00:00Z,2,,2,,3,,3
vehicledef_DRILLSON,0,3039-01-01T00:00:00Z,10,,10,,9,,10
vehicledef_CONDOR_LASER,0,,0,,0,,0,3061-01-01T00:00:00Z,2
Heavies,,,,,,,,,
vehicledef_RECOVERY_HeavyMech,4,,4,,4,,4,,4
vehicledef_DRONECARRIER,2,,2,,2,,2,,2
vehicledef_CARRIER_AC2,4,,4,,4,,4,,2
vehicledef_CARRIER_LBX,0,,0,,0,,0,3063-01-01T00:00:00Z,4
vehicledef_BULLDOG_AC2,6,,6,,6,,6,,4
vehicledef_CARRIER_LASER,6,,6,,6,,6,,4
vehicledef_THUMPER,16,,11,,8,,6,,4
vehicledef_BULLDOG,11,,11,,11,,11,,8
vehicledef_PIKE,4,,4,,4,,3,,3
vehicledef_PO,0,,0,3049-01-01T00:00:00Z,8,,6,,6
vehicledef_BULLDOG_LRM,6,,6,,6,,6,,4
vehicledef_CARRIER_MRM,0,,0,,0,,0,3063-01-01T00:00:00Z,8
vehicledef_CARRIER_SRM_NARC,0,,0,,0,3055-01-01T00:00:00Z,51,,4
vehicledef_CARRIER_LRM_3055,0,,0,,0,,0,3058-01-01T00:00:00Z,20
vehicledef_CARRIER_SRM,16,,16,,16,,9,,8
vehicledef_CARRIER_LRM,16,,16,,16,,16,,7
vehicledef_BRUTUS_PPCv2,1,,1,,1,,1,,1
vehicledef_MANTICORE,16,,16,,23,,23,,23
vehicledef_VONLUCKNER_VNL-K65N,1,,1,,1,,1,,0
vehicledef_BRUTUS,2,,2,,2,,2,,2
vehicledef_BRUTUS_PPC,1,,1,,1,,1,,1
vehicledef_BRUTUS_LRM,1,,1,,1,,1,,1
Assaults,,,,,,,,,
vehicledef_PARTISAN_AC2,5,,2,,2,,2,,2
vehicledef_PARTISAN,27,,14,,10,,10,,10
vehicledef_SCHREK_AC,12,,4,,2,,2,,3
vehicledef_SCHREK_MG,1,,1,,1,,1,,1
vehicledef_DEMOLISHER_MG,8,,3,,2,,2,,2
vehicledef_PARTISAN_AD,0,,0,,0,,0,3059-01-01T00:00:00Z,6
vehicledef_SCHREK,6,,6,,6,,6,,8
vehicledef_ONTOS,21,,11,,6,,4,,3
vehicledef_DEMOLISHER_DUPE,11,,4,,2,,3,,2
vehicledef_DEMOLISHER,32,,11,,7,,9,,7
vehicledef_PARTISAN_LRM,5,,2,,2,,2,,2
vehicledef_DEVASTATOR,17,,9,,4,,4,,6
vehicledef_BEHEMOTH_FLAMER,3,,1,,1,,1,,1
vehicledef_ONTOS_LRM,4,,2,,1,,1,,1
vehicledef_BEHEMOTH,38,,14,,7,,7,,6
vehicledef_ONTOS_3053,0,,0,,0,3053-01-01T00:00:00Z,16,,8
vehicledef_ONTOS_FUSION,0,,0,3049-01-01T00:00:00Z,1,,1,,1
vehicledef_DEMOLISHER_ARROWIV,0,,0,,0,,0,3062-01-01T00:00:00Z,4
vehicledef_BEHEMOTH_KURITA,0,,0,,0,,0,3062-01-01T00:00:00Z,2
vehicledef_STURMFEUR,0,3039-01-01T00:00:00Z,4,,2,,2,,2
vehicledef_BEHEMOTH_ARMOR,5,,2,,1,,1,,1
vehicledef_RHINO_FLAMER,11,,4,,2,,2,,2
vehicledef_RHINO_MG,11,,4,,2,,2,,2
vehicledef_RHINO,21,,8,,4,,4,,4
vehicledef_RHINO_SL,5,,2,,1,,1,,1
vehicledef_DEMOLISHER_GAUSS,0,,0,,0,3053-01-01T00:00:00Z,16,,14
