KuritaAVehicles,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3050-01-01T00:00:00Z,,3061-01-01T00:00:00Z,,3067-01-01T00:00:00Z
Lights,,,,,,,,,
vehicledef_TRUCK_Flatbed,23,,23,,25,,28,,61
vehicledef_SPRINT_TRANSPORT,0,,0,,0,3056-01-01T00:00:00Z,10,,19
vehicledef_SPRINT_C3,0,,0,,0,3057-01-01T00:00:00Z,24,,42
vehicledef_SPRINT,0,,0,,0,3052-01-01T00:00:00Z,59,,105
vehicledef_RIPPER_MG,0,,0,,0,3055-01-01T00:00:00Z,9,,14
vehicledef_KESTREL,0,,0,3049-01-01T00:00:00Z,1,,1,,2
vehicledef_RIPPER_SPL,0,,0,,0,3059-01-01T00:00:00Z,3,,7
vehicledef_KESTREL_SL,0,,0,3049-01-01T00:00:00Z,1,,1,,2
vehicledef_HOVERSCOUT,3,,3,,4,,4,,9
vehicledef_KESTREL_SRM,0,,0,3049-01-01T00:00:00Z,1,,2,,3
vehicledef_APC_HeavyTracked,15,,15,,17,,19,,40
vehicledef_SPRINT_LASER,0,,0,,0,3056-01-01T00:00:00Z,17,,30
vehicledef_KARNOV_ARTILLERY,0,3039-01-01T00:00:00Z,1,,1,,1,,2
vehicledef_KESTREL_ML,0,,0,3049-01-01T00:00:00Z,1,,3,,4
vehicledef_WARRIOR_H-7A,6,,4,,4,,4,,2
vehicledef_PACKRAT_ICE,2,,1,,3,,1,,0
vehicledef_WARRIOR_H-7,8,,6,,6,,5,,3
vehicledef_SCORPION,23,,22,,18,,7,,4
vehicledef_GALLEON,28,,28,,31,,25,,12
vehicledef_SKULKER,25,,25,,28,,16,,34
vehicledef_PEGASUS_UA,3,,2,,1,,1,,2
vehicledef_MOBILEHQ,1,,1,,1,,1,,4
vehicledef_SCORPION_ML,6,,6,,4,,3,,5
vehicledef_HARASSER_LASER,8,,8,,9,,7,,0
vehicledef_PACKRAT_PKR-T5,7,,8,,18,,10,,0
vehicledef_PEREGRINE,16,,0,,0,,0,,0
vehicledef_GALLEON_GAL200,5,,5,,6,,9,,12
vehicledef_RIPPER,0,,0,,0,3055-01-01T00:00:00Z,19,,27
vehicledef_HARASSER_Mini-Peggy,0,3028-01-01T00:00:00Z,1,,1,,1,,1
vehicledef_HARASSER_FLAMER,1,,2,,2,,1,,1
vehicledef_SCORPION_SRM,11,,11,,9,,5,,10
vehicledef_SCORPION_MRM,0,,0,,0,3060-01-01T00:00:00Z,6,,37
vehicledef_JEdgar_Cell,1,,0,,0,,0,,0
vehicledef_HARASSER,10,,13,,14,,11,,1
vehicledef_SCORPION_LRM,6,,6,,4,,3,,5
vehicledef_RIPPER_ERML,0,,0,,0,3058-01-01T00:00:00Z,9,,14
vehicledef_JEdgar_ICE,2,,2,,1,,1,,0
vehicledef_MANTIS,0,,0,,0,3061-01-01T00:00:00Z,11,,56
vehicledef_WARRIOR_H-7C,3,,2,,2,,2,,2
vehicledef_JEdgar_Flamer,2,,1,,1,,1,,0
vehicledef_JEdgar_MG,2,,1,,1,,1,,0
vehicledef_CAVALRY_LRM,0,,0,,0,3055-01-01T00:00:00Z,2,,2
vehicledef_HAWKMOTH,0,,0,,0,3061-01-01T00:00:00Z,5,,53
vehicledef_CAVALRY_TAG,0,,0,,0,3059-01-01T00:00:00Z,3,,4
vehicledef_KARNOV_BA,0,,0,,0,,0,3063-01-01T00:00:00Z,15
vehicledef_HAWKMOTH_ARMOR,0,,0,,0,3061-01-01T00:00:00Z,2,,26
vehicledef_CAVALRY,0,,0,,0,3055-01-01T00:00:00Z,3,,5
vehicledef_CAVALRY_SRM,0,,0,,0,3055-01-01T00:00:00Z,1,,1
vehicledef_SCIMITAR,40,,40,,36,,24,,2
vehicledef_JEdgar,8,,6,,5,,2,,0
vehicledef_JEdgar_TAG,0,,0,,0,3053-01-01T00:00:00Z,10,,0
vehicledef_STRIKER,8,,3,,3,,2,,1
vehicledef_PEGASUS_SENSORS,4,,3,,2,,1,,2
vehicledef_SCIMITAR_TAG,0,,0,3050-01-01T00:00:00Z,168,,55,,13
vehicledef_STRIKER_SRM,2,,1,,2,,1,,1
vehicledef_SALADIN_ARMOR,9,,7,,8,,4,,3
vehicledef_SALADIN,36,,40,,44,,34,,13
vehicledef_HUNTER_LRM15,1,,1,,1,,2,,2
vehicledef_STRIKER_LRM,2,,1,,2,,1,,1
vehicledef_YELLOWJACKET_ARROWIV,0,,0,,0,,0,3067-01-01T00:00:00Z,5
vehicledef_CAVALRY_INFANTRY,0,,0,,0,,0,3063-01-01T00:00:00Z,3
vehicledef_STRIKER_Narc,0,,0,,0,3055-01-01T00:00:00Z,1,,3
vehicledef_PEGASUS,29,,20,,16,,7,,9
vehicledef_HUNTER_LRM10,1,,1,,1,,2,,2
vehicledef_HUNTER,8,,6,,6,,7,,3
vehicledef_GALLEON_GAL102,0,,0,,0,3055-01-01T00:00:00Z,45,,100
vehicledef_CHEVALIER,0,,0,,0,3055-01-01T00:00:00Z,25,,44
vehicledef_SARACEN,8,,8,,9,,8,,4
vehicledef_HUNTER_AMMO,1,,1,,1,,1,,2
vehicledef_SARACEN_MRM,0,,0,,0,,0,3062-01-01T00:00:00Z,26
vehicledef_PEGASUS_MISSILE,3,,2,,1,,1,,2
vehicledef_STRIKER_3053,0,,0,,0,3055-01-01T00:00:00Z,5,,11
vehicledef_JEdgar_Kurita,0,,0,,0,3053-01-01T00:00:00Z,10,,0
vehicledef_STRIKER_AMMO,0,,0,,0,3055-01-01T00:00:00Z,2,,4
vehicledef_SCIMITAR_MISSILE,5,,5,,5,,3,,1
vehicledef_PEGASUS_3058,0,,0,,0,3058-01-01T00:00:00Z,21,,46
vehicledef_SALADIN_LBX,0,,0,,0,3061-01-01T00:00:00Z,27,,137
vehicledef_STRIKER_3061,0,,0,,0,3061-01-01T00:00:00Z,4,,11
vehicledef_PEGASUS_MRM,0,,0,,0,,0,3063-01-01T00:00:00Z,16
vehicledef_YELLOWJACKET,0,,0,,0,3058-01-01T00:00:00Z,50,,81
vehicledef_YELLOWJACKET_RAC,0,,0,,0,,0,3066-01-01T00:00:00Z,14
vehicledef_YELLOWJACKET_AMMO,0,,0,,0,3058-01-01T00:00:00Z,6,,10
vehicledef_SALADIN_ULTRA,0,,0,,0,,0,3064-01-01T00:00:00Z,97
Mediums,,,,,,,,,
vehicledef_VEDETTE_AC2,53,,53,,53,,57,,18
vehicledef_VEDETTE,151,,151,,151,,113,,25
vehicledef_VEDETTE_NETC,0,,0,,0,3056-01-01T00:00:00Z,232,,232
vehicledef_GOBLIN,4,,4,,4,,4,,5
vehicledef_GOBLIN_SRM,1,,1,,1,,1,,1
vehicledef_CONDOR,17,,17,,17,,15,,2
vehicledef_GOBLIN_LRM,1,,1,,1,,1,,1
vehicledef_FALCON,10,,10,,10,,10,,11
vehicledef_APC_Maxim_SRM4,3,,3,,1,,1,,1
vehicledef_VEDETTE_RAC,0,,0,,0,,0,3067-01-01T00:00:00Z,82
vehicledef_APC_Maxim_3052AP,0,,0,,0,3054-01-01T00:00:00Z,11,,7
vehicledef_APC_Maxim_SRM2,3,,3,,1,,1,,1
vehicledef_APC_Maxim,25,,25,,10,,5,,1
vehicledef_APC_Maxim_I,0,,0,,0,3060-01-01T00:00:00Z,31,,119
vehicledef_APC_Maxim_3052U,0,,0,,0,3052-01-01T00:00:00Z,11,,5
vehicledef_APC_Maxim_BA,0,,0,,0,3055-01-01T00:00:00Z,22,,13
vehicledef_CHAPARRAL_MG,0,,0,,0,,0,3062-01-01T00:00:00Z,10
vehicledef_CHAPARRAL,0,,0,3049-01-01T00:00:00Z,77,,57,,40
vehicledef_MYRMIDON,0,,0,,0,3060-01-01T00:00:00Z,5,,29
vehicledef_APC_Maxim_BA_Field,0,,0,,0,3056-01-01T00:00:00Z,16,,9
vehicledef_CHAPARRAL_SRM,0,,0,,0,3060-01-01T00:00:00Z,14,,10
vehicledef_APC_Maxim_3052FS,0,,0,,0,3053-01-01T00:00:00Z,31,,19
