LiaoAVehicles,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3050-01-01T00:00:00Z,,3061-01-01T00:00:00Z,,3067-01-01T00:00:00Z
Lights,,,,,,,,,
vehicledef_TRUCK_Flatbed,23,,23,,25,,99,,88
vehicledef_SWIFTWIND_Speed,1,,1,,1,,2,,2
vehicledef_SPRINT_TRANSPORT,0,,0,,0,3056-01-01T00:00:00Z,14,,3
vehicledef_SWIFTWIND_Cargo,1,,1,,1,,2,,2
vehicledef_SPRINT_C3,0,,0,,0,3057-01-01T00:00:00Z,16,,3
vehicledef_SPRINT,0,,0,,0,3055-01-01T00:00:00Z,80,,15
vehicledef_SWIFTWIND_ICE,1,,1,,1,,2,,1
vehicledef_SWIFTWIND,3,,3,,3,,10,,9
vehicledef_PEREGRINE_CARGO,0,3036-01-01T00:00:00Z,1,,0,,0,,0
vehicledef_RIPPER_MG,0,,0,,0,3055-01-01T00:00:00Z,22,,3
vehicledef_RIPPER_SPL,0,,0,,0,3059-01-01T00:00:00Z,8,,1
vehicledef_HOVERSCOUT,3,,3,,4,,14,,12
vehicledef_APC_HeavyTracked,15,,15,,17,,66,,59
vehicledef_MAULTIER,0,,0,,0,3058-01-01T00:00:00Z,94,,18
vehicledef_SPRINT_LASER,0,,0,,0,3056-01-01T00:00:00Z,22,,4
vehicledef_KARNOV_ARTILLERY,0,3039-01-01T00:00:00Z,1,,1,,4,,3
vehicledef_PACKRAT_SRM2,1,,1,,2,,6,,0
vehicledef_BLIZZARD_SRM,0,,0,,0,,0,3062-01-01T00:00:00Z,18
vehicledef_BLIZZARD,0,,0,,0,3054-01-01T00:00:00Z,28,,22
vehicledef_WARRIOR_H-7A,6,,6,,6,,26,,6
vehicledef_PACKRAT_ICE,1,,1,,2,,3,,0
vehicledef_WARRIOR_H-7,8,,8,,9,,37,,8
vehicledef_SCORPION,23,,23,,18,,27,,5
vehicledef_GALLEON,8,,11,,17,,49,,11
vehicledef_SKULKER,4,,9,,10,,28,,17
vehicledef_PEGASUS_UA,3,,2,,1,,3,,2
vehicledef_MOBILEHQ,1,,1,,1,,5,,6
vehicledef_SCORPION_ML,6,,6,,4,,10,,8
vehicledef_PACKRAT_PKR-T5,4,,4,,10,,27,,0
vehicledef_PEREGRINE,32,,3,,0,,0,,0
vehicledef_GALLEON_GAL-200,0,,0,3049-01-01T00:00:00Z,1,,12,,11
vehicledef_RIPPER,0,,0,,0,3055-01-01T00:00:00Z,44,,6
vehicledef_HARASSER_Mini-Peggy,0,3028-01-01T00:00:00Z,1,,1,,4,,1
vehicledef_HARASSER_FLAMER,1,,2,,2,,5,,2
vehicledef_SCORPION_SRM,11,,11,,9,,19,,15
vehicledef_SCORPION_MRM,0,,0,,0,3060-01-01T00:00:00Z,11,,5
vehicledef_HARASSER,10,,13,,14,,40,,2
vehicledef_SCORPION_LRM,6,,6,,4,,10,,8
vehicledef_RIPPER_ERML,0,,0,,0,3058-01-01T00:00:00Z,22,,3
vehicledef_JEdgar_ICE,1,,1,,1,,1,,0
vehicledef_MANTIS,0,,0,,0,3061-01-01T00:00:00Z,27,,10
vehicledef_WARRIOR_H-7C,3,,3,,3,,13,,6
vehicledef_MINION_TAG,0,,0,,0,,0,3067-01-01T00:00:00Z,2
vehicledef_MINION,0,,0,,0,,0,3067-01-01T00:00:00Z,6
vehicledef_JEdgar_Flamer,1,,1,,1,,1,,0
vehicledef_BLIZZARD_BLACK,0,,0,,0,,0,3064-01-01T00:00:00Z,4
vehicledef_JEdgar_MG,1,,1,,1,,1,,0
vehicledef_CAVALRY_LRM,0,,0,,0,3055-01-01T00:00:00Z,5,,3
vehicledef_HAWKMOTH,0,,0,,0,3061-01-01T00:00:00Z,11,,10
vehicledef_CAVALRY_TAG,0,,0,,0,3059-01-01T00:00:00Z,8,,1
vehicledef_KARNOV_BA,0,,0,,0,,0,3063-01-01T00:00:00Z,3
vehicledef_HAWKMOTH_ARMOR,0,,0,,0,3061-01-01T00:00:00Z,5,,5
vehicledef_CAVALRY,0,,0,,0,3055-01-01T00:00:00Z,11,,7
vehicledef_CAVALRY_SRM,0,,0,,0,3055-01-01T00:00:00Z,4,,2
vehicledef_SCIMITAR,28,,28,,32,,88,,3
vehicledef_JEdgar,3,,3,,3,,5,,0
vehicledef_JEdgar_TAG,0,,0,,0,3053-01-01T00:00:00Z,17,,0
vehicledef_STRIKER,5,,6,,4,,17,,2
vehicledef_PEGASUS_SENSORS,4,,3,,1,,4,,2
vehicledef_STRIKER_SRM,1,,3,,2,,9,,1
vehicledef_KARNOV_PERIPHERY,0,,0,,0,,0,3064-01-01T00:00:00Z,3
vehicledef_SALADIN_ARMOR,6,,5,,6,,9,,3
vehicledef_SALADIN,25,,28,,32,,72,,11
vehicledef_HUNTER_LRM15,2,,3,,3,,16,,6
vehicledef_STRIKER_LRM,1,,3,,2,,9,,1
vehicledef_YELLOWJACKET_ARROWIV,0,,0,,0,,0,3067-01-01T00:00:00Z,1
vehicledef_CAVALRY_INFANTRY,0,,0,,0,,0,3063-01-01T00:00:00Z,1
vehicledef_PEGASUS,29,,20,,11,,21,,13
vehicledef_HUNTER_LRM10,2,,3,,3,,16,,6
vehicledef_HUNTER,12,,16,,18,,66,,13
vehicledef_GALLEON_GAL-102,0,,0,,0,3055-01-01T00:00:00Z,60,,8
vehicledef_SARACEN,8,,8,,9,,25,,4
vehicledef_HUNTER_AMMO,1,,2,,2,,12,,6
vehicledef_PEGASUS_MISSILE,3,,2,,1,,3,,2
vehicledef_STRIKER_AMMO,0,,0,,0,3055-01-01T00:00:00Z,9,,1
vehicledef_SCIMITAR_MISSILE,4,,4,,4,,11,,2
vehicledef_SALADIN_LBX,0,,0,,0,3061-01-01T00:00:00Z,27,,10
vehicledef_YELLOWJACKET,0,,0,,0,3058-01-01T00:00:00Z,120,,15
vehicledef_YELLOWJACKET_RAC,0,,0,,0,,0,3066-01-01T00:00:00Z,3
vehicledef_YELLOWJACKET_AMMO,0,,0,,0,3058-01-01T00:00:00Z,15,,2
vehicledef_SALADIN_ULTRA,0,,0,,0,,0,3064-01-01T00:00:00Z,7
Mediums,,,,,,,,,
vehicledef_VEDETTE_AC2,32,,32,,32,,67,,20
vehicledef_VEDETTE,45,,45,,45,,94,,20
vehicledef_PREDATOR_ORIGINAL,25,,17,,17,,40,,0
vehicledef_VEDETTE_LIAO,126,,126,,126,,266,,40
vehicledef_HETZER_LASER,11,,11,,11,,31,,27
vehicledef_GOBLIN_MG,1,,1,,1,,3,,3
vehicledef_HETZER_AC10,8,,8,,8,,22,,19
vehicledef_HETZER_SCOUT,6,,6,,6,,15,,13
vehicledef_VEDETTE_NETC,0,,0,,0,3056-01-01T00:00:00Z,64,,11
vehicledef_GOBLIN,4,,4,,4,,13,,13
vehicledef_HETZER,63,,63,,63,,175,,38
vehicledef_GLADIUS,0,,0,,0,,0,3067-01-01T00:00:00Z,27
vehicledef_VEDETTE_ULTRA,0,,0,,0,3055-01-01T00:00:00Z,182,,31
vehicledef_HETZER_SRM,11,,11,,11,,31,,27
vehicledef_CONDOR,5,,4,,4,,11,,2
vehicledef_GOBLIN_LRM,1,,1,,1,,2,,2
vehicledef_HETZER_LRM,11,,11,,11,,31,,27
vehicledef_FALCON,10,,10,,10,,32,,31
vehicledef_APC_Maxim_SRM4,3,,3,,2,,6,,4
vehicledef_VEDETTE_RAC,0,,0,,0,,0,3067-01-01T00:00:00Z,4
vehicledef_APC_Maxim_3052AP,0,,0,,0,3055-01-01T00:00:00Z,5,,1
vehicledef_CONDOR_FLAMER,1,,1,,1,,3,,2
vehicledef_CONDOR_FISSION,1,,0,,0,,0,,0
vehicledef_APC_Maxim_SRM2,3,,3,,2,,6,,2
vehicledef_APC_Maxim,25,,25,,16,,23,,3
vehicledef_CONDOR_LIAO,10,,8,,8,,23,,4
vehicledef_HETZER_LBX,0,,0,,0,,0,3063-01-01T00:00:00Z,15
vehicledef_APC_Maxim_I,0,,0,,0,3060-01-01T00:00:00Z,17,,13
vehicledef_APC_Maxim_3052U,0,,0,,0,3055-01-01T00:00:00Z,5,,1
vehicledef_APC_Maxim_BA,0,,0,,0,3055-01-01T00:00:00Z,15,,2
vehicledef_CHAPARRAL_MG,0,,0,,0,,0,3062-01-01T00:00:00Z,1
vehicledef_CHAPARRAL,0,,0,3049-01-01T00:00:00Z,109,,34,,5
vehicledef_MYRMIDON,0,,0,,0,,0,3067-01-01T00:00:00Z,39
vehicledef_APC_Maxim_BAv2,0,,0,,0,3058-01-01T00:00:00Z,5,,1
vehicledef_CHAPARRAL_SRM,0,,0,,0,3060-01-01T00:00:00Z,8,,1
vehicledef_APC_Maxim_3052FS,0,,0,,0,3053-01-01T00:00:00Z,5,,1
vehicledef_DRILLSON_SRM,0,3039-01-01T00:00:00Z,12,,12,,40,,0
vehicledef_DRILLSON,0,3039-01-01T00:00:00Z,6,,6,,20,,0
vehicledef_CONDOR_LASER,0,,0,,0,3061-01-01T00:00:00Z,3,,1
vehicledef_REGULATOR_ARROWIV,0,,0,,0,,0,3064-01-01T00:00:00Z,26
vehicledef_REGULATOR,0,,0,,0,3057-01-01T00:00:00Z,331,,53
Heavies,,,,,,,,,
vehicledef_RECOVERY_HeavyMech,6,,8,,8,,45,,20
vehicledef_DRONECARRIER,0,3028-01-01T00:00:00Z,4,,4,,23,,10
vehicledef_CARRIER_AC2,6,,8,,8,,23,,7
vehicledef_CARRIER_LBX,0,,0,,0,,0,3063-01-01T00:00:00Z,8
vehicledef_BULLDOG_AC2,9,,12,,12,,45,,2
vehicledef_CARRIER_LASER,6,,12,,12,,45,,0
vehicledef_THUMPER,21,,22,,15,,43,,18
vehicledef_BULLDOG,18,,24,,23,,90,,5
vehicledef_PIKE,6,,8,,8,,32,,0
vehicledef_MARKSMAN,2,,0,,0,,0,,0
vehicledef_PO,0,3031-01-01T00:00:00Z,24,,23,,128,,45
vehicledef_MORNINGSTAR,0,,0,,0,,0,3067-01-01T00:00:00Z,4
vehicledef_BULLDOG_LRM,9,,12,,12,,45,,2
vehicledef_CARRIER_MRM,0,,0,,0,,0,3063-01-01T00:00:00Z,17
vehicledef_CARRIER_SRM_NARC,0,,0,,0,3055-01-01T00:00:00Z,122,,10
vehicledef_CARRIER_LRM_3055,0,,0,,0,3058-01-01T00:00:00Z,470,,35
vehicledef_CARRIER_SRM,25,,34,,33,,82,,32
vehicledef_CARRIER_LRM,25,,34,,33,,79,,28
vehicledef_CARRIER_SRM_C3,0,,0,,0,,0,3065-01-01T00:00:00Z,5
vehicledef_ZHUKOV,0,3030-01-01T00:00:00Z,17,,17,,90,,39
vehicledef_MORNINGSTAR_LASER,0,,0,,0,,0,3067-01-01T00:00:00Z,1
vehicledef_BRUTUS_PPCv2,1,,1,,1,,6,,2
