MagistracyOfCanopusAVehicles,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3050-01-01T00:00:00Z,,3061-01-01T00:00:00Z,,3067-01-01T00:00:00Z
Lights,,,,,,,,,
vehicledef_TRUCK_Flatbed,42,,42,,42,,42,,46
vehicledef_FERRET,10,,15,,15,,10,,8
vehicledef_SWIFTWIND_ICE,0,,0,,0,3058-01-01T00:00:00Z,1,,1
vehicledef_SWIFTWIND,0,,0,,0,3058-01-01T00:00:00Z,5,,6
vehicledef_APC_Hover_SRM,1,,1,,1,,1,,1
vehicledef_APC_Tracked_SRM,1,,1,,1,,1,,1
vehicledef_APC_Wheeled_SRM,1,,1,,1,,1,,1
vehicledef_HOVERSCOUT,6,,6,,6,,6,,7
vehicledef_APC_Hover_LRM,1,,1,,1,,1,,1
vehicledef_APC_Wheeled_LRM,1,,1,,1,,1,,1
vehicledef_APC_HeavyTracked,13,,13,,13,,13,,14
vehicledef_APC_Tracked_LRM,1,,1,,1,,1,,1
vehicledef_MAULTIER,0,,0,,0,3058-01-01T00:00:00Z,58,,46
vehicledef_KARNOV_ARTILLERY,0,3039-01-01T00:00:00Z,1,,2,,2,,2
vehicledef_APC_HeavyWheeled_SRM,1,,1,,1,,1,,1
vehicledef_BLIZZARD_SRM,0,,0,,0,,0,3062-01-01T00:00:00Z,7
vehicledef_APC_HeavyWheeled_LRM,1,,1,,1,,1,,1
vehicledef_APC_HeavyTracked_SRM,1,,1,,1,,1,,1
vehicledef_APC_HeavyHover_SRM,1,,1,,1,,1,,1
vehicledef_APC_HeavyTracked_LRM,1,,1,,1,,1,,1
vehicledef_BLIZZARD,0,,0,,0,3055-01-01T00:00:00Z,10,,9
vehicledef_APC_HeavyHover_LRM,1,,1,,1,,1,,1
vehicledef_WARRIOR_H-7A,10,,10,,10,,7,,2
vehicledef_PACKRAT_ICE,5,,5,,7,,5,,0
vehicledef_WARRIOR_H-7,14,,14,,14,,10,,2
vehicledef_SCORPION,59,,59,,42,,16,,5
vehicledef_GALLEON,26,,26,,23,,14,,4
vehicledef_SKULKER,6,,6,,6,,4,,0
vehicledef_SCORPION_ML,15,,15,,10,,6,,7
vehicledef_PACKRAT_PKR-T5,4,,5,,10,,9,,0
vehicledef_GALLEON_GAL-200,5,,5,,4,,5,,4
vehicledef_SCORPION_SRM,29,,29,,21,,11,,14
vehicledef_SCORPION_MRM,0,,0,,0,3060-01-01T00:00:00Z,7,,22
vehicledef_HARASSER,21,,29,,29,,21,,1
vehicledef_WARRIOR_H-8,0,,0,,0,3055-01-01T00:00:00Z,45,,43
vehicledef_SCORPION_LRM,15,,15,,10,,6,,7
vehicledef_JEdgar_ICE,13,,13,,13,,8,,0
vehicledef_WARRIOR_H-7C,5,,5,,5,,4,,2
vehicledef_BLIZZARD_BLACK,0,,0,,0,,0,3067-01-01T00:00:00Z,6
vehicledef_SCIMITAR,29,,59,,59,,42,,2
vehicledef_JEdgar,6,,6,,6,,5,,0
vehicledef_KARNOV_PERIPHERY,0,,0,,0,,0,3064-01-01T00:00:00Z,15
vehicledef_SALADIN_ARMOR,12,,9,,9,,3,,2
vehicledef_SALADIN,47,,52,,52,,26,,7
vehicledef_HUNTER_LRM15,2,,3,,3,,3,,2
vehicledef_YELLOWJACKET_ARROWIV,0,,0,,0,,0,3067-01-01T00:00:00Z,3
vehicledef_PEGASUS,33,,23,,16,,8,,6
vehicledef_HUNTER_LRM10,2,,3,,3,,3,,2
vehicledef_HUNTER,11,,15,,15,,14,,3
vehicledef_GALLEON_GAL-102,0,,0,3049-01-01T00:00:00Z,64,,48,,42
vehicledef_SARACEN,29,,29,,29,,21,,6
vehicledef_HUNTER_AMMO,1,,2,,2,,2,,2
vehicledef_YELLOWJACKET,0,,0,,0,3059-01-01T00:00:00Z,41,,41
