MarikAVehicles,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3050-01-01T00:00:00Z,,3061-01-01T00:00:00Z,,3067-01-01T00:00:00Z
Lights,,,,,,,,,
vehicledef_TRUCK_Flatbed,23,,18,,20,,35,,61
vehicledef_FERRET,3,,6,,6,,8,,10
vehicledef_SPRINT_TRANSPORT,0,,0,,0,3056-01-01T00:00:00Z,12,,16
vehicledef_SPRINT_C3,0,,0,,0,3057-01-01T00:00:00Z,14,,18
vehicledef_SPRINT,0,,0,,0,3055-01-01T00:00:00Z,69,,89
vehicledef_FERRET_ARMOR,1,,1,,1,,2,,2
vehicledef_HOVERSCOUT,3,,3,,3,,5,,9
vehicledef_APC_HeavyTracked,15,,12,,13,,23,,40
vehicledef_SPRINT_LASER,0,,0,,0,3056-01-01T00:00:00Z,19,,25
vehicledef_KARNOV_GUNSHIP,0,,0,3040-01-01T00:00:00Z,5,,9,,15
vehicledef_KARNOV_ARTILLERY,0,3039-01-01T00:00:00Z,1,,1,,2,,2
vehicledef_WARRIOR_H-7A,4,,3,,4,,7,,2
vehicledef_PACKRAT_ICE,1,,1,,2,,2,,0
vehicledef_WARRIOR_H-7,6,,4,,5,,9,,3
vehicledef_SCORPION,23,,18,,14,,10,,4
vehicledef_GALLEON_GAL-100,16,,11,,21,,16,,7
vehicledef_SKULKER,6,,7,,8,,10,,12
vehicledef_PEGASUS_UA,3,,1,,1,,1,,2
vehicledef_MOBILEHQ,2,,1,,2,,6,,14
vehicledef_SCORPION_ML,6,,5,,4,,3,,5
vehicledef_HARASSER_LASER,11,,9,,10,,12,,0
vehicledef_PACKRAT_PKR-T5,5,,5,,10,,12,,0
vehicledef_PEREGRINE,11,,0,,0,,0,,0
vehicledef_GALLEON_GAL-200,0,,0,3049-01-01T00:00:00Z,2,,4,,7
