OutworldAVehicles,,,,,,,,,
,,,,,,,,,
Collection:SnowRavenVehicles,0,,0,,0,Jump:3061-01-01T00:00:00Z,2,,10
,,,,,,,,,
,,,,,,,,,
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3050-01-01T00:00:00Z,,3061-01-01T00:00:00Z,,3067-01-01T00:00:00Z
Lights,,,,,,,,,
vehicledef_TRUCK_Flatbed,42,,42,,42,,42,,46
vehicledef_APC_Hover_SRM,1,,1,,1,,1,,1
vehicledef_APC_Tracked_SRM,1,,1,,1,,1,,1
vehicledef_APC_Wheeled_SRM,1,,1,,1,,1,,1
vehicledef_HOVERSCOUT,6,,6,,6,,6,,7
vehicledef_APC_Hover_LRM,1,,1,,1,,1,,1
vehicledef_APC_Wheeled_LRM,1,,1,,1,,1,,1
vehicledef_APC_HeavyTracked,13,,13,,13,,13,,14
vehicledef_APC_Tracked_LRM,1,,1,,1,,1,,1
vehicledef_KARNOV_ARTILLERY,0,3039-01-01T00:00:00Z,1,,2,,2,,2
vehicledef_APC_HeavyWheeled_SRM,1,,1,,1,,1,,1
vehicledef_APC_HeavyWheeled_LRM,1,,1,,1,,1,,1
vehicledef_APC_HeavyTracked_SRM,1,,1,,1,,1,,1
vehicledef_APC_HeavyHover_SRM,1,,1,,1,,1,,1
vehicledef_APC_HeavyTracked_LRM,1,,1,,1,,1,,1
vehicledef_APC_HeavyHover_LRM,1,,1,,1,,1,,1
vehicledef_WARRIOR_H-7A,10,,10,,10,,7,,2
vehicledef_PACKRAT_ICE,5,,5,,7,,5,,0
vehicledef_WARRIOR_H-7,14,,14,,14,,10,,2
vehicledef_SCORPION,59,,59,,42,,16,,5
vehicledef_GALLEON,52,,52,,52,,37,,12
vehicledef_SKULKER,8,,8,,8,,6,,5
vehicledef_SCORPION_ML,15,,15,,10,,6,,7
vehicledef_PACKRAT_PKR-T5,4,,5,,10,,9,,0
vehicledef_GALLEON_GAL-200,9,,9,,9,,13,,12
vehicledef_SCORPION_SRM,29,,29,,21,,11,,14
vehicledef_SCORPION_MRM,0,,0,,0,3060-01-01T00:00:00Z,2,,6
