OutworldSpecialVehicles,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Dates,3049-01-01T00:00:00Z,,3053-01-01T00:00:00Z,,3057-01-01T00:00:00Z,,3061-01-01T00:00:00Z,,3065-01-01T00:00:00Z
Lights,,,,,,,,,
vehicledef_TRUCK_Flatbed,80,,69,,4,,0,,120
vehicledef_KESTREL_CLAN,12,,12,,12,,19,,22
vehicledef_APC_HeavyTracked,76,,65,,3,,0,,113
vehicledef_MAULTIER,269,,227,,195,,334,,334
vehicledef_RIPPER_ROYAL,63,,54,,46,,79,,79
vehicledef_GALLEON_GAL-100,114,,97,,5,,0,,191
vehicledef_RIPPER,127,,107,,92,,157,,157
vehicledef_NIGHTSHADE,107,,90,,77,,188,,188
vehicledef_BADGER_C-E,0,,0,,0,,0,3063-01-01T00:00:00Z,1
vehicledef_BADGER_C-A,1,,1,,1,,1,,1
vehicledef_SHAMASH,6,,6,,6,,13,,15
vehicledef_BADGER_C-D,1,,1,,1,,1,,1
vehicledef_LIGHTNING,403,,340,,291,,500,,500
vehicledef_BADGER_C-C,1,,1,,1,,1,,1
vehicledef_BADGER_C-B,1,,1,,1,,1,,1
vehicledef_ZORYA,38,,38,,38,,85,,99
vehicledef_ZORYA_AMMO,10,,10,,10,,21,,25
vehicledef_BADGER_C-PRIME,1,,1,,1,,1,,1
vehicledef_NIGHTSHADE_ROYAL,107,,90,,77,,188,,188
vehicledef_LIGHTNING_ROYAL,806,,681,,582,,1000,,1000
vehicledef_MITHRAS,17,,17,,17,,27,,31
vehicledef_ODIN,12,,12,,12,,27,,31
vehicledef_SVANTOVIT,4,,4,,4,,7,,8
vehicledef_ANHUR,17,,17,,17,,38,,44
vehicledef_CYRANO_ROYAL,302,,255,,218,,375,,375
vehicledef_SVANTOVIT_ORIGINAL,1,,1,,1,,2,,2
vehicledef_INDRA,12,,12,,12,,27,,31
vehicledef_DONAR,24,,24,,24,,53,,62
vehicledef_ASSHUR,8,,8,,8,,19,,22
vehicledef_ASSHUR_RECON,27,,27,,27,,60,,69
Mediums,,,,,,,,,
vehicledef_ZEPHYR_ROYAL,555,,469,,401,,629,,1000
vehicledef_THOR_CLAN,12,,12,,12,,19,,27
vehicledef_BANDIT_C-PRIME,1,,1,,1,,1,,1
vehicledef_KU,17,,17,,17,,27,,46
vehicledef_BANDIT_C-D,1,,1,,1,,1,,1
vehicledef_BANDIT_C-A,1,,1,,1,,1,,1
vehicledef_APC_Maxim_Clan,0,,0,,0,3059-01-01T00:00:00Z,13,,23
vehicledef_ARES,17,,17,,17,,27,,46
vehicledef_BANDIT_C-B,1,,1,,1,,1,,1
vehicledef_BANDIT_C-C,1,,1,,1,,1,,1
vehicledef_HACHIMAN,12,,12,,12,,19,,33
vehicledef_ENYO,0,,0,,0,,0,3063-01-01T00:00:00Z,12
Heavies,,,,,,,,,
vehicledef_RECOVERY_HeavyMech,13,,14,,1,,0,,65
vehicledef_CARRIER_SRM,9,,10,,1,,0,,46
vehicledef_CARRIER_LRM,5,,5,,1,,0,,26
vehicledef_PIKE_CLAN,0,,0,3055-01-01T00:00:00Z,6,,34,,19
vehicledef_DEMON,89,,90,,227,,1000,,484
vehicledef_ORO,7,,8,,22,,96,,54
vehicledef_KOKOU,2,,2,,5,,24,,14
vehicledef_DEMON_ROYAL,63,,63,,161,,500,,242
vehicledef_ISHTAR,2,,2,,5,,24,,14
vehicledef_ATHENA,3,,3,,8,,34,,19
Assaults,,,,,,,,,
vehicledef_HUITZILOPOCHTLI,4,,5,,10,,62,,32
vehicledef_FURY_ROYAL,25,,25,,44,,250,,119
vehicledef_RHINO_MG,14,,14,,1,,0,,60
vehicledef_RHINO,28,,29,,1,,0,,121
vehicledef_PUMA_PAT-005b,89,,89,,155,,1000,,474
vehicledef_DEMOLISHER_CLAN,0,,0,,0,3058-01-01T00:00:00Z,63,,30
vehicledef_RHINO_ROYAL,25,,25,,43,,202,,96
vehicledef_MARS_ATM,0,,0,,0,,0,3065-01-01T00:00:00Z,17
vehicledef_MARS,12,,14,,29,,143,,67
