RasalhagueAVehicles,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Dates,3034-01-01T00:00:00Z,,3049-01-01T00:00:00Z,,3061-01-01T00:00:00Z,,3067-01-01T00:00:00Z
Lights,,,,,,,
vehicledef_TRUCK_Flatbed,17,,18,,34,,61
vehicledef_SPRINT_TRANSPORT,0,,0,3056-01-01T00:00:00Z,18,,28
vehicledef_SPRINT_C3,0,,0,3057-01-01T00:00:00Z,28,,45
vehicledef_SPRINT,0,,0,3052-01-01T00:00:00Z,100,,160
vehicledef_KESTREL,0,3049-01-01T00:00:00Z,1,,2,,2
vehicledef_RIPPER_SPL,0,,0,3059-01-01T00:00:00Z,10,,20
vehicledef_KESTREL_SL,0,3049-01-01T00:00:00Z,1,,2,,3
vehicledef_HOVERSCOUT,2,,2,,5,,9
vehicledef_KESTREL_SRM,0,3049-01-01T00:00:00Z,1,,3,,4
vehicledef_GABRIEL,0,,0,3058-01-01T00:00:00Z,27,,49
vehicledef_APC_HeavyTracked,12,,12,,22,,40
vehicledef_SPRINT_LASER,0,,0,3056-01-01T00:00:00Z,28,,45
vehicledef_KARNOV_GUNSHIP,0,3040-01-01T00:00:00Z,4,,8,,15
vehicledef_KARNOV_ARTILLERY,0,3039-01-01T00:00:00Z,1,,2,,2
vehicledef_KESTREL_ML,0,3049-01-01T00:00:00Z,1,,5,,6
vehicledef_WARRIOR_H-7A,3,,3,,4,,2
vehicledef_PACKRAT_ICE,1,,1,,1,,0
vehicledef_WARRIOR_H-7,4,,4,,6,,2
vehicledef_SCORPION,24,,25,,26,,8
vehicledef_GALLEON,15,,14,,16,,8
vehicledef_SKULKER,14,,14,,13,,6
vehicledef_PEGASUS_UA,1,,1,,1,,2
vehicledef_MOBILEHQ,1,,2,,5,,14
vehicledef_SCORPION_ML,6,,6,,9,,12
vehicledef_HARASSER_LASER,6,,6,,8,,0
vehicledef_PACKRAT_PKR-T5,6,,6,,8,,0
vehicledef_PEREGRINE,2,,0,,0,,0
vehicledef_GALLEON_GAL-200,3,,2,,6,,8
vehicledef_RIPPER,0,,0,3055-01-01T00:00:00Z,54,,78
vehicledef_HARASSER_Mini-Peggy,1,,1,,1,,1
vehicledef_HARASSER_FLAMER,1,,1,,2,,1
vehicledef_SCORPION_SRM,12,,12,,18,,23
