RavenAllianceVehicles,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Dates,3049-01-01T00:00:00Z,,3055-01-01T00:00:00Z,,3058-01-01T00:00:00Z,,3060-01-01T00:00:00Z,,3067-01-01T00:00:00Z
Lights,,,,,,,,,
vehicledef_KESTREL_CLAN,8,,8,,15,,8,,19
vehicledef_MAULTIER,338,,265,,376,,205,,377
vehicledef_RIPPER_ROYAL,239,,187,,376,,145,,267
vehicledef_NIGHTSHADE,85,,66,,133,,73,,133
vehicledef_BADGER_C-E,0,,0,,0,,0,3062-01-01T00:00:00Z,1
vehicledef_BADGER_C-A,1,,1,,1,,1,,1
vehicledef_SHAMASH,4,,4,,8,,5,,13
vehicledef_BADGER_C-D,1,,1,,1,,1,,1
vehicledef_LIGHTNING,319,,249,,355,,194,,356
vehicledef_BADGER_C-H,0,,0,,0,,0,3065-01-01T00:00:00Z,1
vehicledef_BADGER_C-C,1,,1,,1,,1,,1
vehicledef_BADGER_C-B,1,,1,,1,,1,,1
vehicledef_ZORYA,25,,25,,49,,35,,85
vehicledef_ZORYA_AMMO,6,,6,,12,,9,,21
vehicledef_BADGER_C-PRIME,1,,1,,1,,1,,1
vehicledef_NIGHTSHADE_ROYAL,85,,66,,133,,73,,133
vehicledef_LIGHTNING_ROYAL,637,,499,,710,,387,,712
vehicledef_MITHRAS,11,,11,,22,,11,,19
vehicledef_ODIN,8,,8,,15,,11,,26
vehicledef_SVANTOVIT,4,,4,,9,,4,,11
vehicledef_ANHUR,11,,11,,5,,15,,37
vehicledef_CYRANO_ROYAL,239,,187,,376,,145,,267
vehicledef_SVANTOVIT_ORIGINAL,1,,1,,2,,1,,3
vehicledef_INDRA,8,,8,,15,,11,,26
vehicledef_DONAR,15,,15,,30,,22,,53
vehicledef_ASSHUR,5,,5,,11,,8,,19
vehicledef_ASSHUR_RECON,22,,22,,43,,31,,75
Mediums,,,,,,,,,
vehicledef_PROWLER,305,,298,,361,,290,,303
vehicledef_PROWLER_ECM,0,,0,,0,3059-01-01T00:00:00Z,73,,76
vehicledef_ZEPHYR_ROYAL,609,,595,,512,,513,,535
vehicledef_THOR_CLAN,16,,20,,21,,21,,26
vehicledef_BANDIT_C-E,0,,0,,0,,0,3065-01-01T00:00:00Z,1
vehicledef_BANDIT_C-PRIME,2,,3,,3,,2,,1
vehicledef_KU,22,,28,,29,,29,,36
vehicledef_BANDIT_C-D,2,,3,,3,,2,,1
vehicledef_BANDIT_C-A,2,,3,,3,,2,,1
vehicledef_MAXIM_CLAN,0,,0,3058-01-01T00:00:00Z,13,,15,,13
vehicledef_ARES,22,,28,,29,,29,,36
vehicledef_BANDIT_C-B,2,,3,,3,,2,,1
vehicledef_BANDIT_C-H,0,,0,,0,,0,3065-01-01T00:00:00Z,1
vehicledef_BANDIT_C-C,2,,3,,3,,2,,1
vehicledef_HACHIMAN,16,,20,,21,,21,,26
vehicledef_ENYO,0,,0,,0,,0,3063-01-01T00:00:00Z,18
Heavies,,,,,,,,,
vehicledef_PIKE_CLAN,0,3055-01-01T00:00:00Z,14,,17,,15,,20
vehicledef_DEMON,546,,536,,514,,597,,580
vehicledef_ORO,37,,41,,46,,48,,59
vehicledef_KOKOU,9,,9,,12,,12,,16
vehicledef_DEMON_ROYAL,384,,377,,364,,300,,289
vehicledef_ISHTAR,9,,9,,12,,12,,16
vehicledef_ATHENA,14,,14,,17,,15,,20
Assaults,,,,,,,,,
vehicledef_HUITZILOPOCHTLI,28,,36,,26,,33,,39
vehicledef_FURY_ROYAL,149,,145,,191,,152,,145
vehicledef_MORRIGU_LASER,0,,0,,0,,0,3067-01-01T00:00:00Z,3
vehicledef_RHINO_MG,0,,0,3056-01-01T00:00:00Z,9,,0,,0
vehicledef_RHINO,0,,0,3056-01-01T00:00:00Z,20,,0,,0
vehicledef_PUMA_PAT-005b,605,,591,,542,,603,,582
vehicledef_DEMOLISHER_CLAN,0,,0,3058-01-01T00:00:00Z,17,,24,,26
vehicledef_RHINO_ROYAL,163,,159,,145,,121,,118
vehicledef_MORRIGU,0,,0,,0,,0,3067-01-01T00:00:00Z,10
vehicledef_MARS_ATM,0,,0,,0,,0,3064-01-01T00:00:00Z,20
vehicledef_MARS,56,,68,,49,,67,,56
