SecurityForcesVehicles,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3050-01-01T00:00:00Z,,3061-01-01T00:00:00Z,,3067-01-01T00:00:00Z
Lights,,,,,,,,,
vehicledef_TRUCK_Flatbed,45,,51,,45,,150,,277
vehicledef_SPRINT_TRANSPORT,0,,0,,0,3057-01-01T00:00:00Z,2,,3
vehicledef_SPRINT_C3,0,,0,,0,3057-01-01T00:00:00Z,2,,3
vehicledef_SPRINT,0,,0,,0,3056-01-01T00:00:00Z,10,,15
vehicledef_PEREGRINE_CARGO,0,3036-01-01T00:00:00Z,3,,1,,3,,6
vehicledef_APC_Hover_SRM,1,,1,,1,,3,,5
vehicledef_APC_Tracked_SRM,1,,1,,1,,3,,5
vehicledef_APC_Wheeled_SRM,1,,1,,1,,3,,5
vehicledef_HOVERSCOUT,6,,7,,6,,21,,39
vehicledef_APC_Hover_LRM,1,,1,,1,,3,,5
vehicledef_APC_Wheeled_LRM,1,,1,,1,,3,,5
vehicledef_APC_HeavyTracked,22,,25,,22,,74,,138
vehicledef_APC_Tracked_LRM,1,,1,,1,,3,,5
vehicledef_SPRINT_LASER,0,,0,,0,3056-01-01T00:00:00Z,3,,4
vehicledef_SKULKER_MG,1,,1,,1,,1,,2
vehicledef_APC_HeavyWheeled_SRM,1,,1,,1,,3,,5
vehicledef_APC_HeavyWheeled_LRM,1,,1,,1,,3,,5
vehicledef_APC_HeavyTracked_SRM,1,,1,,1,,3,,5
vehicledef_APC_HeavyHover_SRM,1,,1,,1,,2,,3
vehicledef_APC_HeavyTracked_LRM,1,,1,,1,,3,,5
vehicledef_APC_HeavyHover_LRM,1,,1,,1,,2,,3
vehicledef_WARRIOR_H-7A,11,,12,,11,,26,,41
vehicledef_PACKRAT_ICE,3,,2,,4,,7,,6
vehicledef_WARRIOR_H-7,15,,18,,15,,37,,58
vehicledef_SCORPION,63,,71,,45,,58,,96
vehicledef_GALLEON_GAL-100,31,,36,,27,,59,,110
vehicledef_SKULKER,8,,9,,8,,19,,18
vehicledef_PEGASUS_UA,5,,4,,2,,4,,7
vehicledef_SKULKER_SRM,1,,1,,1,,1,,2
vehicledef_SCORPION_ML,16,,18,,11,,21,,34
vehicledef_PACKRAT_PKR-T5,10,,13,,22,,52,,73
vehicledef_PEREGRINE,22,,10,,5,,12,,23
vehicledef_GALLEON_GAL-200,0,,0,3049-01-01T00:00:00Z,2,,15,,28
vehicledef_HARASSER_Mini-Peggy,0,3039-01-01T00:00:00Z,1,,2,,6,,18
vehicledef_HARASSER_FLAMER,0,3039-01-01T00:00:00Z,1,,2,,7,,23
vehicledef_SCORPION_SRM,31,,36,,22,,41,,68
vehicledef_SCORPION_MRM,0,,0,,0,3060-01-01T00:00:00Z,2,,7
vehicledef_HARASSER,0,3039-01-01T00:00:00Z,5,,18,,59,,92
vehicledef_WARRIOR_H-8,0,,0,,0,3056-01-01T00:00:00Z,2,,2
vehicledef_SCORPION_LRM,16,,18,,11,,21,,34
vehicledef_JEdgar_ICE,2,,4,,2,,4,,8
vehicledef_MANTIS,0,,0,,0,3061-01-01T00:00:00Z,3,,10
vehicledef_WARRIOR_H-7C,5,,6,,5,,13,,29
vehicledef_JEdgar_Flamer,2,,3,,2,,4,,8
vehicledef_JEdgar_MG,2,,3,,2,,4,,8
vehicledef_CAVALRY_LRM,0,,0,,0,3055-01-01T00:00:00Z,8,,11
vehicledef_HAWKMOTH,0,,0,,0,,0,3067-01-01T00:00:00Z,10
vehicledef_CAVALRY_TAG,0,,0,,0,3059-01-01T00:00:00Z,1,,1
vehicledef_KARNOV_BA,0,,0,,0,,0,3063-01-01T00:00:00Z,4
vehicledef_HAWKMOTH_ARMOR,0,,0,,0,,0,3067-01-01T00:00:00Z,5
vehicledef_CAVALRY,0,,0,,0,3055-01-01T00:00:00Z,16,,22
vehicledef_CAVALRY_SRM,0,,0,,0,3055-01-01T00:00:00Z,6,,5
vehicledef_SCIMITAR,28,,45,,40,,93,,122
vehicledef_JEdgar,9,,14,,11,,15,,28
vehicledef_KARNOV_AC,0,,0,,0,3060-01-01T00:00:00Z,3,,5
vehicledef_JEdgar_TAG,0,,0,,0,3056-01-01T00:00:00Z,4,,5
vehicledef_PEREGRINE_KURITA,0,,0,3049-01-01T00:00:00Z,1,,3,,6
vehicledef_STRIKER,7,,9,,8,,22,,35
vehicledef_PEGASUS_SENSORS,7,,6,,3,,6,,7
vehicledef_PLAINSMAN_SCOUT,0,,0,,0,,0,3067-01-01T00:00:00Z,3
vehicledef_STRIKER_SRM,2,,4,,4,,11,,18
vehicledef_SALADIN_ARMOR,9,,8,,7,,14,,18
vehicledef_SALADIN,36,,45,,40,,108,,142
vehicledef_HUNTER_LRM15,3,,5,,4,,17,,39
vehicledef_PLAINSMAN,0,3039-01-01T00:00:00Z,18,,16,,53,,55
vehicledef_STRIKER_LRM,2,,4,,4,,11,,18
vehicledef_CAVALRY_INFANTRY,0,,0,,0,,0,3063-01-01T00:00:00Z,1
vehicledef_PEGASUS,57,,45,,20,,31,,40
vehicledef_HUNTER_LRM10,3,,5,,4,,17,,39
vehicledef_HUNTER,16,,26,,23,,70,,111
vehicledef_GALLEON_GAL-102,0,,0,,0,3056-01-01T00:00:00Z,9,,9
vehicledef_SARACEN,31,,50,,45,,105,,195
vehicledef_HUNTER_AMMO,2,,3,,3,,12,,28
vehicledef_PEGASUS_MISSILE,5,,4,,2,,4,,7
vehicledef_STRIKER_AMMO,0,,0,,0,3056-01-01T00:00:00Z,1,,1
vehicledef_SCIMITAR_MISSILE,3,,6,,5,,12,,15
vehicledef_SALADIN_LBX,0,,0,,0,3061-01-01T00:00:00Z,3,,10
vehicledef_STRIKER_3061,0,,0,,0,3061-01-01T00:00:00Z,1,,1
vehicledef_YELLOWJACKET,0,,0,,0,3060-01-01T00:00:00Z,15,,15
vehicledef_YELLOWJACKET_RAC,0,,0,,0,,0,3066-01-01T00:00:00Z,3
vehicledef_YELLOWJACKET_AMMO,0,,0,,0,3060-01-01T00:00:00Z,2,,2
vehicledef_SALADIN_ULTRA,0,,0,,0,,0,3064-01-01T00:00:00Z,7
Mediums,,,,,,,,,
vehicledef_VEDETTE_AC2,13,,19,,19,,117,,327
vehicledef_VEDETTE,38,,54,,54,,234,,655
vehicledef_HETZER_LASER,1,,1,,1,,4,,15
vehicledef_HETZER_AC10,1,,1,,1,,3,,11
vehicledef_HETZER_SCOUT,1,,1,,1,,2,,8
vehicledef_VEDETTE_NETC,0,,0,,0,3056-01-01T00:00:00Z,15,,36
vehicledef_HETZER,6,,6,,6,,23,,85
vehicledef_HETZER_SRM,1,,1,,1,,4,,15
vehicledef_CONDOR,4,,6,,6,,31,,54
vehicledef_HETZER_LRM,1,,1,,1,,4,,15
vehicledef_FALCON,3,,4,,4,,20,,75
vehicledef_APC_Maxim_SRM4,1,,1,,1,,3,,6
vehicledef_VEDETTE_RAC,0,,0,,0,,0,3067-01-01T00:00:00Z,13
vehicledef_APC_Maxim_3052AP,0,,0,,0,3056-01-01T00:00:00Z,1,,1
vehicledef_APC_Maxim_SRM2,1,,1,,1,,3,,6
vehicledef_APC_Maxim,4,,6,,6,,11,,18
vehicledef_APC_Maxim_I,0,,0,,0,3060-01-01T00:00:00Z,2,,18
vehicledef_APC_Maxim_3052U,0,,0,,0,3056-01-01T00:00:00Z,1,,1
vehicledef_APC_Maxim_BA,0,,0,,0,3056-01-01T00:00:00Z,1,,1
vehicledef_PROWLER_SUPPORT,1,,1,,1,,4,,14
vehicledef_APC_Maxim_BAv2,0,,0,,0,3058-01-01T00:00:00Z,1,,1
vehicledef_APC_Maxim_3052FS,0,,0,,0,3056-01-01T00:00:00Z,1,,1
vehicledef_DRILLSON_SRM,0,3039-01-01T00:00:00Z,1,,1,,10,,54
vehicledef_DRILLSON,0,3039-01-01T00:00:00Z,5,,5,,29,,108
vehicledef_CONDOR_LASER,0,,0,,0,3061-01-01T00:00:00Z,1,,6
Heavies,,,,,,,,,
vehicledef_RECOVERY_HeavyMech,4,,4,,4,,5,,17
vehicledef_DRONECARRIER,0,3028-01-01T00:00:00Z,2,,2,,2,,9
vehicledef_CARRIER_AC2,4,,4,,4,,3,,9
vehicledef_CARRIER_LBX,0,,0,,0,,0,3063-01-01T00:00:00Z,1
vehicledef_BULLDOG_AC2,3,,3,,2,,2,,6
vehicledef_CARRIER_LASER,6,,6,,6,,5,,17
vehicledef_BULLDOG,6,,6,,4,,3,,6
vehicledef_PIKE,6,,6,,6,,5,,17
vehicledef_BULLDOG_LRM,3,,3,,2,,2,,6
vehicledef_CARRIER_MRM,0,,0,,0,,0,3063-01-01T00:00:00Z,3
vehicledef_CARRIER_SRM_NARC,0,,0,,0,3056-01-01T00:00:00Z,1,,1
vehicledef_CARRIER_LRM_3055,0,,0,,0,3058-01-01T00:00:00Z,2,,5
vehicledef_CARRIER_SRM,16,,16,,16,,9,,35
vehicledef_CARRIER_LRM,16,,16,,16,,11,,30
vehicledef_CARRIER_SRM_C3,0,,0,,0,,0,3065-01-01T00:00:00Z,1
vehicledef_MANTICORE_3055,0,,0,,0,3058-01-01T00:00:00Z,1,,1
vehicledef_BRUTUS_PPCv2,0,,0,3049-01-01T00:00:00Z,1,,1,,2
vehicledef_MANTICORE,23,,23,,23,,17,,34
vehicledef_VONLUCKNER_VNL-K65N,1,,1,,1,,0,,0
vehicledef_BRUTUS,0,,0,3049-01-01T00:00:00Z,2,,2,,9
vehicledef_BRUTUS_PPC,0,,0,3049-01-01T00:00:00Z,1,,1,,2
vehicledef_BRUTUS_LRM,0,,0,3049-01-01T00:00:00Z,1,,1,,4
Assaults,,,,,,,,,
vehicledef_PARTISAN_AC2,13,,13,,9,,4,,4
vehicledef_PARTISAN,72,,72,,50,,24,,24
vehicledef_SCHREK_AC,16,,16,,11,,11,,10
