SmokeJaguarVehicles,,,,,,,
Collection:DiamondSharkVehicles,7,,6,,5,,19
Collection:GhostBearVehicles,2,,2,,5,,4
Collection:JadeFalconVehicles,9,,10,,10,,30
Collection:NovaCatVehicles,7,,6,,10,,0
Collection:SteelViperVehicles,7,,6,,5,,4
Collection:WolfVehicles,11,,10,,8,,37
Collection:KuritaAVehicles,0,,4,,13,,0
Collection:RasalhagueAVehicles,0,,3,,3,,0
,,,,,,,
Dates,3049-01-01T00:00:00Z,,3053-01-01T00:00:00Z,,3057-01-01T00:00:00Z,,3060-01-01T00:00:00Z
Lights,,,,,,,
vehicledef_TRUCK_Flatbed,16,,16,,23,,28
vehicledef_KESTREL_CLAN,12,,12,,17,,14
vehicledef_APC_HeavyTracked,15,,15,,22,,26
vehicledef_MAULTIER,41,,41,,57,,60
vehicledef_RIPPER_ROYAL,10,,10,,14,,20
vehicledef_GALLEON,23,,23,,33,,45
vehicledef_RIPPER,19,,19,,27,,40
vehicledef_NIGHTSHADE,16,,16,,23,,34
vehicledef_BADGER_C-A,1,,1,,1,,1
vehicledef_SHAMASH,6,,6,,8,,10
vehicledef_BADGER_C-D,1,,1,,1,,1
vehicledef_LIGHTNING,61,,61,,86,,90
vehicledef_BADGER_C-C,1,,1,,1,,1
vehicledef_BADGER_C-B,1,,1,,1,,1
vehicledef_ZORYA,38,,38,,54,,65
vehicledef_ZORYA_AMMO,10,,10,,13,,16
vehicledef_BADGER_C-PRIME,1,,1,,1,,1
vehicledef_NIGHTSHADE_ROYAL,16,,16,,23,,34
vehicledef_LIGHTNING_ROYAL,122,,122,,172,,179
vehicledef_MITHRAS,17,,17,,24,,20
vehicledef_ODIN,12,,12,,17,,20
vehicledef_SVANTOVIT,4,,4,,6,,5
vehicledef_ANHUR,17,,17,,24,,29
vehicledef_CYRANO_ROYAL,5,,4,,4,,5
vehicledef_SVANTOVIT_ORIGINAL,1,,1,,1,,1
vehicledef_INDRA,12,,12,,17,,20
vehicledef_DONAR,24,,24,,34,,40
vehicledef_ASSHUR,8,,8,,12,,14
vehicledef_ASSHUR_RECON,27,,27,,38,,45
Mediums,,,,,,,
vehicledef_ZEPHYR_ROYAL,197,,217,,448,,104
vehicledef_THOR_CLAN,32,,35,,72,,19
vehicledef_BANDIT_C-PRIME,2,,3,,6,,1
vehicledef_KU,21,,23,,48,,7
vehicledef_BANDIT_C-D,2,,2,,4,,1
vehicledef_BANDIT_C-A,2,,2,,4,,1
vehicledef_APC_Maxim_Clan,0,,0,,0,3059-01-01T00:00:00Z,13
vehicledef_ARES,59,,65,,135,,27
vehicledef_BANDIT_C-B,2,,2,,4,,1
vehicledef_BANDIT_C-C,2,,2,,4,,1
vehicledef_HACHIMAN,42,,46,,95,,19
Heavies,,,,,,,
vehicledef_RECOVERY_HeavyMech,28,,30,,57,,10
vehicledef_CARRIER_SRM,19,,21,,40,,7
vehicledef_CARRIER_LRM,10,,11,,20,,4
vehicledef_PIKE_CLAN,0,,0,3055-01-01T00:00:00Z,47,,9
vehicledef_DEMON,96,,105,,221,,40
vehicledef_ORO,64,,70,,120,,18
vehicledef_KOKOU,23,,25,,42,,6
vehicledef_DEMON_ROYAL,68,,74,,156,,20
vehicledef_ISHTAR,23,,25,,42,,6
Assaults,,,,,,,
vehicledef_HUITZILOPOCHTLI,35,,39,,80,,12
vehicledef_FURY_ROYAL,28,,31,,63,,10
vehicledef_RHINO_MG,24,,27,,55,,8
vehicledef_RHINO,48,,53,,110,,16
vehicledef_PUMA_PAT-005b,99,,109,,224,,40
vehicledef_DEMOLISHER_CLAN,0,,0,,0,3058-01-01T00:00:00Z,12
vehicledef_RHINO_ROYAL,27,,30,,62,,8
vehicledef_MARS,102,,113,,233,,27
