SteinerAVehicles,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3050-01-01T00:00:00Z,,3061-01-01T00:00:00Z,,3067-01-01T00:00:00Z
Lights,,,,,,,,,
vehicledef_TRUCK_Flatbed,29,,11,,18,,55,,61
vehicledef_FERRET,3,,4,,6,,10,,3
vehicledef_SPRINT_TRANSPORT,0,,0,,0,3056-01-01T00:00:00Z,12,,9
vehicledef_SPRINT_C3,0,,0,,0,3057-01-01T00:00:00Z,13,,10
vehicledef_SPRINT,0,,0,,0,3052-01-01T00:00:00Z,67,,53
vehicledef_FERRET_ARMOR,1,,1,,2,,3,,1
vehicledef_DARTER,0,3028-01-01T00:00:00Z,6,,6,,15,,10
vehicledef_RIPPER_MG,0,,0,,0,3055-01-01T00:00:00Z,9,,6
vehicledef_SAVANNAHMASTER_SL,0,3033-01-01T00:00:00Z,2,,3,,6,,9
vehicledef_DARTER_BAP,0,,0,,0,3053-01-01T00:00:00Z,13,,9
vehicledef_KESTREL,0,,0,3049-01-01T00:00:00Z,1,,3,,2
vehicledef_RIPPER_SPL,0,,0,,0,3059-01-01T00:00:00Z,3,,3
vehicledef_KESTREL_SL,0,,0,3049-01-01T00:00:00Z,1,,4,,3
vehicledef_HOVERSCOUT,4,,2,,2,,8,,9
vehicledef_KESTREL_SRM,0,,0,3049-01-01T00:00:00Z,1,,6,,4
vehicledef_DARTER_ECM,0,,0,,0,3054-01-01T00:00:00Z,13,,9
vehicledef_APC_HeavyTracked,19,,8,,12,,37,,40
vehicledef_SAVANNAHMASTER,0,3028-01-01T00:00:00Z,11,,18,,27,,19
vehicledef_SPRINT_LASER,0,,0,,0,3056-01-01T00:00:00Z,19,,15
vehicledef_KARNOV_GUNSHIP,0,,0,3040-01-01T00:00:00Z,4,,14,,15
vehicledef_KARNOV_ARTILLERY,0,3039-01-01T00:00:00Z,1,,1,,2,,2
vehicledef_KESTREL_ML,0,,0,3049-01-01T00:00:00Z,1,,8,,6
vehicledef_CENTIPEDE,0,,0,,0,3054-01-01T00:00:00Z,125,,81
vehicledef_WARRIOR_H-7A,14,,8,,12,,24,,6
vehicledef_PACKRAT_ICE,3,,1,,3,,5,,1
vehicledef_WARRIOR_H-7,20,,11,,17,,34,,8
vehicledef_SCORPION,29,,11,,12,,15,,4
vehicledef_GALLEON_GAL-100,13,,10,,14,,26,,8
vehicledef_SKULKER,8,,3,,5,,11,,8
vehicledef_PEGASUS_UA,3,,1,,1,,2,,2
vehicledef_MOBILEHQ,2,,1,,2,,9,,14
vehicledef_SCORPION_ML,7,,3,,3,,5,,5
vehicledef_HARASSER_LASER,0,,0,3049-01-01T00:00:00Z,6,,14,,0
vehicledef_CENTIPEDE_TAG,0,,0,,0,,0,3067-01-01T00:00:00Z,10
vehicledef_PACKRAT_PKR-T5,13,,6,,18,,39,,7
vehicledef_PEREGRINE,7,,0,,0,,0,,0
vehicledef_GALLEON_GAL-200,2,,2,,2,,9,,8
vehicledef_RIPPER,0,,0,,0,3055-01-01T00:00:00Z,19,,12
