TaurianConcordatAVehicles,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3050-01-01T00:00:00Z,,3061-01-01T00:00:00Z,,3067-01-01T00:00:00Z
Lights,,,,,,,,,
vehicledef_TRUCK_Flatbed,30,,30,,30,,66,,36
vehicledef_FERRET,7,,10,,10,,17,,6
vehicledef_APC_Hover_Sensors,2,,2,,2,,4,,2
vehicledef_SWIFTWIND_ICE,0,,0,,0,3058-01-01T00:00:00Z,1,,1
vehicledef_SWIFTWIND,0,,0,,0,3058-01-01T00:00:00Z,8,,4
vehicledef_APC_Hover_SRM,1,,1,,1,,2,,1
vehicledef_GABRIEL_ERSL,0,,0,,0,,0,3067-01-01T00:00:00Z,1
vehicledef_APC_Tracked_SRM,1,,1,,1,,2,,1
vehicledef_GABRIEL_TDF,0,,0,,0,,0,3067-01-01T00:00:00Z,5
vehicledef_APC_Wheeled_SRM,1,,1,,1,,2,,1
vehicledef_HOVERSCOUT,4,,4,,4,,9,,5
vehicledef_APC_Hover_LRM,1,,1,,1,,2,,1
vehicledef_APC_Wheeled_LRM,1,,1,,1,,2,,1
vehicledef_APC_Maultier_Basic,7,,6,,6,,4,,1
vehicledef_GABRIEL,0,,0,,0,,0,3067-01-01T00:00:00Z,2
vehicledef_APC_HeavyTracked,13,,13,,13,,29,,16
vehicledef_APC_Tracked_LRM,1,,1,,1,,2,,1
vehicledef_MAULTIER,0,,0,3049-01-01T00:00:00Z,1,,29,,6
vehicledef_APC_Maultier_Interm,0,,0,3043-01-01T00:00:00Z,3,,4,,1
vehicledef_KARNOV_ARTILLERY,0,3039-01-01T00:00:00Z,1,,1,,2,,1
vehicledef_APC_HeavyWheeled_SRM,1,,1,,1,,2,,1
vehicledef_BLIZZARD_SRM,0,,0,,0,,0,3062-01-01T00:00:00Z,6
vehicledef_APC_HeavyWheeled_LRM,1,,1,,1,,2,,1
vehicledef_APC_HeavyTracked_SRM,1,,1,,1,,2,,1
vehicledef_APC_HeavyHover_SRM,1,,1,,1,,2,,1
vehicledef_APC_HeavyTracked_LRM,1,,1,,1,,2,,1
vehicledef_BLIZZARD,0,,0,,0,3055-01-01T00:00:00Z,16,,7
vehicledef_APC_HeavyHover_LRM,1,,1,,1,,1,,1
vehicledef_WARRIOR_H-7A,7,,7,,7,,11,,1
vehicledef_PACKRAT_ICE,4,,3,,5,,7,,0
vehicledef_WARRIOR_H-7,10,,10,,10,,16,,2
vehicledef_SCORPION,42,,42,,29,,26,,4
vehicledef_GALLEON,18,,18,,18,,22,,3
vehicledef_SKULKER,4,,4,,4,,7,,0
vehicledef_SCORPION_ML,10,,10,,7,,9,,5
vehicledef_PACKRAT_PKR-T5,3,,3,,7,,15,,0
vehicledef_GALLEON_GAL-200,3,,3,,3,,8,,3
vehicledef_SCORPION_SRM,21,,21,,15,,18,,11
vehicledef_SCORPION_MRM,0,,0,,0,3060-01-01T00:00:00Z,3,,4
vehicledef_HARASSER,10,,10,,15,,33,,1
vehicledef_WARRIOR_H-8,0,,0,,0,3055-01-01T00:00:00Z,20,,8
vehicledef_SCORPION_LRM,10,,10,,7,,9,,5
vehicledef_JEdgar_ICE,16,,16,,15,,16,,1
vehicledef_WARRIOR_H-7C,4,,4,,4,,6,,1
vehicledef_CYRANO,0,,0,,0,,0,3067-01-01T00:00:00Z,3
vehicledef_JEdgar_Flamer,3,,3,,3,,6,,1
vehicledef_BLIZZARD_BLACK,0,,0,,0,,0,3067-01-01T00:00:00Z,1
vehicledef_SCIMITAR,21,,29,,29,,66,,2
vehicledef_JEdgar,7,,7,,7,,10,,1
vehicledef_PLAINSMAN_SCOUT,0,,0,,0,,0,3067-01-01T00:00:00Z,4
vehicledef_KARNOV_PERIPHERY,0,,0,,0,,0,3064-01-01T00:00:00Z,3
vehicledef_SALADIN_ARMOR,8,,7,,7,,5,,1
vehicledef_SALADIN,33,,37,,37,,42,,6
vehicledef_HUNTER_LRM15,2,,3,,3,,8,,2
vehicledef_PLAINSMAN,0,3039-01-01T00:00:00Z,21,,29,,93,,32
vehicledef_PEGASUS,23,,16,,12,,13,,5
vehicledef_HUNTER_LRM10,2,,3,,3,,8,,2
vehicledef_HUNTER,11,,15,,15,,31,,4
vehicledef_GALLEON_GAL-102,0,,0,,0,3055-01-01T00:00:00Z,21,,7
vehicledef_SARACEN,21,,21,,21,,33,,4
vehicledef_HUNTER_AMMO,1,,2,,2,,5,,2
vehicledef_JEdgar_Kurita,0,,0,,0,3053-01-01T00:00:00Z,10,,1
vehicledef_YELLOWJACKET,0,,0,,0,3059-01-01T00:00:00Z,18,,8
vehicledef_YELLOWJACKET_AMMO,0,,0,,0,3059-01-01T00:00:00Z,2,,1
Mediums,,,,,,,,,
vehicledef_VEDETTE_AC2,12,,13,,19,,84,,7
vehicledef_VEDETTE,34,,38,,54,,167,,10
vehicledef_HETZER_LASER,1,,1,,1,,4,,1
vehicledef_HETZER_AC10,1,,1,,1,,3,,1
vehicledef_HETZER_SCOUT,1,,1,,1,,2,,1
vehicledef_GOBLIN,3,,3,,4,,27,,0
vehicledef_HETZER,7,,6,,6,,25,,1
vehicledef_CARRIER_LIGHTSRM,0,,0,,0,3058-01-01T00:00:00Z,170,,85
vehicledef_GLADIUS,0,,0,3042-01-01T00:00:00Z,9,,60,,24
vehicledef_VEDETTE_ULTRA,0,,0,,0,3055-01-01T00:00:00Z,66,,26
vehicledef_HETZER_SRM,1,,1,,1,,4,,1
vehicledef_CONDOR,4,,4,,6,,31,,3
vehicledef_HETZER_LRM,1,,1,,1,,4,,1
vehicledef_FALCON,2,,3,,4,,24,,8
vehicledef_APC_Maxim_SRM4,1,,1,,1,,6,,2
vehicledef_APC_Maxim_SRM2,1,,1,,1,,6,,2
vehicledef_APC_Maxim,4,,4,,6,,25,,1
vehicledef_HETZER_LBX,0,,0,,0,,0,3063-01-01T00:00:00Z,1
vehicledef_CHAPARRAL_MG,0,,0,,0,,0,3062-01-01T00:00:00Z,1
vehicledef_CHAPARRAL,0,,0,,0,3060-01-01T00:00:00Z,3,,2
vehicledef_MYRMIDON,0,,0,,0,3061-01-01T00:00:00Z,9,,11
vehicledef_CHAPARRAL_SRM,0,,0,,0,3060-01-01T00:00:00Z,2,,1
vehicledef_DRILLSON_SRM,0,3039-01-01T00:00:00Z,1,,1,,12,,0
vehicledef_DRILLSON,0,3039-01-01T00:00:00Z,4,,5,,34,,0
vehicledef_FULCRUM,0,,0,,0,3058-01-01T00:00:00Z,8,,3
vehicledef_REGULATOR,0,,0,,0,3057-01-01T00:00:00Z,33,,13
Heavies,,,,,,,,,
vehicledef_RECOVERY_HeavyMech,7,,4,,4,,37,,7
vehicledef_CARRIER_AC2,7,,4,,4,,23,,4
vehicledef_CARRIER_LBX,0,,0,,0,,0,3063-01-01T00:00:00Z,2
vehicledef_BULLDOG_AC2,7,,4,,4,,26,,1
vehicledef_CARRIER_LASER,5,,3,,3,,26,,5
vehicledef_THUMPER,28,,16,,11,,35,,7
vehicledef_BULLDOG,14,,8,,9,,52,,2
vehicledef_PIKE,10,,6,,6,,25,,0
vehicledef_PO,0,,0,3049-01-01T00:00:00Z,2,,37,,7
vehicledef_BULLDOG_LRM,7,,4,,4,,26,,1
vehicledef_CARRIER_MRM,0,,0,,0,,0,3063-01-01T00:00:00Z,4
vehicledef_CARRIER_SRM_NARC,0,,0,,0,3055-01-01T00:00:00Z,13,,3
vehicledef_CARRIER_LRM_3055,0,,0,,0,3058-01-01T00:00:00Z,59,,9
vehicledef_CARRIER_SRM,28,,16,,17,,76,,14
vehicledef_CARRIER_LRM,28,,16,,17,,84,,12
vehicledef_CARRIER_SRM_C3,0,,0,,0,,0,3065-01-01T00:00:00Z,1
vehicledef_ZHUKOV,0,3030-01-01T00:00:00Z,3,,3,,26,,5
vehicledef_MANTICORE,40,,23,,24,,209,,29
vehicledef_BRUTUS,2,,3,,3,,30,,6
vehicledef_ROMMEL_GAUSS,0,,0,,0,3054-01-01T00:00:00Z,35,,7
vehicledef_BRUTUS_PPC,1,,1,,1,,7,,1
vehicledef_BRUTUS_LRM,1,,2,,2,,15,,3
Assaults,,,,,,,,,
vehicledef_DROMEDARY,2,,2,,7,,23,,5
vehicledef_PARTISAN_AC2,2,,2,,8,,18,,1
vehicledef_PARTISAN,12,,13,,46,,105,,4
vehicledef_SCHREK_AC,2,,2,,7,,23,,3
vehicledef_DEMOLISHER_MG,4,,3,,10,,23,,4
vehicledef_PARTISAN_AD,0,,0,,0,,0,3067-01-01T00:00:00Z,6
vehicledef_SCHREK,1,,3,,14,,65,,9
vehicledef_ONTOS,0,,0,,0,3058-01-01T00:00:00Z,33,,9
vehicledef_CARRIER_HEAVYLRM,0,,0,,0,3058-01-01T00:00:00Z,92,,18
vehicledef_DEMOLISHER,19,,14,,51,,115,,18
vehicledef_PARTISAN_LRM,2,,2,,8,,18,,1
vehicledef_DEVASTATOR,3,,6,,20,,46,,2
vehicledef_BEHEMOTH_FLAMER,0,,0,3049-01-01T00:00:00Z,1,,3,,1
vehicledef_BEHEMOTH,0,,0,3049-01-01T00:00:00Z,6,,41,,8
vehicledef_DEMOLISHER_ARROWIV,0,,0,,0,,0,3062-01-01T00:00:00Z,8
vehicledef_RHINO_FLAMER,2,,2,,9,,21,,3
vehicledef_RHINO_MG,2,,2,,9,,21,,3
vehicledef_RHINO,5,,5,,18,,41,,7
vehicledef_RHINO_SL,1,,1,,4,,10,,2
vehicledef_DEMOLISHER_GAUSS,0,,0,,0,,0,3067-01-01T00:00:00Z,11
vehicledef_CHALLENGER_MBT-X,0,,0,,0,3057-01-01T00:00:00Z,108,,9
