WolfsDragoonsVehicles,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3049-01-01T00:00:00Z,,3058-01-01T00:00:00Z,,3067-01-01T00:00:00Z
Lights,,,,,,,,,
vehicledef_SPRINT_TRANSPORT,0,,0,,0,3055-01-01T00:00:00Z,3,,12
vehicledef_SPRINT,0,,0,,0,3055-01-01T00:00:00Z,10,,33
vehicledef_SPRINT_C3,0,,0,,0,3056-01-01T00:00:00Z,3,,8
vehicledef_APC_Hover,13,,15,,15,,16,,23
vehicledef_APC_Hover_MG,4,,4,,6,,5,,8
vehicledef_KARNOV,13,,13,,12,,14,,11
vehicledef_APC_Hover_SRM,4,,4,,6,,5,,8
vehicledef_APC_Tracked,29,,30,,32,,31,,47
vehicledef_KARNOV_3055,0,,0,,0,3055-01-01T00:00:00Z,2,,11
vehicledef_KESTREL,34,,21,,15,,14,,16
vehicledef_APC_Tracked_MG,4,,4,,6,,5,,8
vehicledef_APC_Wheeled,21,,21,,24,,23,,33
vehicledef_APC_Tracked_SRM,8,,11,,12,,10,,16
vehicledef_APC_Wheeled_MG,8,,6,,9,,7,,12
vehicledef_KESTREL_SCOUT,0,3030-01-01T00:00:00Z,4,,0,,0,,0
vehicledef_KESTREL_SL,8,,4,,3,,3,,4
vehicledef_APC_Wheeled_SRM,8,,6,,9,,7,,12
vehicledef_APC_HeavyHover,25,,28,,29,,30,,44
vehicledef_APC_HeavyWheeled,38,,38,,41,,42,,62
vehicledef_HOVERSCOUT,8,,6,,9,,7,,12
vehicledef_KESTREL_SRM,0,,0,3041-01-01T00:00:00Z,6,,5,,5
vehicledef_APC_Hover_LRM,4,,4,,3,,3,,6
vehicledef_APC_Wheeled_LRM,4,,4,,3,,3,,6
vehicledef_WINTERHAWK,0,,0,,0,,0,3059-01-01T00:00:00Z,23
vehicledef_APC_HeavyTracked,38,,38,,41,,42,,62
vehicledef_APC_Tracked_LRM,4,,4,,3,,3,,6
vehicledef_APC_HeavyWheeled_MG,21,,19,,21,,21,,31
vehicledef_APC_HeavyHover_MG,13,,13,,15,,14,,22
vehicledef_SPRINT_LASER,0,,0,,0,3055-01-01T00:00:00Z,3,,12
vehicledef_KARNOV_ARTILLERY,0,3039-01-01T00:00:00Z,2,,3,,2,,3
vehicledef_APC_HeavyTracked_MG,21,,19,,21,,21,,31
vehicledef_KESTREL_ML,0,3029-01-01T00:00:00Z,11,,9,,7,,8
vehicledef_BLIZZARD_SRM,0,,0,,0,,0,3061-01-01T00:00:00Z,14
vehicledef_CENTIPEDE,0,,0,,0,3055-01-01T00:00:00Z,16,,21
vehicledef_BLIZZARD,0,,0,,0,3055-01-01T00:00:00Z,16,,28
vehicledef_WARRIOR_H-7A,13,,15,,15,,12,,0
vehicledef_PACKRAT_ICE,4,,2,,6,,5,,0
vehicledef_WARRIOR_H-7,21,,19,,21,,17,,10
vehicledef_SCORPION,80,,83,,65,,43,,11
vehicledef_GALLEON_GAL-100,42,,40,,35,,23,,11
vehicledef_SKULKER,17,,15,,18,,9,,10
vehicledef_PEGASUS_UA,8,,6,,3,,2,,3
vehicledef_SKULKER_SRM,4,,6,,6,,3,,7
vehicledef_SCORPION_ML,21,,21,,15,,10,,15
vehicledef_PACKRAT_PKR-T5,13,,17,,38,,38,,0
vehicledef_PEREGRINE,17,,0,,0,,0,,0
vehicledef_GALLEON_GAL-200,0,,0,3049-01-01T00:00:00Z,3,,3,,11
vehicledef_HARASSER_Mini-Peggy,0,3028-01-01T00:00:00Z,4,,6,,5,,0
vehicledef_HARASSER_FLAMER,4,,4,,6,,5,,6
vehicledef_SCORPION_SRM,42,,40,,32,,23,,30
vehicledef_SCORPION_MRM,0,,0,,0,,0,3060-01-01T00:00:00Z,21
vehicledef_BADGER-F,0,,0,,0,3058-01-01T00:00:00Z,2,,3
vehicledef_HARASSER,25,,34,,35,,35,,6
vehicledef_WARRIOR_H-8,0,,0,,0,3055-01-01T00:00:00Z,7,,55
vehicledef_SCORPION_LRM,21,,21,,15,,10,,15
vehicledef_BADGER-B,4,,4,,6,,3,,3
vehicledef_CENTIPEDE_SRM,0,,0,,0,,0,3062-01-01T00:00:00Z,3
vehicledef_JEdgar_ICE,4,,6,,6,,3,,0
vehicledef_BADGER-E,4,,4,,3,,3,,3
vehicledef_MANTIS,0,,0,,0,,0,3061-01-01T00:00:00Z,23
vehicledef_BADGER-A,4,,4,,6,,3,,3
vehicledef_WARRIOR_H-7C,8,,6,,9,,7,,0
vehicledef_BADGER-C,4,,4,,6,,3,,3
vehicledef_JEdgar_Flamer,4,,4,,6,,3,,0
vehicledef_BLIZZARD_BLACK,0,,0,,0,,0,3067-01-01T00:00:00Z,4
vehicledef_BADGER_C-E,0,,0,,0,,0,3067-01-01T00:00:00Z,1
vehicledef_JEdgar_MG,4,,4,,6,,3,,0
vehicledef_CAVALRY_LRM,0,,0,,0,3055-01-01T00:00:00Z,5,,5
vehicledef_BADGER_C-A,0,,0,,0,3055-01-01T00:00:00Z,2,,3
vehicledef_HAWKMOTH,0,,0,,0,,0,3060-01-01T00:00:00Z,22
vehicledef_CAVALRY_TAG,0,,0,,0,3058-01-01T00:00:00Z,2,,3
vehicledef_KARNOV_BA,0,,0,,0,,0,3062-01-01T00:00:00Z,5
vehicledef_HAWKMOTH_ARMOR,0,,0,,0,,0,3060-01-01T00:00:00Z,11
vehicledef_CAVALRY,0,,0,,0,3054-01-01T00:00:00Z,10,,10
vehicledef_BADGER_C-D,0,,0,,0,3055-01-01T00:00:00Z,2,,3
vehicledef_CAVALRY_SRM,0,,0,,0,3055-01-01T00:00:00Z,5,,3
vehicledef_BADGER_C-H,0,,0,,0,,0,3067-01-01T00:00:00Z,1
vehicledef_SCIMITAR,38,,51,,56,,54,,8
vehicledef_BADGER_C-C,0,,0,,0,3055-01-01T00:00:00Z,2,,3
vehicledef_BADGER_C-B,0,,0,,0,3055-01-01T00:00:00Z,2,,3
vehicledef_BADGER-D,4,,4,,6,,3,,3
vehicledef_JEdgar,13,,15,,18,,10,,0
vehicledef_BADGER-PRIME,8,,6,,6,,3,,3
vehicledef_KARNOV_AC,0,3039-01-01T00:00:00Z,2,,3,,2,,3
vehicledef_STRIKER,13,,6,,9,,9,,6
vehicledef_PEGASUS_SENSORS,13,,8,,3,,3,,3
vehicledef_STRIKER_SRM,4,,4,,3,,3,,0
vehicledef_SALADIN_ARMOR,13,,8,,9,,7,,0
vehicledef_SALADIN,46,,49,,53,,54,,21
vehicledef_HUNTER_LRM15,4,,4,,6,,5,,0
vehicledef_PLAINSMAN,0,3030-01-01T00:00:00Z,11,,9,,0,,0
vehicledef_BADGER_C-PRIME,0,,0,,0,3055-01-01T00:00:00Z,3,,4
vehicledef_STRIKER_LRM,4,,4,,3,,3,,0
vehicledef_YELLOWJACKET_ARROWIV,0,,0,,0,,0,3067-01-01T00:00:00Z,3
vehicledef_CAVALRY_INFANTRY,0,,0,,0,,0,3062-01-01T00:00:00Z,3
vehicledef_PEGASUS,88,,64,,35,,24,,15
vehicledef_HUNTER_LRM10,4,,4,,6,,5,,0
vehicledef_HUNTER,21,,28,,29,,30,,65
vehicledef_GALLEON_GAL-102,0,,0,3049-01-01T00:00:00Z,6,,16,,44
vehicledef_SARACEN,8,,15,,15,,16,,16
vehicledef_HUNTER_AMMO,4,,4,,3,,3,,0
vehicledef_PEGASUS_MISSILE,8,,6,,3,,2,,3
vehicledef_STRIKER_AMMO,0,,0,,0,3055-01-01T00:00:00Z,2,,6
vehicledef_SCIMITAR_MISSILE,4,,6,,6,,7,,4
vehicledef_SALADIN_LBX,0,,0,,0,,0,3060-01-01T00:00:00Z,42
vehicledef_STRIKER_3061,0,,0,,0,,0,3060-01-01T00:00:00Z,12
vehicledef_YELLOWJACKET,0,,0,,0,3058-01-01T00:00:00Z,14,,33
vehicledef_YELLOWJACKET_RAC,0,,0,,0,,0,3065-01-01T00:00:00Z,6
vehicledef_YELLOWJACKET_AMMO,0,,0,,0,3058-01-01T00:00:00Z,2,,4
vehicledef_SALADIN_ULTRA,0,,0,,0,,0,3063-01-01T00:00:00Z,30
Mediums,,,,,,,,,
vehicledef_VEDETTE_AC2,139,,134,,139,,131,,0
vehicledef_VEDETTE,396,,375,,389,,258,,110
vehicledef_HETZER_LASER,9,,9,,6,,7,,6
vehicledef_HETZER_AC10,9,,4,,6,,3,,3
vehicledef_HETZER_SCOUT,4,,4,,3,,3,,3
vehicledef_VEDETTE_NETC,0,,0,,0,3055-01-01T00:00:00Z,64,,217
vehicledef_GOBLIN,22,,22,,24,,0,,0
vehicledef_HETZER,61,,52,,38,,34,,6
vehicledef_HETZER_SRM,9,,9,,6,,7,,6
vehicledef_CONDOR,48,,43,,38,,34,,6
vehicledef_HETZER_LRM,9,,9,,6,,7,,6
vehicledef_FALCON,17,,22,,24,,20,,18
vehicledef_MAXIM_SRM4,9,,9,,9,,3,,3
vehicledef_BANDIT-H,0,,0,,0,3057-01-01T00:00:00Z,7,,9
vehicledef_VEDETTE_RAC,0,,0,,0,,0,3067-01-01T00:00:00Z,110
vehicledef_MAXIM_AP,0,,0,,0,3055-01-01T00:00:00Z,3,,3
vehicledef_BANDIT-B,26,,26,,18,,10,,6
vehicledef_MAXIM_SRM2,9,,9,,9,,3,,0
vehicledef_MAXIM,74,,73,,74,,23,,3
vehicledef_MAXIM_I,0,,0,,0,,0,3060-01-01T00:00:00Z,76
vehicledef_MAXIM_C3S,0,,0,,0,,0,3067-01-01T00:00:00Z,3
vehicledef_GOBLIN_IS,0,,0,,0,3055-01-01T00:00:00Z,57,,55
vehicledef_BANDIT-C,26,,26,,18,,10,,6
vehicledef_MAXIM_3052,0,,0,,0,3055-01-01T00:00:00Z,3,,3
vehicledef_MAXIM_BA,0,,0,,0,3055-01-01T00:00:00Z,10,,3
vehicledef_CHAPARRAL_MG,0,,0,,0,,0,3061-01-01T00:00:00Z,3
vehicledef_CHAPARRAL,0,,0,3049-01-01T00:00:00Z,47,,40,,15
vehicledef_MYRMIDON,0,,0,,0,,0,3060-01-01T00:00:00Z,55
vehicledef_MAXIM_BAv2,0,,0,,0,3058-01-01T00:00:00Z,3,,3
vehicledef_BANDIT-D,26,,26,,18,,10,,6
vehicledef_CHAPARRAL_SRM,0,,0,,0,,0,3060-01-01T00:00:00Z,9
vehicledef_BANDIT-G,13,,13,,9,,3,,3
vehicledef_BANDIT-E,26,,26,,18,,10,,6
vehicledef_MAXIM_FS,0,,0,,0,3052-01-01T00:00:00Z,10,,3
vehicledef_BANDIT-F,17,,17,,12,,7,,3
vehicledef_BANDIT-A,17,,17,,12,,7,,3
vehicledef_ZEPHYR,0,,0,,0,3055-01-01T00:00:00Z,40,,55
vehicledef_DRILLSON_SRM,0,3039-01-01T00:00:00Z,9,,9,,10,,0
vehicledef_BANDIT-PRIME,35,,34,,27,,13,,9
vehicledef_CONDOR_FUSION,0,,0,3040-01-01T00:00:00Z,6,,7,,6
vehicledef_DRILLSON,0,3039-01-01T00:00:00Z,34,,38,,30,,0
vehicledef_CONDOR_LASER,0,,0,,0,,0,3060-01-01T00:00:00Z,18
vehicledef_BANDIT_C-E,0,,0,,0,,0,3062-01-01T00:00:00Z,3
vehicledef_BANDIT_C-PRIME,0,,0,,0,3055-01-01T00:00:00Z,13,,18
vehicledef_BANDIT_C-D,0,,0,,0,3055-01-01T00:00:00Z,10,,12
vehicledef_BANDIT_C-A,0,,0,,0,3055-01-01T00:00:00Z,10,,12
vehicledef_MAXIM_CLAN,0,,0,,0,3058-01-01T00:00:00Z,17,,18
vehicledef_BANDIT_C-B,0,,0,,0,3055-01-01T00:00:00Z,10,,12
vehicledef_FULCRUM,0,,0,,0,3056-01-01T00:00:00Z,40,,40
vehicledef_CONDOR_3068,0,,0,,0,,0,3067-01-01T00:00:00Z,6
vehicledef_BANDIT_C-H,0,,0,,0,,0,3062-01-01T00:00:00Z,3
vehicledef_BANDIT_C-C,0,,0,,0,3055-01-01T00:00:00Z,10,,12
Heavies,,,,,,,,,
vehicledef_HI-SCOUT,21,,17,,17,,17,,18
vehicledef_CARRIER_AC2,38,,34,,32,,33,,18
vehicledef_CARRIER_LBX,0,,0,,0,,0,3062-01-01T00:00:00Z,18
vehicledef_BULLDOG_AC2,26,,26,,17,,17,,0
vehicledef_CARRIER_LASER,56,,47,,47,,47,,36
vehicledef_THUMPER,154,,94,,64,,47,,36
vehicledef_BULLDOG,56,,47,,32,,33,,0
vehicledef_PIKE,56,,47,,47,,33,,22
vehicledef_MARKSMAN,13,,0,,0,,0,,0
vehicledef_PO,0,,0,3049-01-01T00:00:00Z,47,,47,,50
vehicledef_MORNINGSTAR,0,,0,,0,,0,3065-01-01T00:00:00Z,36
vehicledef_BULLDOG_LRM,26,,26,,17,,17,,0
vehicledef_CARRIER_MRM,0,,0,,0,,0,3062-01-01T00:00:00Z,50
vehicledef_CARRIER_SRM_3054,0,,0,,0,3055-01-01T00:00:00Z,20,,18
vehicledef_CARRIER_LRM_3055,0,,0,,0,3058-01-01T00:00:00Z,27,,83
vehicledef_CARRIER_SRM,154,,132,,131,,77,,72
vehicledef_CARRIER_LRM,154,,132,,131,,107,,58
vehicledef_PIKE_CLAN,0,,0,,0,3055-01-01T00:00:00Z,13,,29
vehicledef_CARRIER_SRM_C3,0,,0,,0,,0,3065-01-01T00:00:00Z,11
vehicledef_ZHUKOV,0,3029-01-01T00:00:00Z,94,,90,,94,,101
vehicledef_ROMMEL,0,3039-01-01T00:00:00Z,26,,23,,17,,7
vehicledef_MANTICORE_3055,0,,0,,0,3058-01-01T00:00:00Z,50,,115
vehicledef_PATTON,0,3039-01-01T00:00:00Z,47,,47,,47,,0
vehicledef_BRUTUS_PPCv2,0,,0,3049-01-01T00:00:00Z,3,,3,,4
vehicledef_MANTICORE,218,,192,,183,,140,,29
vehicledef_VONLUCKNER_VNL-K65N,13,,13,,12,,13,,18
vehicledef_TYPHOON,0,,0,,0,3058-01-01T00:00:00Z,17,,25
vehicledef_BRUTUS,0,,0,3049-01-01T00:00:00Z,17,,17,,18
vehicledef_PATTON_ULTRA,0,,0,,0,,0,3061-01-01T00:00:00Z,50
vehicledef_ROMMEL_GAUSS,0,,0,,0,3053-01-01T00:00:00Z,7,,18
vehicledef_BRUTUS_PPC,0,,0,3049-01-01T00:00:00Z,3,,3,,4
vehicledef_BRUTUS_LRM,0,,0,3049-01-01T00:00:00Z,9,,10,,7
Assaults,,,,,,,,,
vehicledef_PARTISAN_AC2,34,,30,,29,,23,,4
vehicledef_PARTISAN,188,,179,,160,,134,,14
vehicledef_LONGTOM-LT-MOB-25F,0,3039-01-01T00:00:00Z,4,,4,,10,,14
vehicledef_SCHREK_AC,43,,43,,38,,33,,28
vehicledef_LONGTOM-LT-MOB-25,17,,21,,21,,37,,36
vehicledef_PARTISAN_REFIT,0,,0,,0,3058-01-01T00:00:00Z,13,,4
vehicledef_SCHREK_MG,4,,4,,6,,7,,7
vehicledef_DEMOLISHER_MG,26,,26,,23,,13,,11
vehicledef_PARTISAN_AD,0,,0,,0,3058-01-01T00:00:00Z,17,,85
vehicledef_SCHREK,43,,56,,70,,90,,78
vehicledef_ONTOS,0,,0,3049-01-01T00:00:00Z,32,,23,,11
vehicledef_CARRIER_HEAVYLRM,0,,0,,0,3058-01-01T00:00:00Z,23,,60
vehicledef_DEMOLISHER,150,,145,,131,,67,,46
vehicledef_PARTISAN_LRM,34,,30,,29,,23,,4
vehicledef_DEVASTATOR,98,,120,,108,,67,,0
vehicledef_SCHILTRON-C,0,,0,,0,,0,3060-01-01T00:00:00Z,21
vehicledef_SCHILTRON-E,0,,0,,0,,0,3067-01-01T00:00:00Z,4
vehicledef_BEHEMOTH_FLAMER,13,,13,,12,,10,,4
vehicledef_ONTOS_LRM,0,,0,3049-01-01T00:00:00Z,6,,7,,7
vehicledef_BEHEMOTH,103,,98,,87,,77,,39
vehicledef_ONTOS_3053,0,,0,,0,3052-01-01T00:00:00Z,17,,32
vehicledef_ONTOS_LGAUSS,0,,0,,0,,0,3064-01-01T00:00:00Z,11
vehicledef_DEMOLISHER_ARROWIV,0,,0,,0,,0,3062-01-01T00:00:00Z,11
vehicledef_MORRIGU_LASER,0,,0,,0,,0,3067-01-01T00:00:00Z,7
vehicledef_BEHEMOTH_KURITA,0,,0,,0,,0,3061-01-01T00:00:00Z,11
vehicledef_STURMFEUR_SRM,0,,0,3049-01-01T00:00:00Z,3,,7,,11
vehicledef_STURMFEUR,0,,0,3049-01-01T00:00:00Z,35,,30,,32
vehicledef_BEHEMOTH_ARMOR,13,,13,,12,,10,,4
vehicledef_SCHILTRON-PRIME,0,,0,,0,,0,3060-01-01T00:00:00Z,7
vehicledef_RHINO_FLAMER,56,,56,,50,,43,,39
vehicledef_SCHILTRON-B,0,,0,,0,,0,3060-01-01T00:00:00Z,14
vehicledef_RHINO_MG,56,,56,,50,,43,,39
vehicledef_SCHILTRON-A,0,,0,,0,,0,3060-01-01T00:00:00Z,7
vehicledef_RHINO,111,,107,,96,,87,,74
vehicledef_RHINO_SL,30,,26,,23,,20,,18
vehicledef_DEMOLISHER_GAUSS,0,,0,,0,3053-01-01T00:00:00Z,23,,28
vehicledef_DEMOLISHER_CLAN,0,,0,,0,3058-01-01T00:00:00Z,33,,78
vehicledef_SCHILTRON-D,0,,0,,0,,0,3062-01-01T00:00:00Z,7
vehicledef_BULWARK_ORIGINAL,0,,0,,0,,0,3067-01-01T00:00:00Z,21
vehicledef_MORRIGU,0,,0,,0,,0,3067-01-01T00:00:00Z,25
vehicledef_CHALLENGER_X,0,,0,,0,3058-01-01T00:00:00Z,33,,60
vehicledef_ALACORN_MK-VI,0,,0,,0,3055-01-01T00:00:00Z,23,,42
