WolfInExile,,,,,,,
Collection:Davion,29,,29,,29,,29
Collection:Wolf,12,,12,,12,,12
Collection:JadeFalcon,59,,59,,59,,59
,,,,,,,
Dates,3057-01-01T00:00:00Z,,3061-01-01T00:00:00Z,,3065-01-01T00:00:00Z,,3069-01-01T00:00:00Z
Lights,,,,,,,
mechdef_thorn_THE-N,0,3059-01-01T00:00:00Z,1,,1,,1
mechdef_koshi_mist_lynx-A,64,,33,,33,,23
mechdef_hussar_HSR-200-D,0,3059-01-01T00:00:00Z,2,,2,,1
mechdef_dasher_fire_moth-A,42,,24,,24,,22
mechdef_icestorm-1,24,,31,,29,,19
mechdef_dasher_fire_moth-C,106,,61,,61,,56
mechdef_mongoose_MON-66,0,3060-01-01T00:00:00Z,1,,1,,0
mechdef_koshi_mist_lynx-G,0,,0,,0,3068-01-01T00:00:00Z,5
mechdef_dasher_fire_moth-H,0,3060-01-01T00:00:00Z,34,,50,,56
mechdef_dasher_fire_moth-E,30,,22,,22,,20
mechdef_koshi_mist_lynx-D,180,,94,,94,,66
mechdef_koshi_mist_lynx-PRIME,255,,133,,133,,94
mechdef_hussar_HSR-200-Db,0,3060-01-01T00:00:00Z,1,,1,,0
mechdef_locust_IIC-3,3,,3,,3,,3
mechdef_koshi_mist_lynx-H,0,3059-01-01T00:00:00Z,17,,17,,12
mechdef_koshi_mist_lynx-E,64,,47,,47,,33
mechdef_nighthawk_NTK-2Q,0,3059-01-01T00:00:00Z,2,,1,,1
mechdef_piranha-1,17,,11,,10,,10
mechdef_jenner_IIC,17,,18,,16,,10
mechdef_dasher_fire_moth-B,213,,123,,123,,112
mechdef_koshi_mist_lynx-P,0,3061-01-01T00:00:00Z,12,,15,,12
mechdef_hankyu_arctic_cheetah-B,56,,45,,45,,43
mechdef_hankyu_arctic_cheetah-D,39,,32,,32,,30
mechdef_uller_kit_fox-PRIME,164,,148,,148,,149
mechdef_uller_kit_fox-B,82,,74,,74,,74
mechdef_wolfhound_WLF-4W,0,,0,,0,3069-01-01T00:00:00Z,1
mechdef_locust_IIC,15,,13,,12,,6
mechdef_hankyu_arctic_cheetah-A,79,,64,,64,,60
mechdef_uller_kit_fox-D,20,,18,,18,,19
mechdef_uller_kit_fox-C,52,,47,,47,,47
mechdef_koshi_mist_lynx-F,0,,0,3063-01-01T00:00:00Z,47,,33
mechdef_talon_TLN-5W,1,,4,,3,,3
mechdef_vixen_incubus-7,3,,3,,3,,2
mechdef_wolfhound_WLF-3S,0,,0,3064-01-01T00:00:00Z,2,,1
mechdef_peregrine_horned_owl-2,5,,4,,3,,3
mechdef_koshi_mist_lynx-B,90,,47,,47,,33
mechdef_uller_kit_fox-H,0,3059-01-01T00:00:00Z,37,,37,,37
mechdef_uller_kit_fox-F,0,,0,,0,3069-01-01T00:00:00Z,26
mechdef_dasher_fire_moth-PRIME,213,,123,,123,,112
mechdef_puma_adder-D,250,,250,,250,,250
mechdef_hankyu_arctic_cheetah-H,0,,0,3062-01-01T00:00:00Z,32,,43
mechdef_puma_adder-E,0,3060-01-01T00:00:00Z,138,,205,,250
mechdef_firefly_C,12,,11,,10,,7
mechdef_uller_kit_fox-A,82,,74,,74,,74
mechdef_koshi_mist_lynx-C,64,,33,,33,,23
mechdef_vixen_incubus-3,2,,2,,2,,2
mechdef_hankyu_arctic_cheetah-PRIME,111,,90,,90,,85
mechdef_uller_kit_fox-S,26,,23,,23,,23
mechdef_uller_kit_fox-G,58,,52,,52,,53
mechdef_pack_hunter,0,3059-01-01T00:00:00Z,25,,23,,21
mechdef_puma_adder-C,354,,354,,354,,354
mechdef_uller_kit_fox-E,41,,37,,37,,37
mechdef_puma_adder-B,177,,177,,177,,177
mechdef_puma_adder-S,354,,500,,500,,500
mechdef_peregrine_horned_owl-1,10,,7,,7,,6
mechdef_puma_adder-A,500,,500,,500,,500
mechdef_puma_adder-H,0,3059-01-01T00:00:00Z,250,,250,,250
mechdef_hellion-A,0,3060-01-01T00:00:00Z,139,,139,,120
mechdef_vixen_incubus-8,3,,3,,3,,2
mechdef_hellion-B,0,3060-01-01T00:00:00Z,196,,196,,170
mechdef_vixen_incubus-1,6,,7,,6,,3
mechdef_pack_hunter-2,0,,0,3065-01-01T00:00:00Z,6,,8
mechdef_pack_hunter-3,0,,0,,0,3068-01-01T00:00:00Z,4
mechdef_hellion-D,0,,0,,0,3068-01-01T00:00:00Z,63
mechdef_hankyu_arctic_cheetah-C,25,,20,,20,,19
mechdef_hellion-Prime,0,3060-01-01T00:00:00Z,277,,277,,241
mechdef_vixen_incubus-2,3,,3,,3,,2
mechdef_puma_adder-PRIME,1000,,1000,,1000,,1000
mechdef_hellion-C,0,3061-01-01T00:00:00Z,139,,175,,170
mechdef_dasher_fire_moth-D,301,,173,,173,,159
Mediums,,,,,,,
mechdef_sentinel_STN-3L,1,,3,,3,,3
mechdef_phantom-E,0,3061-01-01T00:00:00Z,106,,122,,125
mechdef_wyvern_WVE-5Nb,1,,3,,3,,3
mechdef_phoenixhawk_PXH-1,2,,3,,3,,1
mechdef_shadowhawk_SHD-2H,2,,7,,6,,2
mechdef_phantom-B,335,,238,,217,,198
mechdef_phantom-PRIME,670,,476,,434,,395
mechdef_kintaro_KTO-19,0,3058-01-01T00:00:00Z,2,,2,,2
mechdef_phantom-H,0,,0,3062-01-01T00:00:00Z,137,,125
mechdef_crab_CRB-27_actual,1,,5,,5,,3
mechdef_fenris_ice_ferret-C,177,,112,,102,,91
mechdef_kintaro_KTO-19b,0,3058-01-01T00:00:00Z,1,,1,,1
mechdef_griffin_GRF-1N,2,,5,,4,,1
mechdef_crab_CRB-27b,0,3058-01-01T00:00:00Z,2,,2,,2
mechdef_pouncer-F,0,,0,,0,3069-01-01T00:00:00Z,127
mechdef_fenris_ice_ferret-A,500,,318,,290,,258
mechdef_arctic_wolf-1,0,3059-01-01T00:00:00Z,30,,28,,40
mechdef_great_wyrm-1,17,,12,,11,,8
mechdef_dragonfly_viper-C,90,,51,,47,,20
mechdef_shadowhawk_SHD-2Hb,0,3059-01-01T00:00:00Z,1,,1,,1
mechdef_phantom-F,0,,0,,0,3068-01-01T00:00:00Z,93
mechdef_hoplite_HOP-4Cb,0,3058-01-01T00:00:00Z,2,,2,,2
mechdef_shadow_cat-TC,0,3060-01-01T00:00:00Z,24,,22,,13
mechdef_fenris_ice_ferret-L,0,,0,,0,3069-01-01T00:00:00Z,129
mechdef_clint_IIC,33,,24,,22,,11
mechdef_phantom-A,474,,337,,307,,280
mechdef_hoplite_HOP-4Bb,0,3058-01-01T00:00:00Z,2,,2,,2
mechdef_phoenixhawk_PXH-1c,0,3060-01-01T00:00:00Z,1,,1,,1
mechdef_black_hawk_nova-D,156,,85,,77,,72
mechdef_dragonfly_viper-PRIME,253,,145,,132,,56
mechdef_fenris_ice_ferret-B,500,,318,,290,,258
mechdef_battle_cobra-A,0,3060-01-01T00:00:00Z,60,,54,,46
mechdef_griffin_IIC-4,0,3060-01-01T00:00:00Z,4,,5,,6
mechdef_fenris_ice_ferret-E,0,3058-01-01T00:00:00Z,318,,290,,258
mechdef_battle_cobra-C,0,,0,3062-01-01T00:00:00Z,39,,46
mechdef_battle_cobra-PRIME,0,3060-01-01T00:00:00Z,120,,109,,91
mechdef_battle_cobra-F,0,3060-01-01T00:00:00Z,42,,39,,32
mechdef_arctic_wolf-2,0,3060-01-01T00:00:00Z,2,,3,,5
mechdef_phoenixhawk_PXH-1b,0,3059-01-01T00:00:00Z,1,,1,,1
mechdef_black_hawk_nova-C,156,,85,,77,,72
mechdef_griffin_IIC-2,25,,13,,13,,6
mechdef_griffin_IIC-3,0,3060-01-01T00:00:00Z,4,,5,,6
mechdef_black_hawk_nova-B,221,,120,,109,,102
mechdef_dragonfly_viper-E,90,,51,,47,,20
mechdef_dragonfly_viper-I,0,,0,,0,3068-01-01T00:00:00Z,5
mechdef_phantom-D,299,,212,,193,,176
mechdef_arctic_wolf-A,0,,0,,0,3067-01-01T00:00:00Z,37
mechdef_phantom-C,299,,212,,193,,176
mechdef_battle_cobra-H,0,3061-01-01T00:00:00Z,30,,34,,46
mechdef_griffin_GRF-2N,0,3058-01-01T00:00:00Z,2,,2,,2
mechdef_griffin_IIC,9,,7,,6,,2
mechdef_fenris_ice_ferret-H,0,3061-01-01T00:00:00Z,112,,129,,183
mechdef_wyvern_IIC,15,,10,,10,,7
mechdef_pouncer-E,0,3061-01-01T00:00:00Z,108,,124,,127
mechdef_arctic_wolf-PRIME,0,,0,,0,3067-01-01T00:00:00Z,74
mechdef_fenris_ice_ferret-D,250,,159,,145,,129
mechdef_pouncer-C,305,,216,,197,,179
mechdef_fenris_ice_ferret-PRIME,1000,,636,,579,,516
mechdef_hunchback_IIC,67,,47,,45,,31
mechdef_lynx_LNX-9Q,1,,2,,2,,2
mechdef_dragonfly_viper-H,0,,0,3062-01-01T00:00:00Z,23,,10
mechdef_shadow_hawk_IIC,94,,67,,63,,44
mechdef_dragonfly_viper-D,179,,102,,93,,40
mechdef_pouncer-H,0,,0,3062-01-01T00:00:00Z,139,,127
mechdef_hellhound_conjurer-1,19,,12,,11,,4
mechdef_dragonfly_viper-B,127,,72,,66,,28
mechdef_black_hawk_nova-H,0,3059-01-01T00:00:00Z,60,,54,,51
mechdef_pouncer-B,216,,153,,139,,127
mechdef_hellhound_conjurer-7,5,,2,,2,,1
mechdef_ryoken_stormcrow-D,305,,239,,218,,197
mechdef_ryoken_stormcrow-C,305,,239,,218,,197
mechdef_battle_cobra-B,0,3060-01-01T00:00:00Z,60,,54,,46
mechdef_goshawk_vapor_eagle-6,2,,1,,1,,1
mechdef_black_hawk_nova-F,0,,0,,0,3068-01-01T00:00:00Z,19
mechdef_dragonfly_viper-A,127,,72,,66,,28
mechdef_goshawk_vapor_eagle-2,4,,3,,3,,2
mechdef_black_hawk_nova-S,35,,19,,17,,16
